eta,U,s_opt,y_opt,E,s_inf,y_inf,E_inf,E_binding
0.0,0.001,10.0,1.5988519399271428,0.027136734198550158,0.0,0.0,-5.305164769729845e-08,511516.38880350447
0.0,0.8173061224489796,8.470907883472579,1.3987844253056365,-0.03806736969398555,0.0,0.0,-0.03543793289205807,-0.07419836845271412
0.0,1.633612244897959,4.238807917075366,1.3983865882360291,-0.15208323651898875,0.0,0.0,-0.14157834687400395,-0.07419842000509805
0.0,2.4499183673469385,2.8265535487998714,1.3985060780635903,-0.34204765278447224,0.0,0.0,-0.3184212949974853,-0.07419842252439036
0.0,3.2662244897959183,2.1201084733364755,1.3984923609598987,-0.6079606193293419,0.0,0.0,-0.5659667772625022,-0.07419842251157863
0.0,4.0825306122448985,1.6962036243332996,1.3984848602972118,-0.9498221365446242,0.0,0.0,-0.884214793669055,-0.07419842253863583
0.0,4.8988367346938775,1.4135587300959944,1.3984968109779266,-1.3676322044121232,0.0,0.0,-1.2731653442171424,-0.07419842255686557
0.0,5.715142857142857,1.2116569146394687,1.3984970884003636,-1.8613908229091658,0.0,0.0,-1.732818428906766,-0.07419842255689534
0.0,6.531448979591837,1.0602230626282618,1.3984987826979864,-2.4310979920515887,0.0,0.0,-2.2631740477379254,-0.07419842255680939
0.0,7.347755102040817,0.9424351993100005,1.3985137758164903,-3.0767537117602357,0.0,0.0,-2.86423220071062,-0.07419842252904245
0.0,8.164061224489796,0.8482041424996213,1.3984983960321684,-3.798357982273364,0.0,0.0,-3.5359928878248494,-0.07419842255675675
0.0,8.980367346938776,0.7711035239255228,1.3984984385984245,-4.595910803353224,0.0,0.0,-4.278456109080615,-0.07419842255687549
0.0,9.796673469387754,0.7068523791643687,1.398498965547114,-5.469412175068257,0.0,0.0,-5.091621864477914,-0.07419842255490841
0.0,10.612979591836734,0.6524834138723068,1.3984974927467497,-6.418862097449301,0.0,0.0,-5.975490154016751,-0.07419842255693673
0.0,11.429285714285713,0.6058815141768296,1.3984973934784786,-7.4442605704656,0.0,0.0,-6.9300609776971225,-0.07419842255693215
0.0,12.245591836734693,0.5654928363576583,1.3985009209035602,-8.545607594118293,0.0,0.0,-7.955334335519031,-0.07419842255576937
0.0,13.061897959183673,0.5301519729874224,1.398499290998115,-9.722903168432012,0.0,0.0,-9.051310227482473,-0.07419842255659109
0.0,13.878204081632653,0.498968942123916,1.398497950248474,-10.976147293388252,0.0,0.0,-10.217988653587453,-0.07419842255693009
0.0,14.694510204081633,0.4712502923874447,1.3984967288200059,-12.305339968985926,0.0,0.0,-11.455369613833968,-0.07419842255683307
0.0,15.510816326530612,0.4464492596245883,1.3985034315578402,-13.710481195187992,0.0,0.0,-12.763453108222016,-0.07419842255352625
0.0,16.327122448979594,0.4241281926304592,1.3984984527307327,-15.191570972120676,0.0,0.0,-14.142239136751607,-0.07419842255687484
0.0,17.143428571428572,0.4039327959963364,1.3984973352114745,-16.74860929965708,0.0,0.0,-15.591727699422725,-0.07419842255692984
0.0,17.959734693877554,0.3855732066085578,1.3984982492772837,-18.381596177837782,0.0,0.0,-17.111918796235386,-0.07419842255689783
0.0,18.77604081632653,0.36881007505182895,1.3984976056077025,-20.090531606665373,0.0,0.0,-18.702812427189574,-0.07419842255693988
0.0,19.59234693877551,0.3534437663240839,1.3984978528549428,-21.875415586137763,0.0,0.0,-20.364408592285297,-0.07419842255693515
0.0,20.40865306122449,0.3393067524636037,1.3985028264564654,-23.736248116194453,0.0,0.0,-22.096707291522566,-0.07419842255415579
0.0,21.22495918367347,0.3262570613221247,1.3984983571493694,-25.673029197018458,0.0,0.0,-23.899708524901357,-0.07419842255688851
0.0,22.04126530612245,0.31417402478278994,1.398496982784769,-27.685758828427822,0.0,0.0,-25.773412292421696,-0.07419842255689303
0.0,22.85757142857143,0.30295352716529245,1.3984925897659874,-29.77443701032412,0.0,0.0,-27.71781859408356,-0.0741984225511726
0.0,23.67387755102041,0.2925077378985077,1.3984981833953802,-31.939063743183475,0.0,0.0,-29.732927429886974,-0.07419842255690351
0.0,24.49018367346939,0.28275790129040795,1.3984970189426822,-34.179639026529436,0.0,0.0,-31.81873879983191,-0.07419842255689907
0.0,25.30648979591837,0.2736370443980916,1.3984979932241215,-36.496162860522105,0.0,0.0,-33.97525270391839,-0.07419842255692695
0.0,26.12279591836735,0.26508623721487035,1.3984976399602969,-38.88863524515959,0.0,0.0,-36.2024691421464,-0.07419842255692986
0.0,26.939102040816326,0.2570535821848684,1.3984975908783686,-41.35705618044284,0.0,0.0,-38.500388114515935,-0.07419842255693637
0.0,27.755408163265308,0.24949346402322145,1.3984977588146559,-43.901425666371566,0.0,0.0,-40.869009621027026,-0.0741984225569383
0.0,28.571714285714286,0.2423653251690659,1.3984985863327644,-46.52174370294203,0.0,0.0,-43.30833366167964,-0.07419842255685082
0.0,29.388020408163268,0.23563319419839412,1.3984987303215506,-49.218010290160265,0.0,0.0,-45.8183602364738,-0.07419842255681962
0.0,30.204326530612246,0.22926493422488312,1.3984977364870763,-51.99022542803121,0.0,0.0,-48.399089345409486,-0.07419842255693872
0.0,31.020632653061227,0.22323183644637867,1.3984983817179824,-54.8383891165396,0.0,0.0,-51.05052098848671,-0.07419842255688557
0.0,31.836938775510205,0.21750813317916232,1.3984984019521567,-57.762501355695946,0.0,0.0,-53.77265516570547,-0.07419842255688115
0.0,32.65324489795918,0.2120706039236176,1.398497904396521,-60.76256214550088,0.0,0.0,-56.56549187706575,-0.07419842255693018
0.0,33.46955102040816,0.20689828723506465,1.3984987356777654,-63.83857148594225,0.0,0.0,-59.42903112256759,-0.07419842255681984
0.0,34.28585714285714,0.2019722433442501,1.3984995545102645,-66.99052937701761,0.0,0.0,-62.363272902210944,-0.07419842255653353
0.0,35.10216326530612,0.19727539387731743,1.3984969597813017,-70.21843581877896,0.0,0.0,-65.36821721599584,-0.0741984225568913
0.0,35.9184693877551,0.19279197650713278,1.3984980865355736,-73.52229081116548,0.0,0.0,-68.4438640639223,-0.07419842255691812
0.0,36.73477551020408,0.1885078352891155,1.3984979976428427,-76.90209435419652,0.0,0.0,-71.59021344599027,-0.0741984225569279
0.0,37.55108163265306,0.18440993203759934,1.3984983996257063,-80.35784644786875,0.0,0.0,-74.80726536219976,-0.07419842255687792
0.0,38.36738775510204,0.1804864196615686,1.3984984523326103,-83.88954709218947,0.0,0.0,-78.0950198125508,-0.07419842255686862
0.0,39.183693877551015,0.17672638854340522,1.3984976592973335,-87.49719628716207,0.0,0.0,-81.45347679704338,-0.07419842255693702
0.0,40.0,0.17311917970730348,1.39849833786637,-91.18079403151066,0.0,0.0,-84.88263631567752,-0.07419842254204226
