eta,U,a,s,y,E
0.0,0.1,1.0,148.4131591025766,500.0,-0.0998630269843132
0.0,0.1,1.0,148.4131591025766,505.03476571492956,-0.09986271394916835
0.0,0.1,1.0,148.4131591025766,510.1202291614676,-0.09986338359875296
0.0,0.1,1.0,148.4131591025766,515.256900842016,-0.09986226075614851
0.0,0.1,1.0,148.4131591025766,520.4452963994966,-0.09986342522669338
0.0,0.1,1.0,148.4131591025766,525.6859366691136,-0.09986634484440404
0.0,0.1,1.0,148.4131591025766,530.9793477306383,-0.09985698108649936
0.0,0.1,1.0,148.4131591025766,536.3260609612181,-0.09986994652931684
0.0,0.1,1.0,148.4131591025766,541.7266130887197,-0.09986469520222975
0.0,0.1,1.0,148.4131591025766,547.1815462456077,-0.09986275083063771
0.0,0.1,1.0,148.4131591025766,552.6914080233669,-0.09987062201369745
0.0,0.1,1.0,148.4131591025766,558.2567515274712,-0.09986003403167838
0.0,0.1,1.0,148.4131591025766,563.8781354329083,-0.09986583963738667
0.0,0.1,1.0,148.4131591025766,569.5561240402603,-0.0998652918146133
0.0,0.1,1.0,148.4131591025766,575.2912873323526,-0.09986501202741659
0.0,0.1,1.0,148.4131591025766,581.0842010314699,-0.09986279274297133
0.0,0.1,1.0,148.4131591025766,586.9354466571508,-0.09986555200876804
0.0,0.1,1.0,148.4131591025766,592.8456115845642,-0.09985925692559969
0.0,0.1,1.0,148.4131591025766,598.815289103469,-0.0998655713665973
0.0,0.1,1.0,148.4131591025766,604.8450784777766,-0.09986707422526074
0.0,0.1,1.0,148.4131591025766,610.9355850057042,-0.09986121250907062
0.0,0.1,1.0,148.4131591025766,617.0874200805385,-0.0998680391325287
0.0,0.1,1.0,148.4131591025766,623.3012012520103,-0.09985960148827078
0.0,0.1,1.0,148.4131591025766,629.5775522882865,-0.09986883362226616
0.0,0.1,1.0,148.4131591025766,635.9171032385872,-0.09986564096891914
0.0,0.1,1.0,148.4131591025766,642.3204904964332,-0.09986289887322466
0.0,0.1,1.0,148.4131591025766,648.7883568635295,-0.09985926991769542
0.0,0.1,1.0,148.4131591025766,655.3213516142936,-0.09987082618171447
0.0,0.1,1.0,148.4131591025766,661.9201305610316,-0.09986270034921611
0.0,0.1,1.0,148.4131591025766,668.5853561197724,-0.09986689972601574
0.0,0.1,1.0,148.4131591025766,675.317697376764,-0.09986115130212722
0.0,0.1,1.0,148.4131591025766,682.1178301556396,-0.09986244632825562
0.0,0.1,1.0,148.4131591025766,688.9864370852591,-0.09986421383482587
0.0,0.1,1.0,148.4131591025766,695.9242076682359,-0.09986871786925128
0.0,0.1,1.0,148.4131591025766,702.9318383501511,-0.0998641366634954
0.0,0.1,1.0,148.4131591025766,710.0100325894666,-0.09986710243891232
0.0,0.1,1.0,148.4131591025766,717.1595009281416,-0.09986102131901443
0.0,0.1,1.0,148.4131591025766,724.3809610629597,-0.09985882823121395
0.0,0.1,1.0,148.4131591025766,731.6751379175748,-0.09986729899398866
0.0,0.1,1.0,148.4131591025766,739.0427637152824,-0.09986506183219217
0.0,0.1,1.0,148.4131591025766,746.4845780525235,-0.09986053863853314
0.0,0.1,1.0,148.4131591025766,754.0013279731286,-0.09986462338951396
0.0,0.1,1.0,148.4131591025766,761.5937680433095,-0.09986844052129272
0.0,0.1,1.0,148.4131591025766,769.2626604274066,-0.09985681600280455
0.0,0.1,1.0,148.4131591025766,777.0087749643975,-0.09987092782774237
0.0,0.1,1.0,148.4131591025766,784.8328892451779,-0.09986040940380075
0.0,0.1,1.0,148.4131591025766,792.7357886906194,-0.09985998922320748
0.0,0.1,1.0,148.4131591025766,800.7182666304138,-0.09986727651583682
0.0,0.1,1.0,148.4131591025766,808.7811243827111,-0.0998667072624228
0.0,0.1,1.0,148.4131591025766,816.9251713345598,-0.09985963665955694
0.0,0.1,1.0,148.4131591025766,825.1512250231563,-0.09986337133450027
0.0,0.1,1.0,148.4131591025766,833.4601112179138,-0.09985864843819368
0.0,0.1,1.0,148.4131591025766,841.8526640033574,-0.0998655997795642
0.0,0.1,1.0,148.4131591025766,850.3297258628498,-0.0998637983314335
0.0,0.1,1.0,148.4131591025766,858.8921477631694,-0.09986603782907615
0.0,0.1,1.0,148.4131591025766,867.54078923993,-0.09986349147703734
0.0,0.1,1.0,148.4131591025766,876.2765184838663,-0.09986140907995925
0.0,0.1,1.0,148.4131591025766,885.1002124279872,-0.09986273275001244
0.0,0.1,1.0,148.4131591025766,894.0127568356058,-0.09986346642522297
0.0,0.1,1.0,148.4131591025766,903.0150463892571,-0.09986241087150609
0.0,0.1,1.0,148.4131591025766,912.1079847805095,-0.09986399095002348
0.0,0.1,1.0,148.4131591025766,921.2924848006825,-0.09986138345376651
0.0,0.1,1.0,148.4131591025766,930.569468432476,-0.09986791355001305
0.0,0.1,1.0,148.4131591025766,939.9398669425242,-0.0998691343303613
0.0,0.1,1.0,148.4131591025766,949.4046209748797,-0.09986461148314413
0.0,0.1,1.0,148.4131591025766,958.9646806454398,-0.09986324609319197
0.0,0.1,1.0,148.4131591025766,968.621005637324,-0.09986007381303125
0.0,0.1,1.0,148.4131591025766,978.3745652972108,-0.09986979197359096
0.0,0.1,1.0,148.4131591025766,988.2263387326459,-0.0998676736433007
0.0,0.1,1.0,148.4131591025766,998.177314910329,-0.09986753623347569
0.0,0.1,1.0,148.4131591025766,1008.228492755391,-0.09985485960462748
0.0,0.1,1.0,148.4131591025766,1018.3808812516711,-0.09986496742552924
0.0,0.1,1.0,148.4131591025766,1028.6354995430024,-0.09986304834043759
0.0,0.1,1.0,148.4131591025766,1038.9933770355196,-0.09985988891251739
0.0,0.1,1.0,148.4131591025766,1049.4555535009945,-0.09986699450427049
0.0,0.1,1.0,148.4131591025766,1060.023079181213,-0.09987163606821586
0.0,0.1,1.0,148.4131591025766,1070.6970148934045,-0.09985522591171184
0.0,0.1,1.0,148.4131591025766,1081.47843213673,-0.09986031613830751
0.0,0.1,1.0,148.4131591025766,1092.3684131998457,-0.09986902647957206
0.0,0.1,1.0,148.4131591025766,1103.3680512695469,-0.09987087045800601
0.0,0.1,1.0,148.4131591025766,1114.4784505405082,-0.0998640272862861
0.0,0.1,1.0,148.4131591025766,1125.7007263261266,-0.09986491889494643
0.0,0.1,1.0,148.4131591025766,1137.036005170483,-0.0998551146806375
0.0,0.1,1.0,148.4131591025766,1148.4854249614286,-0.0998641520892444
0.0,0.1,1.0,148.4131591025766,1160.050135044813,-0.09986822340778584
0.0,0.1,1.0,148.4131591025766,1171.7312963398604,-0.09986443776285474
0.0,0.1,1.0,148.4131591025766,1183.530081455703,-0.09986626978984066
0.0,0.1,1.0,148.4131591025766,1195.4476748091063,-0.09985811729507468
0.0,0.1,1.0,148.4131591025766,1207.4852727433488,-0.0998724199185788
0.0,0.1,1.0,148.4131591025766,1219.64408364833,-0.09985961604421398
0.0,0.1,1.0,148.4131591025766,1231.9253280818687,-0.09986974713257842
0.0,0.1,1.0,148.4131591025766,1244.3302388922286,-0.09986466271490314
0.0,0.1,1.0,148.4131591025766,1256.8600613418782,-0.0998578403870685
0.0,0.1,1.0,148.4131591025766,1269.516053232495,-0.09986110364995164
0.0,0.1,1.0,148.4131591025766,1282.2994850312305,-0.09986805163628361
0.0,0.1,1.0,148.4131591025766,1295.2116399982447,-0.09986749371320446
0.0,0.1,1.0,148.4131591025766,1308.2538143155266,-0.09986310795644086
0.0,0.1,1.0,148.4131591025766,1321.4273172170099,-0.09986872555949639
0.0,0.1,1.0,148.4131591025766,1334.7334711200012,-0.09986451268042854
0.0,0.1,1.0,148.4131591025766,1348.1736117579292,-0.09986724739413272
0.0,0.1,1.0,148.4131591025766,1361.7490883144324,-0.09986614305631292
0.0,0.1,1.0,148.4131591025766,1375.4612635587969,-0.09987372648594912
0.0,0.1,1.0,148.4131591025766,1389.311513982756,-0.0998645099599562
0.0,0.1,1.0,148.4131591025766,1403.3012299386705,-0.0998621976000096
0.0,0.1,1.0,148.4131591025766,1417.431815779098,-0.09986850658481379
0.0,0.1,1.0,148.4131591025766,1431.7046899977681,-0.09986452197448682
0.0,0.1,1.0,148.4131591025766,1446.1212853719776,-0.09986341235872394
0.0,0.1,1.0,148.4131591025766,1460.683049106419,-0.09986758741642454
0.0,0.1,1.0,148.4131591025766,1475.3914429784588,-0.09986524414513391
0.0,0.1,1.0,148.4131591025766,1490.2479434848758,-0.09985533048347442
0.0,0.1,1.0,148.4131591025766,1505.2540419900797,-0.09986001375320551
0.0,0.1,1.0,148.4131591025766,1520.4112448758215,-0.09986571293433656
0.0,0.1,1.0,148.4131591025766,1535.72107369241,-0.0998648941030413
0.0,0.1,1.0,148.4131591025766,1551.185065311453,-0.0998542789114982
0.0,0.1,1.0,148.4131591025766,1566.8047720801349,-0.09985912404742982
0.0,0.1,1.0,148.4131591025766,1582.5817619770492,-0.09986248134929356
0.0,0.1,1.0,148.4131591025766,1598.5176187696006,-0.09986469882753166
0.0,0.1,1.0,148.4131591025766,1614.6139421729831,-0.09986695121962874
0.0,0.1,1.0,148.4131591025766,1630.8723480107847,-0.0998717616628722
0.0,0.1,1.0,148.4131591025766,1647.294468377166,-0.09985541883460519
0.0,0.1,1.0,148.4131591025766,1663.8819518007247,-0.09986218372977287
0.0,0.1,1.0,148.4131591025766,1680.6364634099557,-0.09986095937279682
0.0,0.1,1.0,148.4131591025766,1697.5596851004316,-0.09986380100827855
0.0,0.1,1.0,148.4131591025766,1714.6533157036106,-0.09986246307549934
0.0,0.1,1.0,148.4131591025766,1731.9190711574022,-0.09986410721948616
0.0,0.1,1.0,148.4131591025766,1749.3586846783942,-0.09986572330922207
0.0,0.1,1.0,148.4131591025766,1766.9739069358604,-0.09986031166488345
0.0,0.1,1.0,148.4131591025766,1784.7665062274923,-0.0998653168894599
0.0,0.1,1.0,148.4131591025766,1802.73826865691,-0.09986848457269472
0.0,0.1,1.0,148.4131591025766,1820.8909983129606,-0.09986905735713747
0.0,0.1,1.0,148.4131591025766,1839.226517450821,-0.0998654173707668
0.0,0.1,1.0,148.4131591025766,1857.7466666749224,-0.09986246490177128
0.0,0.1,1.0,148.4131591025766,1876.4533051237217,-0.09986812399883262
0.0,0.1,1.0,148.4131591025766,1895.3483106563283,-0.09985561359836448
0.0,0.1,1.0,148.4131591025766,1914.4335800410126,-0.09986439371940949
0.0,0.1,1.0,148.4131591025766,1933.7110291456136,-0.09986891319586966
0.0,0.1,1.0,148.4131591025766,1953.1825931298608,-0.09985910379187235
0.0,0.1,1.0,148.4131591025766,1972.8502266396358,-0.09986389396383465
0.0,0.1,1.0,148.4131591025766,1992.7159040031886,-0.09986666629997965
0.0,0.1,1.0,148.4131591025766,2012.7816194293289,-0.09987467660806217
0.0,0.1,1.0,148.4131591025766,2033.0493872076156,-0.09985647054052617
0.0,0.1,1.0,148.4131591025766,2053.5212419105587,-0.0998695862076842
0.0,0.1,1.0,148.4131591025766,2074.1992385978606,-0.09986767503840213
0.0,0.1,1.0,148.4131591025766,2095.0854530227116,-0.09986480571651218
0.0,0.1,1.0,148.4131591025766,2116.181981840165,-0.09986622381338957
0.0,0.1,1.0,148.4131591025766,2137.490942817606,-0.09986677907567547
0.0,0.1,1.0,148.4131591025766,2159.0144750473473,-0.0998666016057012
0.0,0.1,1.0,148.4131591025766,2180.7547391613575,-0.09986008326980177
0.0,0.1,1.0,148.4131591025766,2202.7139175481575,-0.09986545587300392
0.0,0.1,1.0,148.4131591025766,2224.894214571897,-0.09986246258693222
0.0,0.1,1.0,148.4131591025766,2247.2978567936407,-0.09986355689029283
0.0,0.1,1.0,148.4131591025766,2269.9270931948818,-0.0998662994594526
0.0,0.1,1.0,148.4131591025766,2292.7841954032942,-0.09986584464535007
0.0,0.1,1.0,148.4131591025766,2315.8714579207945,-0.09986490953364101
0.0,0.1,1.0,148.4131591025766,2339.1911983538394,-0.09986940491774277
0.0,0.1,1.0,148.4131591025766,2362.745757646116,-0.09985464564600505
0.0,0.1,1.0,148.4131591025766,2386.5375003134977,-0.09986600815901499
0.0,0.1,1.0,148.4131591025766,2410.5688146814446,-0.09986262182945936
0.0,0.1,1.0,148.4131591025766,2434.842113124718,-0.09986082538335102
0.0,0.1,1.0,148.4131591025766,2459.359832309572,-0.09986007533994164
0.0,0.1,1.0,148.4131591025766,2484.1244334383464,-0.09986769355864314
0.0,0.1,1.0,148.4131591025766,2509.138402496535,-0.09986584823035836
0.0,0.1,1.0,148.4131591025766,2534.404250502341,-0.09986458000290621
0.0,0.1,1.0,148.4131591025766,2559.9245137587427,-0.0998639026352627
0.0,0.1,1.0,148.4131591025766,2585.7017541081036,-0.09987059106868004
0.0,0.1,1.0,148.4131591025766,2611.738559189337,-0.09986647563427162
0.0,0.1,1.0,148.4131591025766,2638.03754269767,-0.09986343204346951
0.0,0.1,1.0,148.4131591025766,2664.6013446470124,-0.09987340840556806
0.0,0.1,1.0,148.4131591025766,2691.4326316349807,-0.09986202526923217
0.0,0.1,1.0,148.4131591025766,2718.534097110578,-0.09986200602395151
0.0,0.1,1.0,148.4131591025766,2745.9084616445766,-0.09987427319102066
0.0,0.1,1.0,148.4131591025766,2773.558473202623,-0.0998653795417801
0.0,0.1,1.0,148.4131591025766,2801.486907421089,-0.0998623218745064
0.0,0.1,1.0,148.4131591025766,2829.696567885705,-0.09986909302428251
0.0,0.1,1.0,148.4131591025766,2858.1902864129947,-0.09986062676510297
0.0,0.1,1.0,148.4131591025766,2886.970923334549,-0.09987710268045219
0.0,0.1,1.0,148.4131591025766,2916.0413677841557,-0.0998741841164492
0.0,0.1,1.0,148.4131591025766,2945.404537987828,-0.09986527247291288
0.0,0.1,1.0,148.4131591025766,2975.063381556746,-0.09986256137566885
