eta,U,a,s,y,E
0.0,0.1,1.0,485165195.4097903,500.0,-0.09999999999976347
0.0,0.1,1.0,485165195.4097903,505.03476571492956,-0.0999999999996677
0.0,0.1,1.0,485165195.4097903,510.1202291614676,-0.09999999999987254
0.0,0.1,1.0,485165195.4097903,515.256900842016,-0.09999999999952906
0.0,0.1,1.0,485165195.4097903,520.4452963994966,-0.09999999999988529
0.0,0.1,1.0,485165195.4097903,525.6859366691136,-0.10000000000077841
0.0,0.1,1.0,485165195.4097903,530.9793477306383,-0.09999999999791401
0.0,0.1,1.0,485165195.4097903,536.3260609612181,-0.10000000000188017
0.0,0.1,1.0,485165195.4097903,541.7266130887197,-0.10000000000027377
0.0,0.1,1.0,485165195.4097903,547.1815462456077,-0.099999999999679
0.0,0.1,1.0,485165195.4097903,552.6914080233669,-0.10000000000208681
0.0,0.1,1.0,485165195.4097903,558.2567515274712,-0.0999999999988479
0.0,0.1,1.0,485165195.4097903,563.8781354329083,-0.10000000000062385
0.0,0.1,1.0,485165195.4097903,569.5561240402603,-0.10000000000045627
0.0,0.1,1.0,485165195.4097903,575.2912873323526,-0.10000000000037068
0.0,0.1,1.0,485165195.4097903,581.0842010314699,-0.09999999999969181
0.0,0.1,1.0,485165195.4097903,586.9354466571508,-0.10000000000053585
0.0,0.1,1.0,485165195.4097903,592.8456115845642,-0.09999999999861019
0.0,0.1,1.0,485165195.4097903,598.815289103469,-0.10000000000054178
0.0,0.1,1.0,485165195.4097903,604.8450784777766,-0.10000000000100152
0.0,0.1,1.0,485165195.4097903,610.9355850057042,-0.0999999999992084
0.0,0.1,1.0,485165195.4097903,617.0874200805385,-0.1000000000012967
0.0,0.1,1.0,485165195.4097903,623.3012012520103,-0.0999999999987156
0.0,0.1,1.0,485165195.4097903,629.5775522882865,-0.10000000000153973
0.0,0.1,1.0,485165195.4097903,635.9171032385872,-0.10000000000056308
0.0,0.1,1.0,485165195.4097903,642.3204904964332,-0.09999999999972425
