eta,U,a,s,y,E
0.05,0.01,1.0,148.4131591025766,0.05,-0.00936114104044618
0.05,0.01,1.0,148.4131591025766,0.05456883573256366,-0.009361146547820682
0.05,0.01,1.0,148.4131591025766,0.05955515666415033,-0.009361153102629374
0.05,0.01,1.0,148.4131591025766,0.06499711122066228,-0.009361160902932967
0.05,0.01,1.0,148.4131591025766,0.0709363337058298,-0.009361170183762686
0.05,0.01,1.0,148.4131591025766,0.07741826282927494,-0.009361181223819104
0.05,0.01,1.0,148.4131591025766,0.08449248934062284,-0.009361194353299143
0.05,0.01,1.0,148.4131591025766,0.09221313542927673,-0.009361209963004024
0.05,0.01,1.0,148.4131591025766,0.10063926879249696,-0.009361228514884622
0.05,0.01,1.0,148.4131591025766,0.10983535453966174,-0.009361250554174597
0.05,0.01,1.0,148.4131591025766,0.11987174839005385,-0.009361276723240152
0.05,0.01,1.0,148.4131591025766,0.13082523493744103,-0.009361307777229818
0.05,0.01,1.0,148.4131591025766,0.14277961509950535,-0.00936134460152629
0.05,0.01,1.0,148.4131591025766,0.15582634724647149,-0.009361388230867958
0.05,0.01,1.0,148.4131591025766,0.17006524691396258,-0.009361439869797313
0.05,0.01,1.0,148.4131591025766,0.18560525045331808,-0.009361500913774553
0.05,0.01,1.0,148.4131591025766,0.20256524846176902,-0.009361572969825052
0.05,0.01,1.0,148.4131591025766,0.22107499536872435,-0.009361657874913021
0.05,0.01,1.0,148.4131591025766,0.24127610213706385,-0.009361757709279186
0.05,0.01,1.0,148.4131591025766,0.26332311967421385,-0.00936187480066185
0.05,0.01,1.0,148.4131591025766,0.2873847212417676,-0.009362011713538001
0.05,0.01,1.0,148.4131591025766,0.3136449929098123,-0.009362171215173179
0.05,0.01,1.0,148.4131591025766,0.34230484192873284,-0.009362356207272738
0.05,0.01,1.0,148.4131591025766,0.37358353379340387,-0.00936256960836583
0.05,0.01,1.0,148.4131591025766,0.407720369759258,-0.00936281416785443
0.05,0.01,1.0,148.4131591025766,0.4449765176442615,-0.00936309218833302
0.05,0.01,1.0,148.4131591025766,0.48563700992355846,-0.009363405129241852
0.05,0.01,1.0,148.4131591025766,0.5300129244034412,-0.00936375306389875
0.05,0.01,1.0,148.4131591025766,0.5784437641581412,-0.0093641339664828
0.05,0.01,1.0,148.4131591025766,0.6313000549374281,-0.009364542820460802
0.05,0.01,1.0,148.4131591025766,0.6889861799167787,-0.009364970572396625
0.05,0.01,1.0,148.4131591025766,0.751943473477705,-0.009365403014516062
0.05,0.01,1.0,148.4131591025766,0.8206535976875645,-0.009365819776232643
0.05,0.01,1.0,148.4131591025766,0.8956422273110018,-0.009366193746112894
0.05,0.01,1.0,148.4131591025766,0.9774830715456301,-0.009366491425169618
0.05,0.01,1.0,148.4131591025766,1.0668022632507053,-0.009366674891555765
0.05,0.01,1.0,148.4131591025766,1.1642831492490975,-0.009366706136708381
0.05,0.01,1.0,148.4131591025766,1.2706715183513182,-0.00936655432421939
0.05,0.01,1.0,148.4131591025766,1.3867813070992074,-0.009366205747477405
0.05,0.01,1.0,148.4131591025766,1.5135008268817314,-0.00936567466879935
0.05,0.01,1.0,148.4131591025766,1.6517995600641695,-0.009365010929141283
0.05,0.01,1.0,148.4131591025766,1.8027355771252518,-0.009364298302295144
0.05,0.01,1.0,148.4131591025766,1.9674636315479244,-0.009363638447066952
0.05,0.01,1.0,148.4131591025766,2.147243994394637,-0.009363121586098448
0.05,0.01,1.0,148.4131591025766,2.3434520961570957,-0.009362795679178394
0.05,0.01,1.0,148.4131591025766,2.557589049646571,-0.00936265255710476
0.05,0.01,1.0,148.4131591025766,2.791293134431347,-0.009362641594404867
0.05,0.01,1.0,148.4131591025766,3.0463523306843383,-0.009362701167668934
0.05,0.01,1.0,148.4131591025766,3.324717998332522,-0.009362785112350771
0.05,0.01,1.0,148.4131591025766,3.6285198061621076,-0.009362870144745097
0.05,0.01,1.0,148.4131591025766,3.9600820250962756,-0.009362948874025251
0.05,0.01,1.0,148.4131591025766,4.321941310299135,-0.009363020553690895
0.05,0.01,1.0,148.4131591025766,4.716866108149889,-0.009363085943659585
0.05,0.01,1.0,148.4131591025766,5.147877836562563,-0.009363145768055667
0.05,0.01,1.0,148.4131591025766,5.6182740006937575,-0.009363200564827869
0.05,0.01,1.0,148.4131591025766,6.131653420887815,-0.009363250771084129
0.05,0.01,1.0,148.4131591025766,6.691943765868788,-0.009363296773536122
0.05,0.01,1.0,148.4131591025766,7.303431601824943,-0.009363338924370133
0.05,0.01,1.0,148.4131591025766,7.970795187279997,-0.009363377546078954
0.05,0.01,1.0,148.4131591025766,8.699140264651819,-0.009363412934141233
0.05,0.01,1.0,148.4131591025766,9.494039122326315,-0.009363445359304
0.05,0.01,1.0,148.4131591025766,10.361573226095146,-0.009363475069627302
0.05,0.01,1.0,148.4131591025766,11.308379746114321,-0.009363502292416863
0.05,0.01,1.0,148.4131591025766,12.341702335343241,-0.009363527235964746
0.05,0.01,1.0,148.4131591025766,13.469446547950861,-0.009363550091077333
0.05,0.01,1.0,148.4131591025766,14.70024032167355,-0.009363571032620829
0.05,0.01,1.0,148.4131591025766,16.04349998685225,-0.009363590220813135
0.05,0.01,1.0,148.4131591025766,17.509502307158563,-0.009363607802452474
0.05,0.01,1.0,148.4131591025766,19.10946310316559,-0.009363623912046348
0.05,0.01,1.0,148.4131591025766,20.8556230602826,-0.009363638672848834
0.05,0.01,1.0,148.4131591025766,22.761341377536546,-0.009363652197797452
0.05,0.01,1.0,148.4131591025766,24.841197973671935,-0.009363664590336532
0.05,0.01,1.0,148.4131591025766,27.11110503250793,-0.009363675945302371
0.05,0.01,1.0,148.4131591025766,29.58842874094412,-0.009363686349560816
0.05,0.01,1.0,148.4131591025766,32.29212215098489,-0.009363695882710847
0.05,0.01,1.0,148.4131591025766,35.24287018225951,-0.0093637046176949
0.05,0.01,1.0,148.4131591025766,38.46324787439573,-0.009363712621327942
0.05,0.01,1.0,148.4131591025766,41.97789309997555,-0.009363719954848212
0.05,0.01,1.0,148.4131591025766,45.8136950594337,-0.009363726674337313
0.05,0.01,1.0,148.4131591025766,50.0,-0.00936373282936263
