eta,U,a,s,y,E,ainf,sinf,yinf,Einf,dE
0.0,1e-20,1.0,10686474581524.463,1.0,-9.999975383437177e-21,1.0,10686474581524.463,500.0,-9.99997373046771e-21,-1.6529738094999957e-07
0.0,1.2603829296797325e-20,1.0,10686474581524.463,1.0,-1.2603804680234502e-20,1.0,10686474581524.463,500.0,-1.2603803027265034e-20,-1.3114846885055047e-07
0.0,1.5885651294280527e-20,1.0,10686474581524.463,1.0,-1.5885626677717704e-20,1.0,10686474581524.463,500.0,-1.5885625024748237e-20,-1.0405441804398291e-07
0.0,2.0022003718155927e-20,1.0,10686474581524.463,1.0,-2.0021979101593104e-20,1.0,10686474581524.463,500.0,-2.0021977448623637e-20,-8.255775292208906e-08
0.0,2.523539170434766e-20,1.0,10686474581524.463,1.0,-2.5235367087784837e-20,1.0,10686474581524.463,500.0,-2.5235365434815367e-20,-6.550210158414806e-08
0.0,3.180625692794132e-20,1.0,10686474581524.463,1.0,-3.18062323113785e-20,1.0,10686474581524.463,500.0,-3.1806230658409027e-20,-5.196998940166328e-08
0.0,4.0088063288984643e-20,1.0,10686474581524.463,1.0,-4.008803867242182e-20,1.0,10686474581524.463,500.0,-4.008803701945235e-20,-4.123348492774257e-08
0.0,5.0526310653357006e-20,1.0,10686474581524.463,1.0,-5.052628603679418e-20,1.0,10686474581524.463,500.0,-5.0526284383824707e-20,-3.27150412186668e-08
0.0,6.368249944718586e-20,1.0,10686474581524.463,1.0,-6.368247483062303e-20,1.0,10686474581524.463,500.0,-6.368247317765356e-20,-2.5956427062955348e-08
0.0,8.026433522257207e-20,1.0,10686474581524.463,1.0,-8.026431060600924e-20,1.0,10686474581524.463,500.0,-8.026430895303976e-20,-2.059407853655776e-08
0.0,1.011637979766207e-19,1.0,10686474581524.463,1.0,-1.0116377336005788e-19,1.0,10686474581524.463,500.0,-1.0116377170708839e-19,-1.6339539999403545e-08
0.0,1.275051240713018e-19,1.0,10686474581524.463,1.0,-1.2750509945473896e-19,1.0,10686474581524.463,500.0,-1.2750509780176948e-19,-1.2963948193124696e-08
0.0,1.6070528182616384e-19,1.0,10686474581524.463,1.0,-1.60705257209601e-19,1.0,10686474581524.463,500.0,-1.6070525555663152e-19,-1.0285721375670511e-08
0.0,2.0255019392306747e-19,1.0,10686474581524.463,1.0,-2.0255016930650464e-19,1.0,10686474581524.463,500.0,-2.0255016765353513e-19,-8.16079061046737e-09
0.0,2.5529080682395166e-19,1.0,10686474581524.463,1.0,-2.5529078220738885e-19,1.0,10686474581524.463,500.0,-2.552907805544193e-19,-6.474850078094883e-09
0.0,3.2176417502507483e-19,1.0,10686474581524.463,1.0,-3.21764150408512e-19,1.0,10686474581524.463,500.0,-3.217641487555425e-19,-5.137208532407117e-09
0.0,4.0554607358408277e-19,1.0,10686474581524.463,1.0,-4.0554604896751996e-19,1.0,10686474581524.463,500.0,-4.055460473145504e-19,-4.0759109588259776e-09
0.0,5.111433483440186e-19,1.0,10686474581524.463,1.0,-5.111433237274558e-19,1.0,10686474581524.463,500.0,-5.111433220744862e-19,-3.2338670173779695e-09
0.0,6.44236350872137e-19,1.0,10686474581524.463,1.0,-6.442363262555742e-19,1.0,10686474581524.463,500.0,-6.442363246026046e-19,-2.5657813247790946e-09
0.0,8.119844993184042e-19,1.0,10686474581524.463,1.0,-8.119844747018413e-19,1.0,10686474581524.463,500.0,-8.119844730488717e-19,-2.035715806854713e-09
