eta,U,a,s,y,E
0.0,1e-10,1.0,485165195.4097903,1.0,-9.999998805690048e-11
0.0,1.2618568830660183e-10,1.0,485165195.4097903,1.0,-1.2618567636350231e-10
0.0,1.592282793341094e-10,1.0,485165195.4097903,1.0,-1.5922826739100987e-10
0.0,2.0092330025650458e-10,1.0,485165195.4097903,1.0,-2.0092328831340506e-10
0.0,2.5353644939701164e-10,1.0,485165195.4097903,1.0,-2.535364374539121e-10
0.0,3.1992671377973845e-10,1.0,485165195.4097903,1.0,-3.1992670183663893e-10
0.0,4.03701725859655e-10,1.0,485165195.4097903,1.0,-4.0370171391655547e-10
0.0,5.094138014816385e-10,1.0,485165195.4097903,1.0,-5.094137895385389e-10
0.0,6.428073117284319e-10,1.0,485165195.4097903,1.0,-6.428072997853324e-10
0.0,8.111308307896856e-10,1.0,485165195.4097903,1.0,-8.111308188465861e-10
0.0,1.0235310218990269e-09,1.0,485165195.4097903,1.0,-1.0235310099559272e-09
0.0,1.2915496650148826e-09,1.0,485165195.4097903,1.0,-1.2915496530717832e-09
0.0,1.6297508346206469e-09,1.0,485165195.4097903,1.0,-1.6297508226775475e-09
0.0,2.0565123083486515e-09,1.0,485165195.4097903,1.0,-2.056512296405552e-09
0.0,2.595024211399732e-09,1.0,485165195.4097903,1.0,-2.595024199456632e-09
0.0,3.2745491628777316e-09,1.0,485165195.4097903,1.0,-3.2745491509346315e-09
0.0,4.132012400115335e-09,1.0,485165195.4097903,1.0,-4.1320123881722354e-09
0.0,5.214008287999674e-09,1.0,485165195.4097903,1.0,-5.2140082760565745e-09
0.0,6.579332246575682e-09,1.0,485165195.4097903,1.0,-6.579332234632583e-09
0.0,8.302175681319736e-09,1.0,485165195.4097903,1.0,-8.302175669376634e-09
0.0,1.0476157527896662e-08,1.0,485165195.4097903,1.0,-1.0476157515953562e-08
0.0,1.3219411484660288e-08,1.0,485165195.4097903,1.0,-1.3219411472717186e-08
0.0,1.6681005372000592e-08,1.0,485165195.4097903,1.0,-1.668100536005749e-08
0.0,2.104904144512022e-08,1.0,485165195.4097903,1.0,-2.104904143317712e-08
0.0,2.656087782946684e-08,1.0,485165195.4097903,1.0,-2.6560877817523738e-08
