eta,U,a,s,y,E
0.0,1e-20,1.0,485165195.4097903,1.0,1.1933099512457651e-17
0.0,1.2603829296797325e-20,1.0,485165195.4097903,1.0,1.1930495683160852e-17
0.0,1.5885651294280527e-20,1.0,485165195.4097903,1.0,1.192721386116337e-17
0.0,2.0022003718155927e-20,1.0,485165195.4097903,1.0,1.1923077508739494e-17
0.0,2.523539170434766e-20,1.0,485165195.4097903,1.0,1.1917864120753302e-17
0.0,3.180625692794132e-20,1.0,485165195.4097903,1.0,1.1911293255529708e-17
0.0,4.0088063288984643e-20,1.0,485165195.4097903,1.0,1.1903011449168666e-17
0.0,5.0526310653357006e-20,1.0,485165195.4097903,1.0,1.1892573201804292e-17
0.0,6.368249944718586e-20,1.0,485165195.4097903,1.0,1.1879417013010464e-17
0.0,8.026433522257207e-20,1.0,485165195.4097903,1.0,1.1862835177235077e-17
0.0,1.011637979766207e-19,1.0,485165195.4097903,1.0,1.1841935714481029e-17
0.0,1.275051240713018e-19,1.0,485165195.4097903,1.0,1.1815594388386349e-17
0.0,1.6070528182616384e-19,1.0,485165195.4097903,1.0,1.1782394230631486e-17
0.0,2.0255019392306747e-19,1.0,485165195.4097903,1.0,1.1740549318534582e-17
0.0,2.5529080682395166e-19,1.0,485165195.4097903,1.0,1.1687808705633697e-17
0.0,3.2176417502507483e-19,1.0,485165195.4097903,1.0,1.1621335337432576e-17
0.0,4.0554607358408277e-19,1.0,485165195.4097903,1.0,1.1537553438873567e-17
0.0,5.111433483440186e-19,1.0,485165195.4097903,1.0,1.1431956164113632e-17
0.0,6.44236350872137e-19,1.0,485165195.4097903,1.0,1.1298863161585513e-17
0.0,8.119844993184042e-19,1.0,485165195.4097903,1.0,1.1131115013139245e-17
0.0,1.0234114021054528e-18,1.0,485165195.4097903,1.0,1.0919688110352198e-17
0.0,1.2898902612533134e-18,1.0,485165195.4097903,1.0,1.0653209251204337e-17
0.0,1.6257556664437935e-18,1.0,485165195.4097903,1.0,1.0317343846013857e-17
0.0,2.0490746898158546e-18,1.0,485165195.4097903,1.0,9.894024822641797e-18
0.0,2.5826187606826748e-18,1.0,485165195.4097903,1.0,9.360480751774976e-18
0.0,3.25508859983507e-18,1.0,485165195.4097903,1.0,8.68801091262258e-18
0.0,4.1026581058271906e-18,1.0,485165195.4097903,1.0,7.84044140663046e-18
0.0,5.1709202428967764e-18,1.0,485165195.4097903,1.0,6.772179269560874e-18
0.0,6.51733960488242e-18,1.0,485165195.4097903,1.0,5.42575990757523e-18
0.0,8.214343584919455e-18,1.0,485165195.4097903,1.0,3.728755927538195e-18
0.0,1.0353218432956615e-17,1.0,485165195.4097903,1.0,1.5898810795010359e-18
0.0,1.304901978014407e-17,1.0,485165195.4097903,1.0,-1.105920267686419e-18
0.0,1.6446761779946626e-17,1.0,485165195.4097903,1.0,-4.503662267488975e-18
0.0,2.0729217795953783e-17,1.0,485165195.4097903,1.0,-8.786118283496133e-18
0.0,2.6126752255633264e-17,1.0,485165195.4097903,1.0,-1.4183652743175614e-17
0.0,3.2929712550971615e-17,1.0,485165195.4097903,1.0,-2.0986613038513962e-17
0.0,4.1504047578504727e-17,1.0,485165195.4097903,1.0,-2.9560948066047077e-17
0.0,5.2310993080562793e-17,1.0,485165195.4097903,1.0,-4.036789356810514e-17
0.0,6.593188271333541e-17,1.0,485165195.4097903,1.0,-5.3988783200877764e-17
0.0,8.30994194935342e-17,1.0,485165195.4097903,1.0,-7.115631998107655e-17
0.0,1.0473708979594486e-16,1.0,485165195.4097903,1.0,-9.279399028348722e-17
0.0,1.320088400831422e-16,1.0,485165195.4097903,1.0,-1.2006574057068456e-16
0.0,1.6638168860761275e-16,1.0,485165195.4097903,1.0,-1.544385890951551e-16
0.0,2.0970464013232394e-16,1.0,485165195.4097903,1.0,-1.977615406198663e-16
0.0,2.643081486974103e-16,1.0,485165195.4097903,1.0,-2.523650491849526e-16
0.0,3.3312947879346835e-16,1.0,485165195.4097903,1.0,-3.211863792810107e-16
0.0,4.198707084443906e-16,1.0,485165195.4097903,1.0,-4.079276089319329e-16
0.0,5.291978735958458e-16,1.0,485165195.4097903,1.0,-5.172547740833882e-16
0.0,6.669919663030115e-16,1.0,485165195.4097903,1.0,-6.550488667905538e-16
0.0,8.406652885618351e-16,1.0,485165195.4097903,1.0,-8.287221890493774e-16
0.0,1.0595601792776148e-15,1.0,485165195.4097903,1.0,-1.047617079765157e-15
0.0,1.335451562929903e-15,1.0,485165195.4097903,1.0,-1.3235084634174452e-15
0.0,1.683180353330955e-15,1.0,485165195.4097903,1.0,-1.6712372538184972e-15
0.0,2.1214517849106365e-15,1.0,485165195.4097903,1.0,-2.1095086853981788e-15
