eta,U,a,s,y,E
0.0,1e-10,1.0,22026.465794806718,500.0,6.083460872525634e-09
0.0,1.2618568830660183e-10,1.0,22026.465794806718,500.0,6.057275185583296e-09
0.0,1.592282793341094e-10,1.0,22026.465794806718,500.0,6.024232596277295e-09
0.0,2.0092330025650458e-10,1.0,22026.465794806718,500.0,5.982537577527194e-09
0.0,2.5353644939701164e-10,1.0,22026.465794806718,500.0,5.929924431127811e-09
0.0,3.1992671377973845e-10,1.0,22026.465794806718,500.0,5.863534170203991e-09
0.0,4.03701725859655e-10,1.0,22026.465794806718,500.0,5.779759162488719e-09
0.0,5.094138014816385e-10,1.0,22026.465794806718,500.0,5.674047092374293e-09
0.0,6.428073117284319e-10,1.0,22026.465794806718,500.0,5.54065358907725e-09
0.0,8.111308307896856e-10,1.0,22026.465794806718,500.0,5.3723300787855844e-09
0.0,1.0235310218990269e-09,1.0,22026.465794806718,500.0,5.15992989874221e-09
0.0,1.2915496650148826e-09,1.0,22026.465794806718,500.0,4.891911269590021e-09
0.0,1.6297508346206469e-09,1.0,22026.465794806718,500.0,4.5537101176044036e-09
0.0,2.0565123083486515e-09,1.0,22026.465794806718,500.0,4.126948666110504e-09
0.0,2.595024211399732e-09,1.0,22026.465794806718,500.0,3.5884367911156826e-09
0.0,3.2745491628777316e-09,1.0,22026.465794806718,500.0,2.908911875040666e-09
0.0,4.132012400115335e-09,1.0,22026.465794806718,500.0,2.051448682476561e-09
0.0,5.214008287999674e-09,1.0,22026.465794806718,500.0,9.694528509637817e-10
0.0,6.579332246575682e-09,1.0,22026.465794806718,500.0,-3.958710364793848e-10
0.0,8.302175681319736e-09,1.0,22026.465794806718,500.0,-2.118714381463973e-09
0.0,1.0476157527896662e-08,1.0,22026.465794806718,500.0,-4.2926961147773e-09
0.0,1.3219411484660288e-08,1.0,22026.465794806718,500.0,-7.035949928618471e-09
0.0,1.6681005372000592e-08,1.0,22026.465794806718,500.0,-1.0497543635611094e-08
0.0,2.104904144512022e-08,1.0,22026.465794806718,500.0,-1.486557948115776e-08
0.0,2.656087782946684e-08,1.0,22026.465794806718,500.0,-2.037741557833987e-08
0.0,3.351602650938841e-08,1.0,22026.465794806718,500.0,-2.7332563895900932e-08
0.0,4.229242874389499e-08,1.0,22026.465794806718,500.0,-3.6108965673160404e-08
0.0,5.336699231206302e-08,1.0,22026.465794806718,500.0,-4.718352866434803e-08
0.0,6.734150657750828e-08,1.0,22026.465794806718,500.0,-6.115804220172659e-08
0.0,8.497534359086438e-08,1.0,22026.465794806718,500.0,-7.87918782963667e-08
0.0,1.0722672220103232e-07,1.0,22026.465794806718,500.0,-1.0104325574724656e-07
0.0,1.3530477745798075e-07,1.0,22026.465794806718,500.0,-1.2912130954133936e-07
0.0,1.7073526474706888e-07,1.0,22026.465794806718,500.0,-1.64551794984513e-07
0.0,2.1544346900318867e-07,1.0,22026.465794806718,500.0,-2.0925999691135294e-07
0.0,2.71858824273294e-07,1.0,22026.465794806718,500.0,-2.6567534924224046e-07
0.0,3.4304692863149193e-07,1.0,22026.465794806718,500.0,-3.368634498915661e-07
0.0,4.3287612810830616e-07,1.0,22026.465794806718,500.0,-4.266926446883144e-07
0.0,5.462277217684337e-07,1.0,22026.465794806718,500.0,-5.400442324428684e-07
0.0,6.892612104349695e-07,1.0,22026.465794806718,500.0,-6.830777136574157e-07
0.0,8.697490026177835e-07,1.0,22026.465794806718,500.0,-8.635654964368866e-07
0.0,1.0974987654930568e-06,1.0,22026.465794806718,500.0,-1.0913152474464867e-06
0.0,1.3848863713938717e-06,1.0,22026.465794806718,500.0,-1.3787028383745202e-06
0.0,1.747528400007683e-06,1.0,22026.465794806718,500.0,-1.7413448480948245e-06
0.0,2.2051307399030456e-06,1.0,22026.465794806718,500.0,-2.198947164149285e-06
0.0,2.782559402207126e-06,1.0,22026.465794806718,500.0,-2.776375796369559e-06
0.0,3.5111917342151275e-06,1.0,22026.465794806718,500.0,-3.5050080904161026e-06
0.0,4.430621457583877e-06,1.0,22026.465794806718,500.0,-4.424437765882925e-06
0.0,5.590810182512223e-06,1.0,22026.465794806718,500.0,-5.584626430365893e-06
0.0,7.0548023107186455e-06,1.0,22026.465794806718,500.0,-7.048618482298902e-06
0.0,8.902150854450392e-06,1.0,22026.465794806718,500.0,-8.895966929784517e-06
0.0,1.1233240329780266e-05,1.0,22026.465794806718,500.0,-1.1227056283665545e-05
0.0,1.4174741629268048e-05,1.0,22026.465794806718,500.0,-1.4168557429902264e-05
0.0,1.788649529057435e-05,1.0,22026.465794806718,500.0,-1.788031089782766e-05
0.0,2.2570197196339216e-05,1.0,22026.465794806718,500.0,-2.2564012559573498e-05
0.0,2.848035868435799e-05,1.0,22026.465794806718,500.0,-2.847417373967518e-05
0.0,3.5938136638046256e-05,1.0,22026.465794806718,500.0,-3.593195130481615e-05
0.0,4.534878508128582e-05,1.0,22026.465794806718,500.0,-4.534259925776463e-05
0.0,5.72236765935022e-05,1.0,22026.465794806718,500.0,-5.7217490151303833e-05
