eta,U,a,s,y,E
0.0,1e-20,1.0,485165195.4097903,500.0,1.273506276587479e-17
0.0,1.2603829296797325e-20,1.0,485165195.4097903,500.0,1.2732458936578e-17
0.0,1.5885651294280527e-20,1.0,485165195.4097903,500.0,1.2729177114580525e-17
0.0,2.0022003718155927e-20,1.0,485165195.4097903,500.0,1.2725040762156659e-17
0.0,2.523539170434766e-20,1.0,485165195.4097903,500.0,1.271982737417048e-17
0.0,3.180625692794132e-20,1.0,485165195.4097903,500.0,1.27132565089469e-17
0.0,4.0088063288984643e-20,1.0,485165195.4097903,500.0,1.2704974702585877e-17
0.0,5.0526310653357006e-20,1.0,485165195.4097903,500.0,1.2694536455221529e-17
0.0,6.368249944718586e-20,1.0,485165195.4097903,500.0,1.2681380266427731e-17
0.0,8.026433522257207e-20,1.0,485165195.4097903,500.0,1.2664798430652385e-17
0.0,1.011637979766207e-19,1.0,485165195.4097903,500.0,1.2643898967898385e-17
0.0,1.275051240713018e-19,1.0,485165195.4097903,500.0,1.2617557641803766e-17
0.0,1.6070528182616384e-19,1.0,485165195.4097903,500.0,1.2584357484048983e-17
0.0,2.0255019392306747e-19,1.0,485165195.4097903,500.0,1.2542512571952179e-17
0.0,2.5529080682395166e-19,1.0,485165195.4097903,500.0,1.248977195905142e-17
0.0,3.2176417502507483e-19,1.0,485165195.4097903,500.0,1.2423298590850453e-17
0.0,4.0554607358408277e-19,1.0,485165195.4097903,500.0,1.2339516692291644e-17
0.0,5.111433483440186e-19,1.0,485165195.4097903,500.0,1.2233919417531957e-17
0.0,6.44236350872137e-19,1.0,485165195.4097903,500.0,1.2100826415004154e-17
0.0,8.119844993184042e-19,1.0,485165195.4097903,500.0,1.1933078266558282e-17
0.0,1.0234114021054528e-18,1.0,485165195.4097903,500.0,1.1721651363771735e-17
0.0,1.2898902612533134e-18,1.0,485165195.4097903,500.0,1.1455172504624504e-17
0.0,1.6257556664437935e-18,1.0,485165195.4097903,500.0,1.1119307099434819e-17
0.0,2.0490746898158546e-18,1.0,485165195.4097903,500.0,1.0695988076063758e-17
0.0,2.5826187606826748e-18,1.0,485165195.4097903,500.0,1.01624440051982e-17
0.0,3.25508859983507e-18,1.0,485165195.4097903,500.0,9.489974166047397e-18
0.0,4.1026581058271906e-18,1.0,485165195.4097903,500.0,8.64240466005728e-18
0.0,5.1709202428967764e-18,1.0,485165195.4097903,500.0,7.57414252299022e-18
0.0,6.51733960488242e-18,1.0,485165195.4097903,500.0,6.227723161007762e-18
0.0,8.214343584919455e-18,1.0,485165195.4097903,500.0,4.53071918097474e-18
0.0,1.0353218432956615e-17,1.0,485165195.4097903,500.0,2.391844332942639e-18
0.0,1.304901978014407e-17,1.0,485165195.4097903,500.0,-3.0395701423843877e-19
0.0,1.6446761779946626e-17,1.0,485165195.4097903,500.0,-3.701699014032959e-18
0.0,2.0729217795953783e-17,1.0,485165195.4097903,500.0,-7.984155030029987e-18
0.0,2.6126752255633264e-17,1.0,485165195.4097903,500.0,-1.33816894896967e-17
0.0,3.2929712550971615e-17,1.0,485165195.4097903,500.0,-2.018464978501896e-17
0.0,4.1504047578504727e-17,1.0,485165195.4097903,500.0,-2.8758984812531793e-17
0.0,5.2310993080562793e-17,1.0,485165195.4097903,500.0,-3.95659303145643e-17
0.0,6.593188271333541e-17,1.0,485165195.4097903,500.0,-5.318681994730469e-17
0.0,8.30994194935342e-17,1.0,485165195.4097903,500.0,-7.035435672746289e-17
0.0,1.0473708979594486e-16,1.0,485165195.4097903,500.0,-9.199202702982237e-17
0.0,1.320088400831422e-16,1.0,485165195.4097903,500.0,-1.192637773169552e-16
0.0,1.6638168860761275e-16,1.0,485165195.4097903,500.0,-1.5363662584134447e-16
0.0,2.0970464013232394e-16,1.0,485165195.4097903,500.0,-1.9695957736595316e-16
0.0,2.643081486974103e-16,1.0,485165195.4097903,500.0,-2.5156308593091033e-16
