eta,U,a,s,y,E,ainf,sinf,yinf,Einf,dE
0.0,0.001,1.0,485165195.4097903,1.0,-0.0009999999999999879,1.0,485165195.4097903,500.0,-0.000999999999997622,-2.365945980803494e-12
0.0,0.5073164556962025,1.0,485165195.4097903,1.0,-0.5073164556962025,1.0,485165195.4097903,500.0,-0.5073164556950026,-2.3652476310294646e-12
0.0,1.013632911392405,1.0,485165195.4097903,1.0,-1.0136329113924047,1.0,485165195.4097903,500.0,-1.0136329113900076,-2.364952368686743e-12
0.0,1.5199493670886075,1.0,485165195.4097903,1.0,-1.5199493670886075,1.0,485165195.4097903,500.0,-1.5199493670850124,-2.3652920789302205e-12
0.0,2.02626582278481,1.0,485165195.4097903,1.0,-2.02626582278481,1.0,485165195.4097903,500.0,-2.0262658227800174,-2.365242851565477e-12
0.0,2.5325822784810126,1.0,485165195.4097903,1.0,-2.532582278481012,1.0,485165195.4097903,500.0,-2.5325822784750223,-2.365125632192455e-12
0.0,3.038898734177215,1.0,485165195.4097903,1.0,-3.038898734177215,1.0,485165195.4097903,500.0,-3.038898734170027,-2.3653397429171924e-12
0.0,3.5452151898734177,1.0,485165195.4097903,1.0,-3.5452151898734177,1.0,485165195.4097903,500.0,-3.5452151898650324,-2.3652421676293544e-12
0.0,4.051531645569621,1.0,485165195.4097903,1.0,-4.051531645569621,1.0,485165195.4097903,500.0,-4.051531645560038,-2.3651689801425866e-12
0.0,4.557848101265823,1.0,485165195.4097903,1.0,-4.557848101265822,1.0,485165195.4097903,500.0,-4.557848101255043,-2.364917185044549e-12
0.0,5.064164556962026,1.0,485165195.4097903,1.0,-5.064164556962026,1.0,485165195.4097903,500.0,-5.064164556950048,-2.3652418939738725e-12
0.0,5.570481012658228,1.0,485165195.4097903,1.0,-5.570481012658228,1.0,485165195.4097903,500.0,-5.570481012645053,-2.3651886880008607e-12
0.0,6.076797468354431,1.0,485165195.4097903,1.0,-6.076797468354431,1.0,485165195.4097903,500.0,-6.076797468340057,-2.3652905071943054e-12
