eta,U,a,s,y,E,ainf,sinf,yinf,Einf,dE
0.0,15.0,1.0,485165195.4097903,1.0,-15.0,1.0,485165195.4097903,500.0,-14.99999999996452,-2.365278343561675e-12
0.0,15.316455696202532,1.0,485165195.4097903,1.0,-15.31645569620253,1.0,485165195.4097903,500.0,-15.316455696166305,-2.3651193033487805e-12
0.0,15.632911392405063,1.0,485165195.4097903,1.0,-15.632911392405063,1.0,485165195.4097903,500.0,-15.632911392368086,-2.3653075899225935e-12
0.0,15.949367088607595,1.0,485165195.4097903,1.0,-15.949367088607593,1.0,485165195.4097903,500.0,-15.94936708856987,-2.3651542805443193e-12
0.0,16.265822784810126,1.0,485165195.4097903,1.0,-16.265822784810126,1.0,485165195.4097903,500.0,-16.26582278477165,-2.3654437682323227e-12
0.0,16.582278481012658,1.0,485165195.4097903,1.0,-16.582278481012658,1.0,485165195.4097903,500.0,-16.582278480973436,-2.3652937115343313e-12
0.0,16.89873417721519,1.0,485165195.4097903,1.0,-16.898734177215186,1.0,485165195.4097903,500.0,-16.898734177175218,-2.3651492749373886e-12
0.0,17.21518987341772,1.0,485165195.4097903,1.0,-17.21518987341772,1.0,485165195.4097903,500.0,-17.215189873377003,-2.365216519377558e-12
0.0,17.531645569620252,1.0,485165195.4097903,1.0,-17.531645569620252,1.0,485165195.4097903,500.0,-17.531645569578785,-2.36528133622061e-12
0.0,17.848101265822784,1.0,485165195.4097903,1.0,-17.848101265822784,1.0,485165195.4097903,500.0,-17.848101265780567,-2.3653438545940504e-12
0.0,18.164556962025316,1.0,485165195.4097903,1.0,-18.164556962025312,1.0,485165195.4097903,500.0,-18.164556961982353,-2.365013024758484e-12
0.0,18.481012658227847,1.0,485165195.4097903,1.0,-18.481012658227847,1.0,485165195.4097903,500.0,-18.481012658184135,-2.36527023234323e-12
0.0,18.79746835443038,1.0,485165195.4097903,1.0,-18.79746835443038,1.0,485165195.4097903,500.0,-18.79746835438592,-2.365140780574111e-12
0.0,19.11392405063291,1.0,485165195.4097903,1.0,-19.11392405063291,1.0,485165195.4097903,500.0,-19.113924050587702,-2.3652014857381595e-12
0.0,19.430379746835442,1.0,485165195.4097903,1.0,-19.43037974683544,1.0,485165195.4097903,500.0,-19.430379746789484,-2.3650773702905933e-12
0.0,19.746835443037973,1.0,485165195.4097903,1.0,-19.746835443037973,1.0,485165195.4097903,500.0,-19.746835442991266,-2.365317059031252e-12
0.0,20.063291139240505,1.0,485165195.4097903,1.0,-20.063291139240505,1.0,485165195.4097903,500.0,-20.06329113919305,-2.3651950359748846e-12
0.0,20.379746835443036,1.0,485165195.4097903,1.0,-20.379746835443036,1.0,485165195.4097903,500.0,-20.379746835394833,-2.365251128156682e-12
0.0,20.696202531645568,1.0,485165195.4097903,1.0,-20.696202531645568,1.0,485165195.4097903,500.0,-20.69620253159662,-2.3651338448096006e-12
0.0,21.0126582278481,1.0,485165195.4097903,1.0,-21.0126582278481,1.0,485165195.4097903,500.0,-21.012658227798397,-2.3653582439496324e-12
0.0,21.32911392405063,1.0,485165195.4097903,1.0,-21.32911392405063,1.0,485165195.4097903,500.0,-21.329113924000183,-2.365242851565477e-12
0.0,21.645569620253166,1.0,485165195.4097903,1.0,-21.645569620253166,1.0,485165195.4097903,500.0,-21.645569620201968,-2.3652949644443825e-12
0.0,21.962025316455698,1.0,485165195.4097903,1.0,-21.962025316455698,1.0,485165195.4097903,500.0,-21.962025316403754,-2.3651838092975985e-12
0.0,22.27848101265823,1.0,485165195.4097903,1.0,-22.27848101265823,1.0,485165195.4097903,500.0,-22.278481012605535,-2.365235280365568e-12
0.0,22.59493670886076,1.0,485165195.4097903,1.0,-22.59493670886076,1.0,485165195.4097903,500.0,-22.594936708807317,-2.365285309666927e-12
0.0,22.911392405063292,1.0,485165195.4097903,1.0,-22.911392405063292,1.0,485165195.4097903,500.0,-22.9113924050091,-2.365333956943387e-12
0.0,23.227848101265824,1.0,485165195.4097903,1.0,-23.227848101265824,1.0,485165195.4097903,500.0,-23.227848101210885,-2.3652283280648337e-12
0.0,23.544303797468356,1.0,485165195.4097903,1.0,-23.544303797468352,1.0,485165195.4097903,500.0,-23.544303797412667,-2.3651255386722635e-12
0.0,23.860759493670887,1.0,485165195.4097903,1.0,-23.860759493670887,1.0,485165195.4097903,500.0,-23.860759493614452,-2.365174369359403e-12
0.0,24.17721518987342,1.0,485165195.4097903,1.0,-24.17721518987342,1.0,485165195.4097903,500.0,-24.177215189816234,-2.3652219217563043e-12
0.0,24.49367088607595,1.0,485165195.4097903,1.0,-24.49367088607595,1.0,485165195.4097903,500.0,-24.493670886018016,-2.365268245409099e-12
0.0,24.810126582278482,1.0,485165195.4097903,1.0,-24.81012658227848,1.0,485165195.4097903,500.0,-24.810126582219798,-2.365170191223493e-12
0.0,25.126582278481013,1.0,485165195.4097903,1.0,-25.126582278481013,1.0,485165195.4097903,500.0,-25.126582278421584,-2.3652159995516936e-12
0.0,25.443037974683545,1.0,485165195.4097903,1.0,-25.443037974683545,1.0,485165195.4097903,500.0,-25.443037974623365,-2.3652606683692426e-12
0.0,25.759493670886076,1.0,485165195.4097903,1.0,-25.759493670886076,1.0,485165195.4097903,500.0,-25.75949367082515,-2.3651663210582885e-12
0.0,26.075949367088608,1.0,485165195.4097903,1.0,-26.075949367088604,1.0,485165195.4097903,500.0,-26.07594936702693,-2.3652105085755745e-12
0.0,26.39240506329114,1.0,485165195.4097903,1.0,-26.39240506329114,1.0,485165195.4097903,500.0,-26.392405063228715,-2.3652536364401675e-12
0.0,26.70886075949367,1.0,485165195.4097903,1.0,-26.70886075949367,1.0,485165195.4097903,500.0,-26.708860759430497,-2.3652957423174478e-12
0.0,27.025316455696203,1.0,485165195.4097903,1.0,-27.025316455696203,1.0,485165195.4097903,500.0,-27.025316455632282,-2.3652054033823205e-12
0.0,27.341772151898734,1.0,485165195.4097903,1.0,-27.34177215189873,1.0,485165195.4097903,500.0,-27.341772151834064,-2.3651171556262474e-12
0.0,27.658227848101266,1.0,485165195.4097903,1.0,-27.658227848101266,1.0,485165195.4097903,500.0,-27.658227848035846,-2.3652878283045242e-12
0.0,27.9746835443038,1.0,485165195.4097903,1.0,-27.9746835443038,1.0,485165195.4097903,500.0,-27.97468354423763,-2.365327642152693e-12
0.0,28.291139240506332,1.0,485165195.4097903,1.0,-28.291139240506332,1.0,485165195.4097903,500.0,-28.291139240439417,-2.365240988406662e-12
0.0,28.607594936708864,1.0,485165195.4097903,1.0,-28.60759493670886,1.0,485165195.4097903,500.0,-28.6075949366412,-2.365156251778907e-12
0.0,28.924050632911396,1.0,485165195.4097903,1.0,-28.924050632911396,1.0,485165195.4097903,500.0,-28.924050632842984,-2.3651961983949213e-12
0.0,29.240506329113927,1.0,485165195.4097903,1.0,-29.240506329113927,1.0,485165195.4097903,500.0,-29.240506329044763,-2.3653567800974404e-12
0.0,29.55696202531646,1.0,485165195.4097903,1.0,-29.55696202531646,1.0,485165195.4097903,500.0,-29.55696202524655,-2.365273525463181e-12
0.0,29.87341772151899,1.0,485165195.4097903,1.0,-29.873417721518987,1.0,485165195.4097903,500.0,-29.87341772144833,-2.365192034698291e-12
0.0,30.18987341772152,1.0,485165195.4097903,1.0,-30.18987341772152,1.0,485165195.4097903,500.0,-30.189873417650116,-2.365229931320768e-12
0.0,30.506329113924053,1.0,485165195.4097903,1.0,-30.506329113924053,1.0,485165195.4097903,500.0,-30.506329113851898,-2.3652670417062647e-12
0.0,30.822784810126585,1.0,485165195.4097903,1.0,-30.822784810126585,1.0,485165195.4097903,500.0,-30.822784810053683,-2.3651881274922125e-12
0.0,31.139240506329116,1.0,485165195.4097903,1.0,-31.139240506329113,1.0,485165195.4097903,500.0,-31.13924050625546,-2.3652249084372373e-12
0.0,31.455696202531648,1.0,485165195.4097903,1.0,-31.455696202531648,1.0,485165195.4097903,500.0,-31.455696202457247,-2.3652609493230057e-12
0.0,31.77215189873418,1.0,485165195.4097903,1.0,-31.77215189873418,1.0,485165195.4097903,500.0,-31.77215189865903,-2.3652962722628427e-12
0.0,32.08860759493671,1.0,485165195.4097903,1.0,-32.08860759493671,1.0,485165195.4097903,500.0,-32.08860759486081,-2.3653308984977516e-12
0.0,32.40506329113924,1.0,485165195.4097903,1.0,-32.40506329113924,1.0,485165195.4097903,500.0,-32.405063291062596,-2.3652552139153283e-12
0.0,32.721518987341774,1.0,485165195.4097903,1.0,-32.721518987341774,1.0,485165195.4097903,500.0,-32.721518987264375,-2.365398141708291e-12
0.0,33.037974683544306,1.0,485165195.4097903,1.0,-33.037974683544306,1.0,485165195.4097903,500.0,-33.03797468346617,-2.365108194439126e-12
0.0,33.35443037974684,1.0,485165195.4097903,1.0,-33.35443037974684,1.0,485165195.4097903,500.0,-33.354430379667946,-2.3652498050014463e-12
0.0,33.67088607594937,1.0,485165195.4097903,1.0,-33.67088607594937,1.0,485165195.4097903,500.0,-33.670886075869724,-2.3653887537110917e-12
0.0,33.9873417721519,1.0,485165195.4097903,1.0,-33.9873417721519,1.0,485165195.4097903,500.0,-33.98734177207151,-2.3653160539303325e-12
0.0,34.30379746835443,1.0,485165195.4097903,1.0,-34.303797468354425,1.0,485165195.4097903,500.0,-34.303797468273295,-2.365037563089716e-12
0.0,34.620253164556964,1.0,485165195.4097903,1.0,-34.62025316455696,1.0,485165195.4097903,500.0,-34.62025316447508,-2.3649694025245227e-12
0.0,34.936708860759495,1.0,485165195.4097903,1.0,-34.936708860759495,1.0,485165195.4097903,500.0,-34.93670886067686,-2.365309236724099e-12
0.0,35.25316455696203,1.0,485165195.4097903,1.0,-35.25316455696203,1.0,485165195.4097903,500.0,-35.25316455687864,-2.3654414154582427e-12
0.0,35.56962025316456,1.0,485165195.4097903,1.0,-35.56962025316456,1.0,485165195.4097903,500.0,-35.56962025308043,-2.3651717200076127e-12
0.0,35.88607594936709,1.0,485165195.4097903,1.0,-35.88607594936709,1.0,485165195.4097903,500.0,-35.88607594928221,-2.3653027802166085e-12
0.0,36.20253164556962,1.0,485165195.4097903,1.0,-36.20253164556962,1.0,485165195.4097903,500.0,-36.202531645483994,-2.365235280365568e-12
0.0,36.51898734177215,1.0,485165195.4097903,1.0,-36.51898734177215,1.0,485165195.4097903,500.0,-36.51898734168577,-2.3653635183841302e-12
0.0,36.835443037974684,1.0,485165195.4097903,1.0,-36.83544303797468,1.0,485165195.4097903,500.0,-36.83544303788756,-2.365103760037252e-12
0.0,37.151898734177216,1.0,485165195.4097903,1.0,-37.15189873417721,1.0,485165195.4097903,500.0,-37.15189873408934,-2.3650396802861474e-12
