eta,U,a,s,y,E,ainf,sinf,yinf,Einf,dE
0.0,10.0,1.0,485165195.4097903,1.0,-10.0,1.0,485165195.4097903,500.0,-9.999999999976346,-2.3653967673509685e-12
0.0,10.201005025125628,1.0,485165195.4097903,1.0,-10.201005025125626,1.0,485165195.4097903,500.0,-10.2010050251015,-2.3651079999829865e-12
0.0,10.402010050251256,1.0,485165195.4097903,1.0,-10.402010050251254,1.0,485165195.4097903,500.0,-10.402010050226654,-2.3650011632432553e-12
0.0,10.603015075376884,1.0,485165195.4097903,1.0,-10.603015075376883,1.0,485165195.4097903,500.0,-10.603015075351806,-2.365065910366188e-12
0.0,10.804020100502512,1.0,485165195.4097903,1.0,-10.804020100502512,1.0,485165195.4097903,500.0,-10.80402010047696,-2.3651282482938485e-12
0.0,11.00502512562814,1.0,485165195.4097903,1.0,-11.00502512562814,1.0,485165195.4097903,500.0,-11.00502512560211,-2.365349722283989e-12
0.0,11.206030150753769,1.0,485165195.4097903,1.0,-11.206030150753769,1.0,485165195.4097903,500.0,-11.206030150727264,-2.3652462151345344e-12
0.0,11.407035175879397,1.0,485165195.4097903,1.0,-11.407035175879397,1.0,485165195.4097903,500.0,-11.407035175852416,-2.365302080488604e-12
0.0,11.608040201005025,1.0,485165195.4097903,1.0,-11.608040201005025,1.0,485165195.4097903,500.0,-11.60804020097757,-2.365202982968488e-12
0.0,11.809045226130653,1.0,485165195.4097903,1.0,-11.809045226130653,1.0,485165195.4097903,500.0,-11.809045226102722,-2.3652576823899256e-12
0.0,12.010050251256281,1.0,485165195.4097903,1.0,-12.010050251256281,1.0,485165195.4097903,500.0,-12.010050251227874,-2.3653105508683866e-12
0.0,12.21105527638191,1.0,485165195.4097903,1.0,-12.21105527638191,1.0,485165195.4097903,500.0,-12.211055276353026,-2.3653616788208075e-12
0.0,12.412060301507537,1.0,485165195.4097903,1.0,-12.412060301507537,1.0,485165195.4097903,500.0,-12.41206030147818,-2.365268035418072e-12
0.0,12.613065326633166,1.0,485165195.4097903,1.0,-12.613065326633166,1.0,485165195.4097903,500.0,-12.613065326603332,-2.3653182113313772e-12
0.0,12.814070351758794,1.0,485165195.4097903,1.0,-12.814070351758794,1.0,485165195.4097903,500.0,-12.814070351728486,-2.365228187603856e-12
0.0,13.015075376884422,1.0,485165195.4097903,1.0,-13.015075376884422,1.0,485165195.4097903,500.0,-13.01507537685364,-2.3651409445320113e-12
0.0,13.21608040201005,1.0,485165195.4097903,1.0,-13.216080402010048,1.0,485165195.4097903,500.0,-13.21608040197879,-2.3651907639912657e-12
0.0,13.417085427135678,1.0,485165195.4097903,1.0,-13.417085427135676,1.0,485165195.4097903,500.0,-13.417085427103943,-2.3651066955974175e-12
0.0,13.618090452261306,1.0,485165195.4097903,1.0,-13.618090452261304,1.0,485165195.4097903,500.0,-13.618090452229096,-2.3651555498908572e-12
0.0,13.819095477386934,1.0,485165195.4097903,1.0,-13.819095477386933,1.0,485165195.4097903,500.0,-13.81909547735425,-2.365074439328109e-12
0.0,14.020100502512562,1.0,485165195.4097903,1.0,-14.020100502512562,1.0,485165195.4097903,500.0,-14.020100502479401,-2.365249055957871e-12
0.0,14.22110552763819,1.0,485165195.4097903,1.0,-14.22110552763819,1.0,485165195.4097903,500.0,-14.221105527604553,-2.3652938265305932e-12
0.0,14.422110552763819,1.0,485165195.4097903,1.0,-14.422110552763819,1.0,485165195.4097903,500.0,-14.422110552729706,-2.3653373491431e-12
0.0,14.623115577889447,1.0,485165195.4097903,1.0,-14.623115577889447,1.0,485165195.4097903,500.0,-14.62311557785486,-2.365258199308857e-12
0.0,14.824120603015075,1.0,485165195.4097903,1.0,-14.824120603015075,1.0,485165195.4097903,500.0,-14.824120602980011,-2.365301024728099e-12
0.0,15.025125628140703,1.0,485165195.4097903,1.0,-15.025125628140703,1.0,485165195.4097903,500.0,-15.025125628105165,-2.3652244785605243e-12
0.0,15.226130653266331,1.0,485165195.4097903,1.0,-15.226130653266331,1.0,485165195.4097903,500.0,-15.226130653230317,-2.3652666184340218e-12
0.0,15.42713567839196,1.0,485165195.4097903,1.0,-15.42713567839196,1.0,485165195.4097903,500.0,-15.42713567835547,-2.3653076602000667e-12
