eta,U,a,s,y,E,ainf,sinf,yinf,Einf,dE
0.0,0.001,1.0,485165195.4097903,1.0,-0.0009999999999999879,1.0,485165195.4097903,10.0,-0.0009999999999999872,-6.505213034913109e-16
0.0,0.0010558759904980778,1.0,485165195.4097903,1.0,-0.001055875990498066,1.0,485165195.4097903,10.0,-0.001055875990498065,-8.214617491011062e-16
0.0,0.0011148741073102968,1.0,485165195.4097903,1.0,-0.0011148741073102849,1.0,485165195.4097903,10.0,-0.001114874107310284,-7.779907455927717e-16
0.0,0.00117716880233692,1.0,485165195.4097903,1.0,-0.001177168802336908,1.0,485165195.4097903,10.0,-0.0011771688023369071,-7.368201877815002e-16
0.0,0.0012429442751509313,1.0,485165195.4097903,1.0,-0.0012429442751509194,1.0,485165195.4097903,10.0,-0.0012429442751509185,-6.978283381876379e-16
0.0,0.0013123950176589063,1.0,485165195.4097903,1.0,-0.0013123950176588941,1.0,485165195.4097903,10.0,-0.0013123950176588935,-4.956749261756041e-16
0.0,0.0013857263891953401,1.0,485165195.4097903,1.0,-0.0013857263891953282,1.0,485165195.4097903,10.0,-0.0013857263891953273,-6.259256839960079e-16
0.0,0.0014631552237509547,1.0,485165195.4097903,1.0,-0.0014631552237509427,1.0,485165195.4097903,10.0,-0.0014631552237509417,-7.41002837488456e-16
0.0,0.0015449104711304758,1.0,485165195.4097903,1.0,-0.0015449104711304637,1.0,485165195.4097903,10.0,-0.001544910471130463,-4.2107378754141935e-16
0.0,0.0016312338739357432,1.0,485165195.4097903,1.0,-0.0016312338739357312,1.0,485165195.4097903,10.0,-0.0016312338739357304,-5.317212644044057e-16
0.0,0.0017223806823759194,1.0,485165195.4097903,1.0,-0.0017223806823759072,1.0,485165195.4097903,10.0,-0.0017223806823759063,-5.035830620161957e-16
0.0,0.0018186204090184291,1.0,485165195.4097903,1.0,-0.0018186204090184172,1.0,485165195.4097903,10.0,-0.0018186204090184163,-4.769339075307937e-16
0.0,0.0019202376257123532,1.0,485165195.4097903,1.0,-0.0019202376257123413,1.0,485165195.4097903,10.0,-0.0019202376257123404,-4.516950018967798e-16
0.0,0.002027532805040708,1.0,485165195.4097903,1.0,-0.002027532805040696,1.0,485165195.4097903,10.0,-0.0020275328050406954,-2.1389585801818739e-16
0.0,0.002140823208789706,1.0,485165195.4097903,1.0,-0.002140823208789694,1.0,485165195.4097903,10.0,-0.0021408232087896935,-2.0257668508712667e-16
0.0,0.002260443826062104,1.0,485165195.4097903,1.0,-0.002260443826062092,1.0,485165195.4097903,10.0,-0.0022604438260620916,-1.9185651242203844e-16
0.0,0.002386748363808589,1.0,485165195.4097903,1.0,-0.0023867483638085767,1.0,485165195.4097903,10.0,-0.0023867483638085763,-1.8170364147738204e-16
0.0,0.0025201102927060602,1.0,485165195.4097903,1.0,-0.002520110292706048,1.0,485165195.4097903,10.0,-0.0025201102927060477,-1.7208805116561916e-16
0.0,0.0026609239514754123,1.0,485165195.4097903,1.0,-0.0026609239514754,1.0,485165195.4097903,10.0,-0.0026609239514753997,-1.6298130908767206e-16
0.0,0.00280960571290416,1.0,485165195.4097903,1.0,-0.0028096057129041473,1.0,485165195.4097903,10.0,-0.0028096057129041473,0.0
0.0,0.0029665952150217377,1.0,485165195.4097903,1.0,-0.0029665952150217255,1.0,485165195.4097903,10.0,-0.002966595215021725,-1.4618808349659723e-16
0.0,0.0031323566610679354,1.0,485165195.4097903,1.0,-0.0031323566610679233,1.0,485165195.4097903,10.0,-0.003132356661067923,-1.3845194398978365e-16
0.0,0.0033073801920983584,1.0,485165195.4097903,1.0,-0.0033073801920983463,1.0,485165195.4097903,10.0,-0.003307380192098346,-1.3112519390129618e-16
0.0,0.003492183336285577,1.0,485165195.4097903,1.0,-0.0034921833362855648,1.0,485165195.4097903,10.0,-0.0034921833362855643,-1.241861687180156e-16
0.0,0.0036873125392014156,1.0,485165195.4097903,1.0,-0.0036873125392014035,1.0,485165195.4097903,10.0,-0.003687312539201403,-1.1761435039301773e-16
0.0,0.003893344779605281,1.0,485165195.4097903,1.0,-0.0038933447796052688,1.0,485165195.4097903,10.0,-0.0038933447796052683,-1.11390306675632e-16
0.0,0.0041108892755162465,1.0,485165195.4097903,1.0,-0.004110889275516234,1.0,485165195.4097903,10.0,-0.0041108892755162335,-2.109912673041973e-16
0.0,0.004340589285613642,1.0,485165195.4097903,1.0,-0.00434058928561363,1.0,485165195.4097903,10.0,-0.004340589285613629,-1.998258026538405e-16
0.0,0.004583124011292648,1.0,485165195.4097903,1.0,-0.004583124011292636,1.0,485165195.4097903,10.0,-0.004583124011292635,-1.8925120416799954e-16
0.0,0.004839210604999149,1.0,485165195.4097903,1.0,-0.004839210604999136,1.0,485165195.4097903,10.0,-0.004839210604999136,0.0
0.0,0.0051096062907822785,1.0,485165195.4097903,1.0,-0.005109606290782266,1.0,485165195.4097903,10.0,-0.0051096062907822655,-1.6975118798352917e-16
0.0,0.005395110603334953,1.0,485165195.4097903,1.0,-0.005395110603334941,1.0,485165195.4097903,10.0,-0.00539511060333494,-1.6076811056519425e-16
0.0,0.005696567752142976,1.0,485165195.4097903,1.0,-0.005696567752142964,1.0,485165195.4097903,10.0,-0.005696567752142963,-1.522604093775792e-16
0.0,0.006014869117733373,1.0,485165195.4097903,1.0,-0.006014869117733361,1.0,485165195.4097903,10.0,-0.00601486911773336,-1.4420292794588015e-16
0.0,0.0063509558874030245,1.0,485165195.4097903,1.0,-0.006350955887403012,1.0,485165195.4097903,10.0,-0.0063509558874030115,-1.3657184105290316e-16
0.0,0.006705821838221267,1.0,485165195.4097903,1.0,-0.006705821838221255,1.0,485165195.4097903,10.0,-0.006705821838221254,-1.2934458429013e-16
0.0,0.007080516275535522,1.0,485165195.4097903,1.0,-0.00708051627553551,1.0,485165195.4097903,10.0,-0.007080516275535509,-1.2249978733687804e-16
0.0,0.007476147135668829,1.0,485165195.4097903,1.0,-0.007476147135668816,1.0,485165195.4097903,10.0,-0.007476147135668816,0.0
0.0,0.007893884261983692,1.0,485165195.4097903,1.0,-0.00789388426198368,1.0,485165195.4097903,10.0,-0.00789388426198368,0.0
0.0,0.008334962863999219,1.0,485165195.4097903,1.0,-0.008334962863999207,1.0,485165195.4097903,10.0,-0.008334962863999207,0.0
0.0,0.008800687169789871,1.0,485165195.4097903,1.0,-0.008800687169789859,1.0,485165195.4097903,10.0,-0.008800687169789859,0.0
0.0,0.009292434282465605,1.0,485165195.4097903,1.0,-0.009292434282465593,1.0,485165195.4097903,10.0,-0.009292434282465593,0.0
0.0,0.009811658252136665,1.0,485165195.4097903,1.0,-0.009811658252136653,1.0,485165195.4097903,10.0,-0.009811658252136653,0.0
0.0,0.010359894375403446,1.0,485165195.4097903,1.0,-0.010359894375403434,1.0,485165195.4097903,10.0,-0.010359894375403434,0.0
0.0,0.010938763735084584,1.0,485165195.4097903,1.0,-0.010938763735084572,1.0,485165195.4097903,10.0,-0.010938763735084572,0.0
0.0,0.011549977993606889,1.0,485165195.4097903,1.0,-0.011549977993606877,1.0,485165195.4097903,10.0,-0.011549977993606875,-1.5019279490722912e-16
0.0,0.012195344454230674,1.0,485165195.4097903,1.0,-0.012195344454230662,1.0,485165195.4097903,10.0,-0.012195344454230662,0.0
0.0,0.012876771405076055,1.0,485165195.4097903,1.0,-0.012876771405076043,1.0,485165195.4097903,10.0,-0.012876771405076043,0.0
0.0,0.013596273761752004,1.0,485165195.4097903,1.0,-0.013596273761751992,1.0,485165195.4097903,10.0,-0.013596273761751992,0.0
0.0,0.014355979025272931,1.0,485165195.4097903,1.0,-0.014355979025272917,1.0,485165195.4097903,10.0,-0.014355979025272919,1.2083630610792347e-16
0.0,0.015158133572879685,1.0,485165195.4097903,1.0,-0.015158133572879672,1.0,485165195.4097903,10.0,-0.015158133572879673,1.1444175944461295e-16
0.0,0.016005109300366506,1.0,485165195.4097903,1.0,-0.016005109300366496,1.0,485165195.4097903,10.0,-0.016005109300366492,-2.167712126698297e-16
0.0,0.01689941063555448,1.0,485165195.4097903,1.0,-0.01689941063555447,1.0,485165195.4097903,10.0,-0.016899410635554467,-2.0529987860371215e-16
0.0,0.017843681943649846,1.0,485165195.4097903,1.0,-0.017843681943649835,1.0,485165195.4097903,10.0,-0.017843681943649832,-1.9443559703149232e-16
0.0,0.018840715346383947,1.0,485165195.4097903,1.0,-0.018840715346383936,1.0,485165195.4097903,10.0,-0.01884071534638393,-3.68292486582204e-16
0.0,0.019893458978055487,1.0,485165195.4097903,1.0,-0.019893458978055473,1.0,485165195.4097903,10.0,-0.019893458978055473,0.0
0.0,0.021005025702887214,1.0,485165195.4097903,1.0,-0.021005025702887203,1.0,485165195.4097903,10.0,-0.0210050257028872,-1.6517223073317778e-16
0.0,0.02217870231947362,1.0,485165195.4097903,1.0,-0.02217870231947361,1.0,485165195.4097903,10.0,-0.022178702319473605,-1.5643146753934874e-16
0.0,0.023417959279536237,1.0,485165195.4097903,1.0,-0.023417959279536223,1.0,485165195.4097903,10.0,-0.023417959279536223,0.0
0.0,0.024726460949723975,1.0,485165195.4097903,1.0,-0.024726460949723965,1.0,485165195.4097903,10.0,-0.02472646094972396,-1.4031312281235888e-16
0.0,0.026108076446801846,1.0,485165195.4097903,1.0,-0.026108076446801833,1.0,485165195.4097903,10.0,-0.026108076446801833,0.0
0.0,0.027566891078266435,1.0,485165195.4097903,1.0,-0.027566891078266424,1.0,485165195.4097903,10.0,-0.02756689107826642,-1.25855575882799e-16
0.0,0.02910721842221721,1.0,485165195.4097903,1.0,-0.029107218422217196,1.0,485165195.4097903,10.0,-0.029107218422217196,0.0
0.0,0.030733613082202495,1.0,485165195.4097903,1.0,-0.03073361308220248,1.0,485165195.4097903,10.0,-0.03073361308220248,0.0
0.0,0.03245088415475524,1.0,485165195.4097903,1.0,-0.03245088415475523,1.0,485165195.4097903,10.0,-0.03245088415475522,-2.1382757618610003e-16
0.0,0.03426410944944057,1.0,485165195.4097903,1.0,-0.034264109449440555,1.0,485165195.4097903,10.0,-0.034264109449440555,0.0
0.0,0.036178650503462605,1.0,485165195.4097903,1.0,-0.03617865050346259,1.0,485165195.4097903,10.0,-0.03617865050346259,0.0
0.0,0.03820016843522738,1.0,485165195.4097903,1.0,-0.03820016843522737,1.0,485165195.4097903,10.0,-0.03820016843522737,0.0
0.0,0.04033464068373912,1.0,485165195.4097903,1.0,-0.040334640683739105,1.0,485165195.4097903,10.0,-0.040334640683739105,0.0
0.0,0.042588378683327106,1.0,485165195.4097903,1.0,-0.04258837868332709,1.0,485165195.4097903,10.0,-0.04258837868332709,0.0
0.0,0.044968046525965234,1.0,485165195.4097903,1.0,-0.04496804652596522,1.0,485165195.4097903,10.0,-0.04496804652596522,0.0
0.0,0.04748068066636721,1.0,485165195.4097903,1.0,-0.047480680666367195,1.0,485165195.4097903,10.0,-0.047480680666367195,0.0
