eta,U,a,s,y,ke,eph,coul,E,Einf,dE
0.0002,1e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-9.681637291192924e-06,-9.998000000000002e-06,0.031642599400587855
0.0002,1.2288774330579116e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-1.1969953755393927e-05,-1.2286316575713e-05,0.02574919980040594
0.0002,1.510139745479005e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-1.4782014217945447e-05,-1.5098377175299092e-05,0.02095344113347591
0.0002,1.8557766539829677e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-1.8237691860769367e-05,-1.855405498652171e-05,0.017050888659226198
0.0002,2.2805220508753942e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-2.2484296131958494e-05,-2.2800659464652193e-05,0.0138751834430121
0.0002,2.802482083911719e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-2.7702852287950105e-05,-2.8019215874949366e-05,0.011290950767901648
0.0002,3.44390698946822e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-3.4115818181193634e-05,-3.443218208070326e-05,0.009188029349058508
0.0002,4.2321395809079146e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-4.199656724637077e-05,-4.2312931529917335e-05,0.007476775352302916
0.0002,5.200780824528904e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-5.1681041928159094e-05,-5.199740668363999e-05,0.006084241035436718
0.0002,6.391122189543889e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-6.358207431562947e-05,-6.389843965105981e-05,0.004951065114546851
0.0002,7.85390583064617e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-7.820698444668327e-05,-7.852335049480041e-05,0.004028942297082549
0.0002,9.65148763664303e-05,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-9.617920646723517e-05,-9.649557339115701e-05,0.0032785641123599615
0.0002,0.00011860495352108069,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.00011826486453019799,-0.00011858123253037647,0.002667943260730057
0.0002,0.00014575095083093872,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.00014540543131800655,-0.00014572180064077253,0.002171050051363894
0.0002,0.00017911005432287385,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.00017875786136394538,-0.00017907423231200927,0.0017667028024035633
0.0002,0.00022010430379115656,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.00021974390998504248,-0.00022006028293039832,0.0014376649031934152
0.0002,0.0002704812118478755,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.0002701107402057231,-0.0002704271156055059,0.0011699100479418284
0.0002,0.0003323882573060108,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.00033200540123857683,-0.0003323217796545496,0.0009520243190248632
0.0002,0.0004084644284168036,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.00040806635340861965,-0.0004083827355311202,0.0007747196317912378
0.0002,0.0005019527182883087,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.000501535941067282,-0.000501852327744651,0.000630437799881868
0.0002,0.0006168383679665784,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.0006163986080182413,-0.0006167150002929851,0.0005130283430652859
0.0002,0.0007580187502384012,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.000757550747335122,-0.0007578671464883535,0.0004174863031041392
0.0002,0.0009315121360027327,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.0009310094259694823,-0.0009313258335755322,0.0003397388912053098
0.0002,0.0011447142425533316,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.0011441688817112937,-0.001144485299704821,0.00027647187221100554
0.0002,0.0014067134999737711,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.0014061157265153122,-0.0014064321572737765,0.00022498828459499104
0.0002,0.0017286784748956803,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.001728016292755694,-0.0017283327392007013,0.00018309347374487588
0.0002,0.0021243339668122713,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.0021235926342970625,-0.0021239091000189087,0.0001490015377039715
0.0002,0.002610546072093995,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.002609707473468858,-0.002610023962879576,0.00012125919731737305
0.0002,0.0032080411559542855,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.003207083029201657,-0.003207399547723095,9.868384550421578e-05
0.0002,0.003942289380873242,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.003941184368702123,-0.003941500922997067,8.031313480034567e-05
0.0002,0.004844590454738973,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.004843304938391826,-0.004843621536648026,6.536395418273974e-05
0.0002,0.005953407882236496,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.005951900548380854,-0.005952217200660049,5.319904642580757e-05
0.0002,0.00731600859626953,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.007314228675883443,-0.0073145453945502766,4.3299842949868896e-05
0.0002,0.008990477864013325,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.008988362968191417,-0.008988679768440522,3.524435815561344e-05
0.0002,0.011048195359492682,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.011045668819917065,-0.011045985720420783,2.8689200922360136e-05
0.0002,0.013576877953295699,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.01357384555400069,-0.013574162577705039,2.3354936448869665e-05
0.0002,0.016684318928186587,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.01668066488929813,-0.01668098206440095,1.9014174441065845e-05
0.0002,0.020502983016789482,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.020498565059033136,-0.020498882420186125,1.548187586444314e-05
0.0002,0.025195653139702213,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.025190296419288428,-0.025190614009074273,1.2607465055454268e-05
0.0002,0.0309623695545348,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.030955859209876296,-0.030956177080623894,1.026841094657211e-05
0.0002,0.0380489572195672,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.03804102921210813,-0.03804134742812328,8.36500378325326e-06
0.0002,0.04675750487851208,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.04674783473722971,-0.04674815337753638,6.816104672512356e-06
0.0002,0.057459242571298766,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.05744743156107557,-0.057447750722784505,5.5556867748687895e-06
0.0002,0.0706103665164695,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.07059592464071779,-0.07059624444316621,4.530020696543353e-06
0.0002,0.08677148595203744,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.08675381106500833,-0.08675413165484704,3.695384099736346e-06
0.0002,0.10663152091936053,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.10660987305773179,-0.10661019461517665,3.0161978976430915e-06
0.0002,0.13103706971044476,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.13101053954998848,-0.1310108622965027,2.463509578909326e-06
0.0002,0.16102849786120232,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.16099596795389537,-0.16099629216163008,2.0137590149518858e-06
0.0002,0.1978842871008457,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.19784438424002992,-0.19784471024342554,1.6477741315951889e-06
0.0002,0.24317553477498208,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.2431265714579843,-0.24312689966802709,1.349953638329425e-06
0.0002,0.2988329269567655,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.29877282944963246,-0.29877316037137414,1.1076019722269603e-06
0.0002,0.3672290401918124,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.36715526012968674,-0.36715559438377404,9.103881090481152e-07
0.0002,0.451279480255236,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.4511888860100534,-0.45118922435918496,7.499051690034792e-07
0.0002,0.554567169287763,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.5544559124724663,-0.5544562558539055,6.193120476978874e-07
0.0002,0.6814950794525384,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.6813584308711197,-0.6813587804366479,5.130417897695739e-07
0.0002,0.8374739238792347,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.837306071929443,-0.8373064290944588,4.265642821857858e-07
0.0002,1.0291528058296509,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-1.0289466087646304,-1.028946975268485,3.5619314056775774e-07
0.0002,1.2647026582522884,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-1.2644493397404952,-1.264449717720638,2.9892856745775824e-07
0.0002,1.5541645562545927,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-1.5538533312602474,-1.5538537233433418,2.5232947512737744e-07
0.0002,1.9098777504397322,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-1.9094953654757507,-1.9094957748896442,2.144094262150014e-07
0.0002,2.347005667414797,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-2.3465358355699926,-2.3465362662813143,1.8355195609315213e-07
0.0002,2.884182299945072,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-2.883605006601833,-2.883605463485083,1.5844166467471358e-07
0.0002,3.544306541227564,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-3.5435971908739763,-3.5435976799193183,1.3800814487819422e-07
0.0002,4.355518324354103,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-4.354646692120621,-4.354647220689232,1.213803516829149e-07
0.0002,5.352398178068967,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-5.351327121295488,-5.351327698433353,1.0784947176144017e-07
0.0002,6.577441333769234,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-6.576125208678955,-6.57612584550248,9.683870709616965e-08
0.0002,8.08286922233136,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-8.081251938317008,-8.081252648486894,8.787868867061187e-08
0.0002,9.932855581681359,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-9.93086821026145,-9.930869010565022,8.058746640340453e-08
0.0002,12.206262070151563,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-12.203819906670708,-12.203820817737533,7.46542283063719e-08
0.0002,15.0,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-14.99699895281871,-14.997,6.982605115940802e-08
