eta,U,a,s,y,E,yinf,Einf,dE
0.0002,1e-05,1,1.1051709180756477,1.0,2.3016309608190575,10.0,2.456182123831341,-0.06292333191123572
0.0002,1.2288774330579116e-05,1,1.1051709180756477,1.0,2.301628850483627,10.0,2.4561798040664096,-0.06292330607348474
0.0002,1.510139745479005e-05,1,1.1051709180756477,1.0,2.3016262571400405,10.0,2.456176953359636,-0.0629232743219889
0.0002,1.8557766539829677e-05,1,1.1051709180756477,1.0,2.3016230702386307,10.0,2.4561734501904127,-0.06292323530319108
0.0002,2.2805220508753942e-05,1,1.1051709180756477,1.0,2.3016191539274065,10.0,2.456169145224811,-0.06292318735371892
0.0002,2.802482083911719e-05,1,1.1051709180756477,1.0,2.3016143412609225,10.0,2.4561638549497324,-0.06292312842946424
0.0002,3.44390698946822e-05,1,1.1051709180756477,1.0,2.301608427083688,10.0,2.456157353850074,-0.0629230560184296
0.0002,4.2321395809079146e-05,1,1.1051709180756477,1.0,2.3016011592847483,10.0,2.456149364795413,-0.06292296703361844
0.0002,5.200780824528904e-05,1,1.1051709180756477,1.0,2.301592228050644,10.0,2.45613954722643,-0.06292285768139956
0.0002,6.391122189543889e-05,1,1.1051709180756477,1.0,2.3015812526586035,10.0,2.456127482637458,-0.06292272329972809
0.0002,7.85390583064617e-05,1,1.1051709180756477,1.0,2.301567765247006,10.0,2.4561126567363316,-0.06292255815931662
0.0002,9.65148763664303e-05,1,1.1051709180756477,1.0,2.301551190871264,10.0,2.456094437521013,-0.06292235521926129
0.0002,0.00011860495352108069,1,1.1051709180756477,1.0,2.3015308229949474,10.0,2.4560720483384593,-0.06292210582668352
0.0002,0.00014575095083093872,1,1.1051709180756477,1.0,2.3015057933713825,10.0,2.456044534777275,-0.06292179934754585
0.0002,0.00017911005432287385,1,1.1051709180756477,1.0,2.3014750350318254,10.0,2.4560107239828324,-0.0629214227128461
0.0002,0.00022010430379115656,1,1.1051709180756477,1.0,2.3014372368024656,10.0,2.455969174660548,-0.06292095986076085
0.0002,0.0002704812118478755,1,1.1051709180756477,1.0,2.301390787411396,10.0,2.455918115636034,-0.06292039105083048
0.0002,0.0003323882573060108,1,1.1051709180756477,1.0,2.301333706802931,10.0,2.4558553703530546,-0.06291969202075184
0.0002,0.0004084644284168036,1,1.1051709180756477,1.0,2.3012635617313237,10.0,2.4557782640907706,-0.0629188329495434
0.0002,0.0005019527182883087,1,1.1051709180756477,1.0,2.3011773620357845,10.0,2.455683509945102,-0.06291777718243984
0.0002,0.0006168383679665784,1,1.1051709180756477,1.0,2.3010714331752,10.0,2.4555670687138016,-0.06291647966248572
0.0002,0.0007580187502384012,1,1.1051709180756477,1.0,2.3009412595889187,10.0,2.455423976712379,-0.06291488500096049
0.0002,0.0009315121360027327,1,1.1051709180756477,1.0,2.3007812922063575,10.0,2.4552481341809798,-0.06291292510284269
0.0002,0.0011447142425533316,1,1.1051709180756477,1.0,2.300584711899902,10.0,2.4550320452623713,-0.06291051624377615
0.0002,0.0014067134999737711,1,1.1051709180756477,1.0,2.300343138797515,10.0,2.454766498466759,-0.06290755547042726
