eta,U,a,s,y,E,ainf,sinf,yinf,Einf,dE
0.0,1e-05,1.0,22026.465794806718,1.0,-9.994205623791241e-06,1.0,22026.465794806718,500.0,-9.993816018136615e-06,-3.898467351403188e-05
0.0,1.2288774330579116e-05,1.0,22026.465794806718,1.0,-1.2282979954370355e-05,1.0,22026.465794806718,500.0,-1.2282590229471489e-05,-3.172986247890571e-05
0.0,1.510139745479005e-05,1.0,22026.465794806718,1.0,-1.5095603078581291e-05,1.0,22026.465794806718,500.0,-1.5095213207145864e-05,-2.5827487831856733e-05
0.0,1.8557766539829677e-05,1.0,22026.465794806718,1.0,-1.8551972163620915e-05,1.0,22026.465794806718,500.0,-1.8551582112110016e-05,-2.1025242404785842e-05
0.0,2.2805220508753942e-05,1.0,22026.465794806718,1.0,-2.279942613254518e-05,1.0,22026.465794806718,500.0,-2.27990358597436e-05,-1.7117952003827345e-05
0.0,2.802482083911719e-05,1.0,22026.465794806718,1.0,-2.8019026462908424e-05,1.0,22026.465794806718,500.0,-2.8018635918167718e-05,-1.393874926124162e-05
0.0,3.44390698946822e-05,1.0,22026.465794806718,1.0,-3.443327551847344e-05,1.0,22026.465794806718,500.0,-3.443288463955288e-05,-1.1351907475995424e-05
0.0,4.2321395809079146e-05,1.0,22026.465794806718,1.0,-4.231560143287039e-05,1.0,22026.465794806718,500.0,-4.2315210143283746e-05,-9.247019814328109e-06
0.0,5.200780824528904e-05,1.0,22026.465794806718,1.0,-5.200201386908028e-05,1.0,22026.465794806718,500.0,-5.2001622074835355e-05,-7.534269688063991e-06
0.0,6.391122189543889e-05,1.0,22026.465794806718,1.0,-6.390542751923013e-05,1.0,22026.465794806718,500.0,-6.390503510482202e-05,-6.1405866919061756e-06
0.0,7.85390583064617e-05,1.0,22026.465794806718,1.0,-7.853326393025294e-05,1.0,22026.465794806718,500.0,-7.85328707537403e-05,-5.006521586035889e-06
0.0,9.65148763664303e-05,1.0,22026.465794806718,1.0,-9.650908199022153e-05,1.0,22026.465794806718,500.0,-9.650868787717585e-05,-4.083705356978212e-06
0.0,0.00011860495352108069,1.0,22026.465794806718,1.0,-0.00011859915914487193,1.0,22026.465794806718,500.0,-0.0001185987638809419,-3.332782881467018e-06
0.0,0.00014575095083093872,1.0,22026.465794806718,1.0,-0.00014574515645472992,1.0,22026.465794806718,500.0,-0.00014574475977650417,-2.721732337800862e-06
0.0,0.00017911005432287385,1.0,22026.465794806718,1.0,-0.00017910425994666508,1.0,22026.465794806718,500.0,-0.0001791038615304431,-2.2244982244704908e-06
0.0,0.00022010430379115656,1.0,22026.465794806718,1.0,-0.00022009850941494778,1.0,22026.465794806718,500.0,-0.00022009810886294154,-1.8198793634305023e-06
0.0,0.0002704812118478755,1.0,22026.465794806718,1.0,-0.0002704754174716667,1.0,22026.465794806718,500.0,-0.00027047501429504334,-1.4906242797738335e-06
0.0,0.0003323882573060108,1.0,22026.465794806718,1.0,-0.000332382462929802,1.0,22026.465794806718,500.0,-0.0003323820565278459,-1.2226952331086363e-06
0.0,0.0004084644284168036,1.0,22026.465794806718,1.0,-0.0004084586340405948,1.0,22026.465794806718,500.0,-0.00040845822367510014,-1.0046694395950668e-06
0.0,0.0005019527182883087,1.0,22026.465794806718,1.0,-0.0005019469239120999,1.0,22026.465794806718,500.0,-0.0005019465086759019,-8.272518899679824e-07
0.0,0.0006168383679665784,1.0,22026.465794806718,1.0,-0.0006168325735903696,1.0,22026.465794806718,500.0,-0.0006168321523686745,-6.828789541743522e-07
0.0,0.0007580187502384012,1.0,22026.465794806718,1.0,-0.0007580129558621924,1.0,22026.465794806718,500.0,-0.0007580125272850549,-5.653958504784427e-07
0.0,0.0009315121360027327,1.0,22026.465794806718,1.0,-0.000931506341626524,1.0,22026.465794806718,500.0,-0.0009315059040104493,-4.6979420397343724e-07
0.0,0.0011447142425533316,1.0,22026.465794806718,1.0,-0.001144708448177123,1.0,22026.465794806718,500.0,-0.0011447079994533023,-3.919985017155769e-07
0.0,0.0014067134999737711,1.0,22026.465794806718,1.0,-0.0014067077055975625,1.0,22026.465794806718,500.0,-0.0014067072432236833,-3.2869232843501155e-07
0.0,0.0017286784748956803,1.0,22026.465794806718,1.0,-0.0017286726805194716,1.0,22026.465794806718,500.0,-0.0017286722013713438,-2.7717697286868075e-07
