eta,U,a,s,y,E,ainf,sinf,yinf,Einf,dE
0.0002,1e-05,1.0,22026.465794806718,1.0,-9.992205557854172e-06,1.0,22026.465794806718,1000.0,-9.991817819884582e-06,-3.880554835761934e-05
0.0002,1.2288774330579116e-05,1.0,22026.465794806718,1.0,-1.2280522118475661e-05,1.0,22026.465794806718,1000.0,-1.2280134688732789e-05,-3.154930729122981e-05
0.0002,1.510139745479005e-05,1.0,22026.465794806718,1.0,-1.5092582699516141e-05,1.0,22026.465794806718,1000.0,-1.509219564854612e-05,-2.564576944500757e-05
0.0002,1.8557766539829677e-05,1.0,22026.465794806718,1.0,-1.854826048794847e-05,1.0,22026.465794806718,1000.0,-1.8547873902443863e-05,-2.0842577787737507e-05
0.0002,2.2805220508753942e-05,1.0,22026.465794806718,1.0,-2.2794864938072488e-05,1.0,22026.465794806718,1000.0,-2.2794478924567816e-05,-1.6934517606206767e-05
0.0002,2.802482083911719e-05,1.0,22026.465794806718,1.0,-2.8013421313953144e-05,1.0,22026.465794806718,1000.0,-2.8013036003366295e-05,-1.3754688595802485e-05
0.0002,3.44390698946822e-05,1.0,22026.465794806718,1.0,-3.442638747741337e-05,1.0,22026.465794806718,1000.0,-3.4426003030626354e-05,-1.11673372790793e-05
0.0002,4.2321395809079146e-05,1.0,22026.465794806718,1.0,-4.230713687465369e-05,1.0,22026.465794806718,1000.0,-4.2306753489370816e-05,-9.06203504760596e-06
0.0002,5.200780824528904e-05,1.0,22026.465794806718,1.0,-5.199161196450698e-05,1.0,22026.465794806718,1000.0,-5.199122988368258e-05,-7.348947606200051e-06
0.0002,6.391122189543889e-05,1.0,22026.465794806718,1.0,-6.389264485343918e-05,1.0,22026.465794806718,1000.0,-6.389226437563436e-05,-5.954990146906827e-06
0.0002,7.85390583064617e-05,1.0,22026.465794806718,1.0,-7.851755560072811e-05,1.0,22026.465794806718,1000.0,-7.851717709283788e-05,-4.820701714543661e-06
0.0002,9.65148763664303e-05,1.0,22026.465794806718,1.0,-9.648977837855743e-05,1.0,22026.465794806718,1000.0,-9.648940229145078e-05,-3.897703765555527e-06
0.0002,0.00011860495352108069,1.0,22026.465794806718,1.0,-0.0001185754373721214,1.0,22026.465794806718,1000.0,-0.00011857506425986107,-3.146633422930088e-06
0.0002,0.00014575095083093872,1.0,22026.465794806718,1.0,-0.00014571600530352468,1.0,22026.465794806718,1000.0,-0.0001457156358469859,-2.5354625577403323e-06
0.0002,0.00017911005432287385,1.0,22026.465794806718,1.0,-0.00017906843675480127,1.0,22026.465794806718,1000.0,-0.00017906807179069614,-2.0381305359714468e-06
0.0002,0.00022010430379115656,1.0,22026.465794806718,1.0,-0.00022005448710288626,1.0,22026.465794806718,1000.0,-0.00022005412765943146,-1.633432004271781e-06
0.0002,0.0002704812118478755,1.0,22026.465794806718,1.0,-0.0002704213194458233,1.0,22026.465794806718,1000.0,-0.0002704209667865711,-1.304112089977185e-06
0.0002,0.0003323882573060108,1.0,22026.465794806718,1.0,-0.00033231598308667003,1.0,22026.465794806718,1000.0,-0.0003323156387643714,-1.0361302884408007e-06
0.0002,0.0004084644284168036,1.0,22026.465794806718,1.0,-0.00040837693846161664,1.0,22026.465794806718,1000.0,-0.00040837660438441205,-8.180615662282446e-07
0.0002,0.0005019527182883087,1.0,22026.465794806718,1.0,-0.000501846530058713,1.0,22026.465794806718,1000.0,-0.0005018462085714732,-6.406090836858384e-07
0.0002,0.0006168383679665784,1.0,22026.465794806718,1.0,-0.0006167092018495248,1.0,22026.465794806718,1000.0,-0.0006167088958338087,-4.962077216628696e-07
0.0002,0.0007580187502384012,1.0,22026.465794806718,1.0,-0.0007578613471139912,1.0,22026.465794806718,1000.0,-0.0007578610601108814,-3.787014861437889e-07
0.0002,0.0009315121360027327,1.0,22026.465794806718,1.0,-0.0009313200330572052,1.0,22026.465794806718,1000.0,-0.0009313197694182583,-2.830810164173633e-07
0.0002,0.0011447142425533316,1.0,22026.465794806718,1.0,-0.001144479497780702,1.0,22026.465794806718,1000.0,-0.0011444792628534475,-2.0526999670618433e-07
0.0002,0.0014067134999737711,1.0,22026.465794806718,1.0,-0.001406426353622111,1.0,22026.465794806718,1000.0,-0.0014064261539780075,-1.4195135875756072e-07
0.0002,0.0017286784748956803,1.0,22026.465794806718,1.0,-0.0017283269334260932,1.0,22026.465794806718,1000.0,-0.0017283267771406575,-9.042586033601845e-08
0.0002,0.0021243339668122713,1.0,22026.465794806718,1.0,-0.002123903291635464,1.0,22026.465794806718,1000.0,-0.002123903188632517,-4.849700656550962e-08
0.0002,0.002610546072093995,1.0,22026.465794806718,1.0,-0.002610018151290191,1.0,22026.465794806718,1000.0,-0.002610018113764892,-1.437740935305664e-08
0.0002,0.0032080411559542855,1.0,22026.465794806718,1.0,-0.0032073937321940023,1.0,22026.465794806718,1000.0,-0.0032073937751327065,1.3387412725692523e-08
0.0002,0.003942289380873242,1.0,22026.465794806718,1.0,-0.003941495102626557,1.0,22026.465794806718,1000.0,-0.00394149524444566,3.5981041120973596e-08
0.0002,0.004844590454738973,1.0,22026.465794806718,1.0,-0.004843615710328006,1.0,22026.465794806718,1000.0,-0.004843615973659,5.4366612614973907e-08
0.0002,0.005953407882236496,1.0,22026.465794806718,1.0,-0.0059522113670288125,1.0,22026.465794806718,1000.0,-0.0059522117796830245,6.932787798725039e-08
0.0002,0.00731600859626953,1.0,22026.465794806718,1.0,-0.00731453955193445,1.0,22026.465794806718,1000.0,-0.007314540148088597,8.150261474802983e-08
0.0002,0.008990477864013325,1.0,22026.465794806718,1.0,-0.008988673914783737,1.0,22026.465794806718,1000.0,-0.008988674736436813,9.140981285131383e-08
0.0002,0.011048195359492682,1.0,22026.465794806718,1.0,-0.011045979853196011,1.0,22026.465794806718,1000.0,-0.011045980951959633,9.947180123999462e-08
0.0002,0.013576877953295699,1.0,22026.465794806718,1.0,-0.013574156693806875,1.0,22026.465794806718,1000.0,-0.01357415813310539,1.060322490225163e-07
0.0002,0.016684318928186587,1.0,22026.465794806718,1.0,-0.016680976160013232,1.0,22026.465794806718,1000.0,-0.016680978017787392,1.1137081759961359e-07
0.0002,0.020502983016789482,1.0,22026.465794806718,1.0,-0.020498876490619253,1.0,22026.465794806718,1000.0,-0.020498878862648694,1.1571508163036744e-07
0.0002,0.025195653139702213,1.0,22026.465794806718,1.0,-0.025190608048565308,1.0,22026.465794806718,1000.0,-0.025190611052551458,1.1925022953356183e-07
0.0002,0.0309623695545348,1.0,22026.465794806718,1.0,-0.03095617108209089,1.0,22026.465794806718,1000.0,-0.03095617486267438,1.221269586891297e-07
0.0002,0.0380489572195672,1.0,22026.465794806718,1.0,-0.0380413413828634,1.0,22026.465794806718,1000.0,-0.03804134611778982,1.2446789891465958e-07
0.0002,0.04675750487851208,1.0,22026.465794806718,1.0,-0.04674814727485488,1.0,22026.465794806718,1000.0,-0.04674815318255181,1.263728409934307e-07
0.0002,0.057459242571298766,1.0,22026.465794806718,1.0,-0.05744774454953888,1.0,22026.465794806718,1000.0,-0.057447751898427026,1.2792298916845152e-07
0.0002,0.0706103665164695,1.0,22026.465794806718,1.0,-0.07059623818320593,1.0,22026.465794806718,1000.0,-0.07059624730314143,1.2918442338829655e-07
0.0002,0.08677148595203744,1.0,22026.465794806718,1.0,-0.08675412528832506,1.0,22026.465794806718,1000.0,-0.08675413658466068,1.302109162932349e-07
0.0002,0.10663152091936053,1.0,22026.465794806718,1.0,-0.10661018811770342,1.0,22026.465794806718,1000.0,-0.10661020208856804,1.310462258232668e-07
0.0002,0.13103706971044476,1.0,22026.465794806718,1.0,-0.13101085563810644,1.0,22026.465794806718,1000.0,-0.1310108728956394,1.3172595966117143e-07
0.0002,0.16102849786120232,1.0,22026.465794806718,1.0,-0.16099628530547913,1.0,22026.465794806718,1000.0,-0.16099630660192463,1.3227909351134665e-07
0.0002,0.1978842871008457,1.0,22026.465794806718,1.0,-0.1978447031442583,1.0,22026.465794806718,1000.0,-0.19784472940403228,1.3272920661329596e-07
0.0002,0.24317553477498208,1.0,22026.465794806718,1.0,-0.24312689227022266,1.0,22026.465794806718,1000.0,-0.24312692462931895,1.3309548640380772e-07
0.0002,0.2988329269567655,1.0,22026.465794806718,1.0,-0.29877315260658116,1.0,22026.465794806718,1000.0,-0.2987731924609971,1.33393547144726e-07
0.0002,0.3672290401918124,1.0,22026.465794806718,1.0,-0.36715558616799715,1.0,22026.465794806718,1000.0,-0.36715563523324213,1.3363609398745326e-07
0.0002,0.451279480255236,1.0,22026.465794806718,1.0,-0.45118921558920405,1.0,22026.465794806718,1000.0,-0.4511892759734291,1.3383346697309043e-07
0.0002,0.554567169287763,1.0,22026.465794806718,1.0,-0.5544562464028757,1.0,22026.465794806718,1000.0,-0.55445632069674,1.3399407944246357e-07
0.0002,0.6814950794525384,1.0,22026.465794806718,1.0,-0.6813587701486927,1.0,22026.465794806718,1000.0,-0.6813588615357986,1.341247777665307e-07
