eta,U,a,s,y,E,ainf,sinf,yinf,Einf,dE
0.0002,1e-05,1.0,162754.79141900392,1.0,-9.997893863374165e-06,1.0,162754.79141900392,5000.0,-9.997887188993714e-06,-6.675790919511743e-07
0.0002,1.2288774330579116e-05,1.0,162754.79141900392,1.0,-1.2286210437044749e-05,1.0,162754.79141900392,5000.0,-1.228620386610629e-05,-5.348225155474199e-07
0.0002,1.510139745479005e-05,1.0,162754.79141900392,1.0,-1.5098271034120965e-05,1.0,162754.79141900392,5000.0,-1.5098264590300036e-05,-4.267921581521795e-07
0.0002,1.8557766539829677e-05,1.0,162754.79141900392,1.0,-1.8553948842259256e-05,1.0,162754.79141900392,5000.0,-1.8553942554650188e-05,-3.388826417596482e-07
0.0002,2.2805220508753942e-05,1.0,162754.79141900392,1.0,-2.2800553316599474e-05,1.0,162754.79141900392,5000.0,-2.280054722095564e-05,-2.6734638312969983e-07
0.0002,2.802482083911719e-05,1.0,162754.79141900392,1.0,-2.801910972223888e-05,1.0,162754.79141900392,5000.0,-2.801910386249679e-05,-2.09133815256455e-07
0.0002,3.44390698946822e-05,1.0,162754.79141900392,1.0,-3.443207592226894e-05,1.0,162754.79141900392,5000.0,-3.4432070352421187e-05,-1.6176337043961381e-07
0.0002,4.2321395809079146e-05,1.0,162754.79141900392,1.0,-4.2312825364449133e-05,1.0,162754.79141900392,5000.0,-4.231282015084597e-05,-1.2321568603622515e-07
0.0002,5.200780824528904e-05,1.0,162754.79141900392,1.0,-5.199730050952801e-05,1.0,162754.79141900392,5000.0,-5.19972957337058e-05,-9.184751142744639e-08
0.0002,6.391122189543889e-05,1.0,162754.79141900392,1.0,-6.38983334663257e-05,1.0,162754.79141900392,5000.0,-6.38983292284826e-05,-6.632165733089759e-08
0.0002,7.85390583064617e-05,1.0,162754.79141900392,1.0,-7.852324429701298e-05,1.0,162754.79141900392,5000.0,-7.85232407202803e-05,-4.554998801364594e-08
0.0002,9.65148763664303e-05,1.0,162754.79141900392,1.0,-9.649546717732866e-05,1.0,162754.79141900392,5000.0,-9.649546441301964e-05,-2.8647035744619814e-08
0.0002,0.00011860495352108069,1.0,162754.79141900392,1.0,-0.00011858112629683579,1.0,162754.79141900392,5000.0,-0.00011858112453089587,-1.4892251416747113e-08
0.0002,0.00014575095083093872,1.0,162754.79141900392,1.0,-0.00014572169438300782,1.0,162754.79141900392,5000.0,-0.00014572169384394117,-3.699288925949219e-09
0.0002,0.00017911005432287385,1.0,162754.79141900392,1.0,-0.0001790741260244762,1.0,162754.79141900392,5000.0,-0.0001790741269930864,5.408990221400587e-09
0.0002,0.00022010430379115656,1.0,162754.79141900392,1.0,-0.00022006017660628356,1.0,162754.79141900392,5000.0,-0.00022006017942764386,1.282085797209603e-08
0.0002,0.0002704812118478755,1.0,162754.79141900392,1.0,-0.00027042700923643676,1.0,162754.79141900392,5000.0,-0.0002704270143345998,1.8852269847932657e-08
0.0002,0.0003323882573060108,1.0,162754.79141900392,1.0,-0.00033232167323023697,1.0,162754.79141900392,5000.0,-0.0003323216811263116,2.376033549598743e-08
0.0002,0.0004084644284168036,1.0,162754.79141900392,1.0,-0.0004083826290389202,1.0,162754.79141900392,5000.0,-0.00040838264037328515,2.7754277136595654e-08
0.0002,0.0005019527182883087,1.0,162754.79141900392,1.0,-0.0005018522211690257,1.0,162754.79141900392,5000.0,-0.0005018522367286279,3.100434964522772e-08
0.0002,0.0006168383679665784,1.0,162754.79141900392,1.0,-0.0006167148936148402,1.0,162754.79141900392,5000.0,-0.0006167149143667415,3.3649099120207846e-08
0.0002,0.0007580187502384012,1.0,162754.79141900392,1.0,-0.0007578670396842247,1.0,162754.79141900392,5000.0,-0.0007578670668168249,3.580126567184767e-08
0.0002,0.0009315121360027327,1.0,162754.79141900392,1.0,-0.0009313257266165846,1.0,162754.79141900392,5000.0,-0.0009313257615902817,3.7552592828231444e-08
0.0002,0.0011447142425533316,1.0,162754.79141900392,1.0,-0.00114448519255562,1.0,162754.79141900392,5000.0,-0.0011444852371650645,3.897773684188995e-08
0.0002,0.0014067134999737711,1.0,162754.79141900392,1.0,-0.0014064320498907775,1.0,162754.79141900392,5000.0,-0.0014064321063413739,4.013744859278866e-08
0.0002,0.0017286784748956803,1.0,162754.79141900392,1.0,-0.0017283326315303933,1.0,162754.79141900392,5000.0,-0.0017283327025323144,4.108116512252395e-08
0.0002,0.0021243339668122713,1.0,162754.79141900392,1.0,-0.0021239089919955333,1.0,162754.79141900392,5000.0,-0.002123909080879249,4.1849115054930576e-08
0.0002,0.002610546072093995,1.0,162754.79141900392,1.0,-0.0026100238544223236,1.0,162754.79141900392,5000.0,-0.002610023965280573,4.2474034991396946e-08
0.0002,0.0032080411559542855,1.0,162754.79141900392,1.0,-0.003207399438732661,1.0,162754.79141900392,5000.0,-0.0032073995765949186,4.2982564018561174e-08
0.0002,0.003942289380873242,1.0,162754.79141900392,1.0,-0.003941500813351419,1.0,162754.79141900392,5000.0,-0.0039415009843982935,4.339638002321001e-08
0.0002,0.004844590454738973,1.0,162754.79141900392,1.0,-0.004843621426197198,1.0,162754.79141900392,5000.0,-0.0048436216380238995,4.3733123058600944e-08
0.0002,0.005953407882236496,1.0,162754.79141900392,1.0,-0.005952217089219756,1.0,162754.79141900392,5000.0,-0.005952217351159865,4.4007147909135526e-08
0.0002,0.00731600859626953,1.0,162754.79141900392,1.0,-0.007314545281894052,1.0,162754.79141900392,5000.0,-0.007314545605417398,4.423013589445232e-08
0.0002,0.008990477864013325,1.0,162754.79141900392,1.0,-0.008988679654290066,1.0,162754.79141900392,5000.0,-0.008988680053491663,4.44115926643713e-08
0.0002,0.011048195359492682,1.0,162754.79141900392,1.0,-0.0110459856044341,1.0,162754.79141900392,5000.0,-0.01104598609663499,4.455925318479169e-08
