eta,U,a,s,y,E,ainf,sinf,yinf,Einf,dE
1e-05,1e-05,1.0,485165195.4097903,1.0,-9.999899999987907e-06,1.0,485165195.4097903,500.0,-9.999899999963604e-06,-2.43033123558324e-12
1e-05,1.2288774330579116e-05,1.0,485165195.4097903,1.0,-1.2288651442823682e-05,1.0,485165195.4097903,500.0,-1.2288651442793999e-05,-2.415515058081162e-12
1e-05,1.510139745479005e-05,1.0,485165195.4097903,1.0,-1.5101246440803333e-05,1.0,485165195.4097903,500.0,-1.5101246440767041e-05,-2.4032435865747228e-12
1e-05,1.8557766539829677e-05,1.0,485165195.4097903,1.0,-1.855758096215206e-05,1.0,485165195.4097903,500.0,-1.855758096210764e-05,-2.393545141724699e-12
1e-05,2.2805220508753942e-05,1.0,485165195.4097903,1.0,-2.280499245653657e-05,1.0,485165195.4097903,500.0,-2.2804992456482167e-05,-2.3855843074741052e-12
1e-05,2.802482083911719e-05,1.0,485165195.4097903,1.0,-2.8024540590896434e-05,1.0,485165195.4097903,500.0,-2.8024540590829762e-05,-2.379045505784202e-12
1e-05,3.44390698946822e-05,1.0,485165195.4097903,1.0,-3.4438725503970795e-05,1.0,485165195.4097903,500.0,-3.443872550388905e-05,-2.373550889175563e-12
1e-05,4.2321395809079146e-05,1.0,485165195.4097903,1.0,-4.232097259510849e-05,1.0,485165195.4097903,500.0,-4.2320972595008215e-05,-2.3693961239345576e-12
1e-05,5.200780824528904e-05,1.0,485165195.4097903,1.0,-5.2007288167193875e-05,1.0,485165195.4097903,500.0,-5.200728816707083e-05,-2.365887520508239e-12
1e-05,6.391122189543889e-05,1.0,485165195.4097903,1.0,-6.391058278320703e-05,1.0,485165195.4097903,500.0,-6.391058278305603e-05,-2.362711322559749e-12
1e-05,7.85390583064617e-05,1.0,485165195.4097903,1.0,-7.853827291586551e-05,1.0,485165195.4097903,500.0,-7.853827291568013e-05,-2.3604417577006987e-12
1e-05,9.65148763664303e-05,1.0,485165195.4097903,1.0,-9.651391121765326e-05,1.0,485165195.4097903,500.0,-9.651391121742563e-05,-2.3585019324367956e-12
1e-05,0.00011860495352108069,1.0,485165195.4097903,1.0,-0.00011860376747153176,1.0,485165195.4097903,500.0,-0.00011860376747125222,-2.3569907061846877e-12
1e-05,0.00014575095083093872,1.0,485165195.4097903,1.0,-0.00014574949332141627,1.0,485165195.4097903,500.0,-0.00014574949332107293,-2.3556838185056383e-12
1e-05,0.00017911005432287385,1.0,485165195.4097903,1.0,-0.000179108263222316,1.0,485165195.4097903,500.0,-0.00017910826322189424,-2.3547469977661302e-12
1e-05,0.00022010430379115656,1.0,485165195.4097903,1.0,-0.0002201021027481034,1.0,485165195.4097903,500.0,-0.0002201021027475853,-2.353843973568681e-12
