eta,U,a,s,y,E,yinf,Einf,dE
0.0002,1e-05,1,5,1.0,0.00011763163915060462,1000.0,0.00012620159922045697,-0.06790690548129898
0.0002,1.2288774330579116e-05,1,5,1.0,0.00011534332481471108,1000.0,0.00012391323914269747,-0.06916060291279567
0.0002,1.510139745479005e-05,1,5,1.0,0.00011253126696758858,1000.0,0.0001211011250844281,-0.07076613128792054
0.0002,1.8557766539829677e-05,1,5,1.0,0.00010907559253880633,1000.0,0.00011764538157903604,-0.07284424535163236
0.0002,2.2805220508753942e-05,1,5,1.0,0.0001048289922172805,1000.0,0.00011339869637082323,-0.07557145212251012
0.0002,2.802482083911719e-05,1,5,1.0,9.961044091494095e-05,1000.0,0.00010818004075314971,-0.07921608994179687
0.0002,3.44390698946822e-05,1,5,1.0,9.319748098624093e-05,1000.0,0.00010176695263368986,-0.08420682181861865
0.0002,4.2321395809079146e-05,1,5,1.0,8.531673925075674e-05,1000.0,9.388605336747372e-05,-0.091273557779411
0.0002,5.200780824528904e-05,1,5,1.0,7.563227357626263e-05,1000.0,8.420139410701815e-05,-0.10176934267696748
0.0002,6.391122189543889e-05,1,5,1.0,6.373125225765287e-05,1000.0,7.230013489498899e-05,-0.11851821092425122
0.0002,7.85390583064617e-05,1,5,1.0,4.9106355728872046e-05,1000.0,5.7674946024353625e-05,-0.1485669408665495
0.0002,9.65148763664303e-05,1,5,1.0,3.113415042384648e-05,1000.0,3.970238146702025e-05,-0.21581151373227275
0.0002,0.00011860495352108069,1,5,1.0,9.048512902216764e-06,1000.0,1.7616302468336675e-05,-0.48635572541511196
0.0002,0.00014575095083093872,1,5,1.0,-1.809202864281112e-05,1000.0,-9.524781597879909e-06,-0.8994691329025506
0.0002,0.00017911005432287385,1,5,1.0,-5.1444427668466414e-05,1000.0,-4.287784731558093e-05,-0.19979035537478035
0.0002,0.00022010430379115656,1,5,1.0,-9.24304381694371e-05,1000.0,-8.386467709936142e-05,-0.1021378888745629
0.0002,0.0002704812118478755,1,5,1.0,-0.00014279722154515463,1000.0,-0.00013423246727323516,-0.06380538513447416
0.0002,0.0003323882573060108,1,5,1.0,-0.00020469182501129033,1000.0,-0.0001961283079709048,-0.04366283036335533
0.0002,0.0004084644284168036,1,5,1.0,-0.0002807527064388926,1000.0,-0.00027219070980441854,-0.03145587386368283
0.0002,0.0005019527182883087,1,5,1.0,-0.0003742222071637662,1000.0,-0.00036566207892180583,-0.02340994249991911
0.0002,0.0006168383679665784,1,5,1.0,-0.0004890847672837542,1000.0,-0.0004805269350671899,-0.017809266436579017
0.0002,0.0007580187502384012,1,5,1.0,-0.0006302367753184652,1000.0,-0.0006216817646356958,-0.013761077080622752
0.0002,0.0009315121360027327,1,5,1.0,-0.0008036952926231298,1000.0,-0.0007951437492595677,-0.010754713687336747
0.0002,0.0011447142425533316,1,5,1.0,-0.0010168545501105187,1000.0,-0.0010083072676572837,-0.00847686288436061
0.0002,0.0014067134999737711,1,5,1.0,-0.0012788011512841514,1000.0,-0.0012702591049674617,-0.006724648761252922
0.0002,0.0017286784748956803,1,5,1.0,-0.0016007014181326504,1000.0,-0.0015921658063859975,-0.005361006820029407
0.0002,0.0021243339668122713,1,5,1.0,-0.0019962773917580907,1000.0,-0.0019877496873093475,-0.004290129941001997
0.0002,0.002610546072093995,1,5,1.0,-0.0024823917788063038,1000.0,-0.0024738737914575186,-0.0034431778121416156
0.0002,0.0032080411559542855,1,5,1.0,-0.0030797667789346363,1000.0,-0.003071260732710704,-0.0027695617416450707
0.0002,0.003942289380873242,1,5,1.0,-0.003813867435665311,1000.0,-0.003805376063620235,-0.0022314146888803726
0.0002,0.004844590454738973,1,5,1.0,-0.004715987166314626,1000.0,-0.004707513827036796,-0.0017999605713667336
