eta,U,a,s,y,E,yinf,Einf,dE
0.0002,1e-05,1,403.4287934927351,1.0,7.274795639471235e-06,1000.0,8.434637059984627e-06,-0.13750934536541942
0.0002,1.2288774330579116e-05,1,403.4287934927351,1.0,4.986479887726903e-06,1000.0,6.146320484271628e-06,-0.1887048681422886
0.0002,1.510139745479005e-05,1,403.4287934927351,1.0,2.1744203006973117e-06,1000.0,3.334259884685536e-06,-0.3478551834892775
0.0002,1.8557766539829677e-05,1,403.4287934927351,1.0,-1.2812562662174718e-06,1000.0,-1.2141792653708097e-07,-9.552447260134826
0.0002,2.2805220508753942e-05,1,403.4287934927351,1.0,-5.527859215246145e-06,1000.0,-4.368022404667564e-06,-0.26552904338109784
0.0002,2.802482083911719e-05,1,403.4287934927351,1.0,-1.0746413746464602e-05,1000.0,-9.586578814964738e-06,-0.12098528097316123
0.0002,3.44390698946822e-05,1,403.4287934927351,1.0,-1.7159377643061072e-05,1000.0,-1.5999545020718634e-05,-0.07249160028241497
0.0002,4.2321395809079146e-05,1,403.4287934927351,1.0,-2.5040124254603694e-05,1000.0,-2.3880294469932706e-05,-0.048568487550742355
0.0002,5.200780824528904e-05,1,403.4287934927351,1.0,-3.4724595921175946e-05,1000.0,-3.356476962365536e-05,-0.034554871388218285
0.0002,6.391122189543889e-05,1,403.4287934927351,1.0,-4.6625624603315326e-05,1000.0,-4.546580259107518e-05,-0.025509766596923843
0.0002,7.85390583064617e-05,1,403.4287934927351,1.0,-6.12505301809715e-05,1000.0,-6.0090713434815784e-05,-0.019301097954409215
0.0002,9.65148763664303e-05,1,403.4287934927351,1.0,-7.922274660595579e-05,1000.0,-7.806293633117239e-05,-0.014857374437762043
0.0002,0.00011860495352108069,1,403.4287934927351,1.0,-0.00010130839779265186,1000.0,-0.00010014859547039184,-0.011580814656585985
0.0002,0.00014575095083093872,1,403.4287934927351,1.0,-0.00012844895613037138,1000.0,-0.0001272891635807879,-0.009111479068266325
0.0002,0.00017911005432287385,1,403.4287934927351,1.0,-0.00016180137579218645,1000.0,-0.00016064159525202464,-0.0072196776827463125
0.0002,0.00022010430379115656,1,403.4287934927351,1.0,-0.00020278741165246825,1000.0,-0.0002016276458704137,-0.005752017671227181
0.0002,0.0002704812118478755,1,403.4287934927351,1.0,-0.00025315422619167087,1000.0,-0.0002519944785455213,-0.004602274037286331
0.0002,0.0003323882573060108,1,403.4287934927351,1.0,-0.0003150488679539102,1000.0,-0.000313889142594565,-0.0036946972735631485
0.0002,0.0004084644284168036,1,403.4287934927351,1.0,-0.0003911097964427299,1000.0,-0.00038995009847113556,-0.0029739650692258727
0.0002,0.0005019527182883087,1,403.4287934927351,1.0,-0.00048457935500007167,1000.0,-0.0004834196906846664,-0.0023988768719016406
0.0002,0.0006168383679665784,1,403.4287934927351,1.0,-0.0005994419861890746,1000.0,-0.0005982823632330005,-0.0019382536195913349
0.0002,0.0007580187502384012,1,403.4287934927351,1.0,-0.0007405940815588942,1000.0,-0.0007394345094283689,-0.001568187737710141
0.0002,0.0009315121360027327,1,403.4287934927351,1.0,-0.000914052706187703,1000.0,-0.0009128931965155476,-0.001270148223889932
0.0002,0.0011447142425533316,1,403.4287934927351,1.0,-0.0011272120955633106,1000.0,-0.0011260526626448364,-0.0010296436009937372
0.0002,0.0014067134999737711,1,403.4287934927351,1.0,-0.0013891588588113993,1000.0,-0.0013879995202137918,-0.0008352586443466411
0.0002,0.0017286784748956803,1,403.4287934927351,1.0,-0.0017110593248295394,1000.0,-0.0017099001021407165,-0.0006779476107238814
0.0002,0.0021243339668122713,1,403.4287934927351,1.0,-0.0021066355432100567,1000.0,-0.002105476462958924,-0.0005505073419361788
0.0002,0.002610546072093995,1,403.4287934927351,1.0,-0.002592750231032262,1000.0,-0.0025915913258195912,-0.0004471789981409115
0.0002,0.0032080411559542855,1,403.4287934927351,1.0,-0.003190125600774964,1000.0,-0.00318896691066311,-0.0003633434100489968
0.0002,0.003942289380873242,1,403.4287934927351,1.0,-0.003924226711716397,1000.0,-0.003923068285937083,-0.0002952856526781675
