eta,U,a,s,y,E,yinf,Einf,dE
0.0002,1e-05,1,403.4287934927351,1.0,7.274795639471235e-06,10.0,8.434637555730878e-06,-0.1375093960583515
0.0002,1.2288774330579116e-05,1,403.4287934927351,1.0,4.986479887726903e-06,10.0,6.146321093483006e-06,-0.1887049485562822
0.0002,1.510139745479005e-05,1,403.4287934927351,1.0,2.1744203006973117e-06,10.0,3.334260633331651e-06,-0.34785532991624796
0.0002,1.8557766539829677e-05,1,403.4287934927351,1.0,-1.2812562662174718e-06,10.0,-1.2141700654276207e-07,-9.55252721756259
0.0002,2.2805220508753942e-05,1,403.4287934927351,1.0,-5.527859215246145e-06,10.0,-4.368021274107309e-06,-0.2655293709337237
0.0002,2.802482083911719e-05,1,403.4287934927351,1.0,-1.0746413746464602e-05,10.0,-9.586577425644753e-06,-0.12098544343022843
0.0002,3.44390698946822e-05,1,403.4287934927351,1.0,-1.7159377643061072e-05,10.0,-1.599954331341466e-05,-0.07249171472750467
0.0002,4.2321395809079146e-05,1,403.4287934927351,1.0,-2.5040124254603694e-05,10.0,-2.3880292371865377e-05,-0.04856857967554767
0.0002,5.200780824528904e-05,1,403.4287934927351,1.0,-3.4724595921175946e-05,10.0,-3.356476704538777e-05,-0.03455495085724278
0.0002,6.391122189543889e-05,1,403.4287934927351,1.0,-4.6625624603315326e-05,10.0,-4.546579942270032e-05,-0.02550983806161618
0.0002,7.85390583064617e-05,1,403.4287934927351,1.0,-6.12505301809715e-05,10.0,-6.0090709541271416e-05,-0.019301163999461433
0.0002,9.65148763664303e-05,1,403.4287934927351,1.0,-7.922274660595579e-05,10.0,-7.806293154648359e-05,-0.014857436641123049
0.0002,0.00011860495352108069,1,403.4287934927351,1.0,-0.00010130839779265186,10.0,-0.00010014858959059575,-0.011580874047226901
0.0002,0.00014575095083093872,1,403.4287934927351,1.0,-0.00012844895613037138,10.0,-0.0001272891563552392,-0.009111536350318961
0.0002,0.00017911005432287385,1,403.4287934927351,1.0,-0.00016180137579218645,10.0,-0.00016064158637271088,-0.007219733355873965
0.0002,0.00022010430379115656,1,403.4287934927351,1.0,-0.00020278741165246825,10.0,-0.00020162763495882536,-0.005752072100035954
0.0002,0.0002704812118478755,1,403.4287934927351,1.0,-0.00025315422619167087,10.0,-0.0002519944651365166,-0.004602327493685097
0.0002,0.0003323882573060108,1,403.4287934927351,1.0,-0.0003150488679539102,10.0,-0.0003138891261165418,-0.0036947499638386046
0.0002,0.0004084644284168036,1,403.4287934927351,1.0,-0.0003911097964427299,10.0,-0.00038995007822166473,-0.002974017152026163
0.0002,0.0005019527182883087,1,403.4287934927351,1.0,-0.00048457935500007167,10.0,-0.0004834196658005486,-0.0023989284705714284
0.0002,0.0006168383679665784,1,403.4287934927351,1.0,-0.0005994419861890746,10.0,-0.0005982823326534698,-0.001938304830867322
0.0002,0.0007580187502384012,1,403.4287934927351,1.0,-0.0007405940815588942,10.0,-0.0007394344718498736,-0.0015682386379952873
0.0002,0.0009315121360027327,1,403.4287934927351,1.0,-0.000914052706187703,10.0,-0.0009128931503361826,-0.0012701988738696502
0.0002,0.0011447142425533316,1,403.4287934927351,1.0,-0.0011272120955633106,10.0,-0.001126052605896057,-0.00102969404909004
0.0002,0.0014067134999737711,1,403.4287934927351,1.0,-0.0013891588588113993,10.0,-0.0013879994504764977,-0.0008353089293397066
0.0002,0.0017286784748956803,1,403.4287934927351,1.0,-0.0017110593248295394,10.0,-0.0017099000164421294,-0.0006779977637652542
0.0002,0.0021243339668122713,1,403.4287934927351,1.0,-0.0021066355432100567,10.0,-0.002105476357645864,-0.0005505573881098877
0.0002,0.002610546072093995,1,403.4287934927351,1.0,-0.002592750231032262,10.0,-0.0025915911964027485,-0.00044722895768521296
0.0002,0.0032080411559542855,1,403.4287934927351,1.0,-0.003190125600774964,10.0,-0.003188966751625673,-0.00036339329931874947
0.0002,0.003942289380873242,1,403.4287934927351,1.0,-0.003924226711716397,10.0,-0.003923068090499565,-0.00029533548490720784
0.0002,0.004844590454738973,1,403.4287934927351,1.0,-0.004826347000535063,10.0,-0.004825188659419286,-0.0002400613110776813
0.0002,0.005953407882236496,1,403.4287934927351,1.0,-0.005934942265368013,10.0,-0.005933784268462101,-0.0001951531861491162
0.0002,0.00731600859626953,1,403.4287934927351,1.0,-0.007297269968716085,10.0,-0.0072961123948019095,-0.00015865626124404768
0.0002,0.008990477864013325,1,403.4287934927351,1.0,-0.008971403739790147,10.0,-0.00897024668568097,-0.00012898799216125076
0.0002,0.011048195359492682,1,403.4287934927351,1.0,-0.011028708950983202,10.0,-0.011027552535650657,-0.0001048660007564033
0.0002,0.013576877953295699,1,403.4287934927351,1.0,-0.013556884897930777,10.0,-0.013555729267576422,-8.52503271158455e-05
0.0002,0.016684318928186587,1,403.4287934927351,1.0,-0.016663703265934488,10.0,-0.01666254860022211,-6.929706493770895e-05
0.0002,0.020502983016789482,1,403.4287934927351,1.0,-0.02048160224698406,10.0,-0.020480448766698446,-5.632104543964909e-05
0.0002,0.025195653139702213,1,403.4287934927351,1.0,-0.02517333214649065,10.0,-0.025172180122949233,-4.576574360223362e-05
0.0002,0.0309623695545348,1,403.4287934927351,1.0,-0.030938893141997402,10.0,-0.03093774290861605,-3.717896889725839e-05
0.0002,0.0380489572195672,1,403.4287934927351,1.0,-0.03802406093829455,10.0,-0.03802291290480051,-3.019320210723147e-05
0.0002,0.04675750487851208,1,403.4287934927351,1.0,-0.04673086375259279,10.0,-0.04672971842249062,-2.4509672662987653e-05
0.0002,0.057459242571298766,1,403.4287934927351,1.0,-0.05743045724516903,10.0,-0.05742931523720411,-1.9885453277635736e-05
0.0002,0.0706103665164695,1,403.4287934927351,1.0,-0.07057894623108919,10.0,-0.07057780830562378,-1.6122992378614908e-05
0.0002,0.08677148595203744,1,403.4287934927351,1.0,-0.08673682762469705,10.0,-0.08673569471612318,-1.3061618720847506e-05
0.0002,0.10663152091936053,1,403.4287934927351,1.0,-0.10659288343532812,10.0,-0.106591756691899,-1.0570643209970106e-05
0.0002,0.13103706971044476,1,403.4287934927351,1.0,-0.13099354233055094,10.0,-0.1309924231633291,-8.543755392981098e-06
0.0002,0.16102849786120232,1,403.4287934927351,1.0,-0.16097896139863438,10.0,-0.1609778515416427,-6.894470146311434e-06
0.0002,0.1978842871008457,1,403.4287934927351,1.0,-0.19782736621218616,10.0,-0.19782626779632623,-5.552426743781253e-06
0.0002,0.24317553477498208,1,403.4287934927351,1.0,-0.2431095393317425,10.0,-0.24310845497563113,-4.460380086260727e-06
0.0002,0.2988329269567655,1,403.4287934927351,1.0,-0.2987557799981875,10.0,-0.2987547129197839,-3.571754209846318e-06
0.0002,0.3672290401918124,1,403.4287934927351,1.0,-0.36713818938769055,10.0,-0.3671371435414721,-2.848652708829905e-06
0.0002,0.451279480255236,1,403.4287934927351,1.0,-0.45117178910457917,10.0,-0.45117076935011396,-2.2602405441124323e-06
0.0002,0.554567169287763,1,403.4287934927351,1.0,-0.5544387834152845,10.0,-0.554437795724386,-1.7814277924946925e-06
0.0002,0.6814950794525384,1,403.4287934927351,1.0,-0.6813412623034298,10.0,-0.6813403140147248,-1.39179890797489e-06
0.0002,0.8374739238792347,1,403.4287934927351,1.0,-0.8372888548081816,10.0,-0.8372879549399431,-1.0747416503134904e-06
0.0002,1.0291528058296509,1,403.4287934927351,1.0,-1.0289293319769806,10.0,-1.0289284916115606,-8.167384096850841e-07
0.0002,1.2647026582522884,1,403.4287934927351,1.0,-1.264431989630167,10.0,-1.264431222386418,-6.067896263507485e-07
0.0002,1.5541645562545927,1,403.4287934927351,1.0,-1.5538358910453347,10.0,-1.5538352136591569,-4.3594466894674134e-07
0.0002,1.9098777504397322,1,403.4287934927351,1.0,-1.909477814533347,10.0,-1.9094772475711108,-2.96920131932167e-07
0.0002,2.347005667414797,1,403.4287934927351,1.0,-2.346518148557075,10.0,-2.346517717292328,-1.8378925667038249e-07
0.0002,2.884182299945072,1,403.4287934927351,1.0,-2.883587152374931,10.0,-2.883586887865767,-9.172921579660589e-08
0.0002,3.544306541227564,1,403.4287934927351,1.0,-3.543579131161582,10.0,-3.5435790715745905,-1.681548235203996e-08
0.0002,4.355518324354103,1,403.4287934927351,1.0,-4.354628379891742,10.0,-4.354628572128984,4.414549689844595e-08
0.0002,5.352398178068967,1,403.4287934927351,1.0,-5.3513084987548005,10.0,-5.351309000453161,9.37524557349633e-08
0.0002,6.577441333769234,1,403.4287934927351,1.0,-6.5761062048030885,10.0,-6.576107086791232,1.3412010057199548e-07
0.0002,8.08286922233136,1,403.4287934927351,1.0,-8.081232465826945,10.0,-8.081233815144623,1.669692659437326e-07
0.0002,9.932855581681359,1,403.4287934927351,1.0,-9.930848161901976,10.0,-9.93085008551037,1.9370027518151044e-07
0.0002,12.206262070151563,1,403.4287934927351,1.0,-12.20379915063831,10.0,-12.203801779979608,2.1545263885643994e-07
0.0002,15.0,1,403.4287934927351,1.0,-14.99697732714303,10.0,-14.996980823743565,2.3315363109028763e-07
0.00023796833908331275,1e-05,1,403.4287934927351,1.0,7.27517600630016e-06,10.0,8.435017333235815e-06,-0.13750313498060357
0.00023796833908331275,1.2288774330579116e-05,1,403.4287934927351,1.0,4.986947311939251e-06,10.0,6.146787793488406e-06,-0.18869050315643418
0.00023796833908331275,1.510139745479005e-05,1,403.4287934927351,1.0,2.1749947077635315e-06,10.0,3.334834150436294e-06,-0.3477952396886129
0.00023796833908331275,1.8557766539829677e-05,1,403.4287934927351,1.0,-1.2805503903364067e-06,10.0,-1.207122243153951e-07,-9.608290896791063
0.00023796833908331275,2.2805220508753942e-05,1,403.4287934927351,1.0,-5.5269917803053605e-06,10.0,-4.367155183132875e-06,-0.2655817227773553
0.00023796833908331275,2.802482083911719e-05,1,403.4287934927351,1.0,-1.0745347775241225e-05,10.0,-9.585513105991293e-06,-0.12099870465202257
0.00023796833908331275,3.44390698946822e-05,1,403.4287934927351,1.0,-1.7158067695080377e-05,10.0,-1.5998235395010967e-05,-0.07249751434655742
0.00023796833908331275,4.2321395809079146e-05,1,403.4287934927351,1.0,-2.5038514489091737e-05,10.0,-2.3878685100454795e-05,-0.04857174437192323
0.00023796833908331275,5.200780824528904e-05,1,403.4287934927351,1.0,-3.472261771666579e-05,10.0,-3.356279190582251e-05,-0.03455689306472974
0.00023796833908331275,6.391122189543889e-05,1,403.4287934927351,1.0,-4.662319363243481e-05,10.0,-4.546337221826143e-05,-0.02551111713854591
0.00023796833908331275,7.85390583064617e-05,1,403.4287934927351,1.0,-6.124754281571602e-05,10.0,-6.008772680451105e-05,-0.019302045074500947
0.00023796833908331275,9.65148763664303e-05,1,403.4287934927351,1.0,-7.921907550020905e-05,10.0,-7.805926612859001e-05,-0.01485806143383974
0.00023796833908331275,0.00011860495352108069,1,403.4287934927351,1.0,-0.00010130388645364529,10.0,-0.00010014408524126361,-0.011581325143542117
0.00023796833908331275,0.00014575095083093872,1,403.4287934927351,1.0,-0.00012844341224767334,10.0,-0.0001272836210619943,-0.009111865108819945
0.00023796833908331275,0.00017911005432287385,1,403.4287934927351,1.0,-0.00016179456303984735,10.0,-0.0001606347841757569,-0.007219973370285008
0.00023796833908331275,0.00022010430379115656,1,403.4287934927351,1.0,-0.0002027790396148617,10.0,-0.0002016192758924934,-0.005752246243492696
0.00023796833908331275,0.0002704812118478755,1,403.4287934927351,1.0,-0.00025314393798358745,10.0,-0.00025198419286853984,-0.004602451851623263
0.00023796833908331275,0.0003323882573060108,1,403.4287934927351,1.0,-0.0003150362250071699,10.0,-0.0003138765027582388,-0.003694836149695393
0.00023796833908331275,0.0004084644284168036,1,403.4287934927351,1.0,-0.0003910942598107934,10.0,-0.0003899345656615168,-0.0029740737328818575
0.00023796833908331275,0.0005019527182883087,1,403.4287934927351,1.0,-0.0004845602623836991,10.0,-0.0004834006027654539,-0.0023989618788453834
0.00023796833908331275,0.0006168383679665784,1,403.4287934927351,1.0,-0.0005994185237036762,10.0,-0.0005982589065198361,-0.001938319966828015
0.00023796833908331275,0.0007580187502384012,1,403.4287934927351,1.0,-0.0007405652490400648,10.0,-0.0007394056840029075,-0.0015682392795248357
0.00023796833908331275,0.0009315121360027327,1,403.4287934927351,1.0,-0.0009140172745559754,10.0,-0.0009128577736006998,-0.0012701879622518883
0.00023796833908331275,0.0011447142425533316,1,403.4287934927351,1.0,-0.0011271685544306641,10.0,-0.0011260091322241668,-0.0010296738927926547
0.00023796833908331275,0.0014067134999737711,1,403.4287934927351,1.0,-0.0013891053520960802,10.0,-0.0013879460266621796,-0.0008352813521781481
0.00023796833908331275,0.0017286784748956803,1,403.4287934927351,1.0,-0.0017109935716345668,10.0,-0.001709834365122326,-0.0006779642144798597
0.00023796833908331275,0.0021243339668122713,1,403.4287934927351,1.0,-0.002106554740592604,10.0,-0.0021053956802205074,-0.0005505190226166704
0.00023796833908331275,0.002610546072093995,1,403.4287934927351,1.0,-0.0025926509345191415,10.0,-0.0025914920537353707,-0.00044718670161476983
0.00023796833908331275,0.0032080411559542855,1,403.4287934927351,1.0,-0.003190003577530809,10.0,-0.0031888449174390784,-0.00036334789609685636
0.00023796833908331275,0.003942289380873242,1,403.4287934927351,1.0,-0.003924076760105346,10.0,-0.003922918371217084,-0.00029528753306756067
0.00023796833908331275,0.004844590454738973,1,403.4287934927351,1.0,-0.0048261627283841925,10.0,-0.004825004672771752,-0.0002400112934553872
0.00023796833908331275,0.005953407882236496,1,403.4287934927351,1.0,-0.005934715817480267,10.0,-0.005933558171422962,-0.00019510149287491494
0.00023796833908331275,0.00731600859626953,1,403.4287934927351,1.0,-0.0072969916920170705,10.0,-0.007295834549252831,-0.00015860320795762342
0.00023796833908331275,0.008990477864013325,1,403.4287934927351,1.0,-0.008971061771834581,10.0,-0.00896990524755583,-0.00012893383450914136
0.00023796833908331275,0.011048195359492682,1,403.4287934927351,1.0,-0.01102828871427978,10.0,-0.011027132950043891,-0.0001048109459752602
0.00023796833908331275,0.013576877953295699,1,403.4287934927351,1.0,-0.0135563684785294,10.0,-0.013555213648293029,-8.519454331995238e-05
0.00023796833908331275,0.016684318928186587,1,403.4287934927351,1.0,-0.016663068649786138,10.0,-0.0166619149673207,-6.92406885823947e-05
0.00023796833908331275,0.020502983016789482,1,403.4287934927351,1.0,-0.0204808223815207,10.0,-0.020479670109525058,-5.626418733699033e-05
0.00023796833908331275,0.025195653139702213,1,403.4287934927351,1.0,-0.025172373787421907,10.0,-0.02517122324872077,-4.570849377358323e-05
0.00023796833908331275,0.0309623695545348,1,403.4287934927351,1.0,-0.030937715436165057,10.0,-0.030936567027470416,-3.7121400497356964e-05
0.00023796833908331275,0.0380489572195672,1,403.4287934927351,1.0,-0.03802261368217441,10.0,-0.03802146789099669,-3.013537459959259e-05
0.00023796833908331275,0.04675750487851208,1,403.4287934927351,1.0,-0.04672908525220689,10.0,-0.04672794267763664,-2.4451634392090506e-05
0.00023796833908331275,0.057459242571298766,1,403.4287934927351,1.0,-0.0574282716861801,10.0,-0.057427133064426185,-1.9827243554706823e-05
0.00023796833908331275,0.0706103665164695,1,403.4287934927351,1.0,-0.07057626044696907,10.0,-0.07057512668274195,-1.6064643174117813e-05
0.00023796833908331275,0.08677148595203744,1,403.4287934927351,1.0,-0.0867335271252018,10.0,-0.08673239933027974,-1.3003156038236603e-05
0.00023796833908331275,0.10663152091936053,1,403.4287934927351,1.0,-0.10658882752598058,10.0,-0.10658770706660277,-1.051208820081645e-05
0.00023796833908331275,0.13103706971044476,1,403.4287934927351,1.0,-0.1309885581150832,10.0,-0.13098744667019022,-8.485125263798197e-06
0.00023796833908331275,0.16102849786120232,1,403.4287934927351,1.0,-0.1609728364087246,10.0,-0.16097173604152856,-6.835778895641549e-06
0.00023796833908331275,0.1978842871008457,1,403.4287934927351,1.0,-0.1978198393503083,10.0,-0.1978187525962441,-5.493685760062005e-06
0.00023796833908331275,0.24317553477498208,1,403.4287934927351,1.0,-0.2431002897410391,10.0,-0.2430992197158453,-4.401598635463096e-06
0.00023796833908331275,0.2988329269567655,1,403.4287934927351,1.0,-0.298744413384907,10.0,-0.2987433639174446,-3.5129398310830474e-06
0.00023796833908331275,0.3672290401918124,1,403.4287934927351,1.0,-0.36712422121313987,10.0,-0.3671231970086096,-2.7898115362571133e-06
0.00023796833908331275,0.451279480255236,1,403.4287934927351,1.0,-0.4511546239300929,10.0,-0.45115363077061,-2.2013775689561576e-06
0.00023796833908331275,0.554567169287763,1,403.4287934927351,1.0,-0.5544176895197238,10.0,-0.5544167345107988,-1.7225470762435445e-06
0.00023796833908331275,0.6814950794525384,1,403.4287934927351,1.0,-0.6813153404912,10.0,-0.6813144323646348,-1.3329037549037234e-06
0.00023796833908331275,0.8374739238792347,1,403.4287934927351,1.0,-0.8372570000781084,10.0,-0.8372561495642171,-1.0158347499242112e-06
0.00023796833908331275,1.0291528058296509,1,403.4287934927351,1.0,-1.028890186418057,10.0,-1.0288894067030807,-7.578219498446174e-07
0.00023796833908331275,1.2647026582522884,1,403.4287934927351,1.0,-1.2643838845362019,10.0,-1.2643831918244142,-5.478653877936761e-07
0.00023796833908331275,1.5541645562545927,1,403.4287934927351,1.0,-1.5537767757809458,10.0,-1.5537761899854134,-3.7701410028016267e-07
0.00023796833908331275,1.9098777504397322,1,403.4287934927351,1.0,-1.9094051691189904,10.0,-1.9094047147104314,-2.37984412367988e-07
0.00023796833908331275,2.347005667414797,1,403.4287934927351,1.0,-2.346428876246757,10.0,-2.346428583296684,-1.2484934558588437e-07
0.00023796833908331275,2.884182299945072,1,403.4287934927351,1.0,-2.8834774476473837,10.0,-2.8834773531100018,-3.278589367827448e-08
0.00023796833908331275,3.544306541227564,1,403.4287934927351,1.0,-3.5434443174976,10.0,-3.543444466785095,4.2130615183625124e-08
0.00023796833908331275,4.355518324354103,1,403.4287934927351,1.0,-4.354462710422406,10.0,-4.354463159340791,1.0309385306635757e-07
0.00023796833908331275,5.352398178068967,1,403.4287934927351,1.0,-5.3511049112825875,10.0,-5.351105728410611,1.527026497668921e-07
0.00023796833908331275,6.577441333769234,1,403.4287934927351,1.0,-6.575856020752833,10.0,-6.575857290365373,1.9307179025999023e-07
0.00023796833908331275,8.08286922233136,1,403.4287934927351,1.0,-8.080925020293474,10.0,-8.080926845954023,2.2592217251339103e-07
0.00023796833908331275,9.932855581681359,1,403.4287934927351,1.0,-9.930470349024,10.0,-9.930472857999401,2.526541723288883e-07
0.00023796833908331275,12.206262070151563,1,403.4287934927351,1.0,-12.203334864918645,10.0,-12.203338213604248,2.744073419890735e-07
0.00023796833908331275,15.0,1,403.4287934927351,1.0,-14.996406776899645,10.0,-14.996411157486161,2.9210898992750883e-07
0.0002831446520303525,1e-05,1,403.4287934927351,1.0,7.2756285826127665e-06,10.0,8.43546920834617e-06,-0.1374956860237059
0.0002831446520303525,1.2288774330579116e-05,1,403.4287934927351,1.0,4.987503472756553e-06,10.0,6.147343092614083e-06,-0.1886733182748586
