eta,U,a,s,y,E,ainf,sinf,yinf,Einf,dE
0.0002,1e-05,1.0,2980.9579870417283,1.0,-9.681637291192924e-06,1.0,2980.9579870417283,1000.0,-9.660403938718904e-06,-0.002197977704526131
0.0002,1.2288774330579116e-05,1.0,2980.9579870417283,1.0,-1.1969953755393927e-05,1.0,2980.9579870417283,1000.0,-1.1948722680270827e-05,-0.0017768489311544556
0.0002,1.510139745479005e-05,1.0,2980.9579870417283,1.0,-1.4782014217945447e-05,1.0,2980.9579870417283,1000.0,-1.4760785941407496e-05,-0.0014381535388572936
0.0002,1.8557766539829677e-05,1.0,2980.9579870417283,1.0,-1.8237691860769367e-05,1.0,2980.9579870417283,1000.0,-1.8216467023349555e-05,-0.001165145655993935
0.0002,2.2805220508753942e-05,1.0,2980.9579870417283,1.0,-2.2484296131958494e-05,1.0,2980.9579870417283,1000.0,-2.2463075520793352e-05,-0.0009446885910835282
0.0002,2.802482083911719e-05,1.0,2980.9579870417283,1.0,-2.7702852287950105e-05,1.0,2980.9579870417283,1000.0,-2.768163687033395e-05,-0.0007664076266707448
0.0002,3.44390698946822e-05,1.0,2980.9579870417283,1.0,-3.4115818181193634e-05,1.0,2980.9579870417283,1000.0,-3.4094609145812624e-05,-0.0006220641888078435
0.0002,4.2321395809079146e-05,1.0,2980.9579870417283,1.0,-4.199656724637077e-05,1.0,2980.9579870417283,1000.0,-4.19753660539745e-05,-0.0005050865397815251
0.0002,5.200780824528904e-05,1.0,2980.9579870417283,1.0,-5.1681041928159094e-05,1.0,2980.9579870417283,1000.0,-5.1659850373829785e-05,-0.00041021323476469806
0.0002,6.391122189543889e-05,1.0,2980.9579870417283,1.0,-6.358207431562947e-05,1.0,2980.9579870417283,1000.0,-6.356089460530316e-05,-0.00033321919802782655
0.0002,7.85390583064617e-05,1.0,2980.9579870417283,1.0,-7.820698444668327e-05,1.0,2980.9579870417283,1000.0,-7.818581929118497e-05,-0.00027070325143592017
0.0002,9.65148763664303e-05,1.0,2980.9579870417283,1.0,-9.617920646723517e-05,1.0,2980.9579870417283,1000.0,-9.615805919783653e-05,-0.0002199219657203283
0.0002,0.00011860495352108069,1.0,2980.9579870417283,1.0,-0.00011826486453019799,1.0,2980.9579870417283,1000.0,-0.00011824373924062358,-0.00017865884240539888
0.0002,0.00014575095083093872,1.0,2980.9579870417283,1.0,-0.00014540543131800655,1.0,2980.9579870417283,1000.0,-0.00014538433303894213,-0.00014512071984238797
0.0002,0.00017911005432287385,1.0,2980.9579870417283,1.0,-0.00017875786136394538,1.0,2980.9579870417283,1000.0,-0.00017873679627748712,-0.00011785534314686913
0.0002,0.00022010430379115656,1.0,2980.9579870417283,1.0,-0.00021974390998504248,1.0,2980.9579870417283,1000.0,-0.00021972288568822892,-9.568551199256852e-05
0.0002,0.0002704812118478755,1.0,2980.9579870417283,1.0,-0.0002701107402057231,1.0,2980.9579870417283,1000.0,-0.00027008976603438333,-7.765629793283954e-05
0.0002,0.0003323882573060108,1.0,2980.9579870417283,1.0,-0.00033200540123857683,1.0,2980.9579870417283,1000.0,-0.0003319844886653007,-6.299262161384424e-05
0.0002,0.0004084644284168036,1.0,2980.9579870417283,1.0,-0.00040806635340861965,1.0,2980.9579870417283,1000.0,-0.00040804551653181385,-5.1065079658031324e-05
0.0002,0.0005019527182883087,1.0,2980.9579870417283,1.0,-0.000501535941067282,1.0,2980.9579870417283,1000.0,-0.0005015151972121604,-4.136236596020566e-05
0.0002,0.0006168383679665784,1.0,2980.9579870417283,1.0,-0.0006163986080182413,1.0,2980.9579870417283,1000.0,-0.0006163779784753681,-3.346898103701378e-05
0.0002,0.0007580187502384012,1.0,2980.9579870417283,1.0,-0.000757550747335122,1.0,2980.9579870417283,1000.0,-0.0007575302582679912,-2.7047193042432934e-05
0.0002,0.0009315121360027327,1.0,2980.9579870417283,1.0,-0.0009310094259694823,1.0,2980.9579870417283,1000.0,-0.0009309891095298212,-2.1822424616115854e-05
0.0002,0.0011447142425533316,1.0,2980.9579870417283,1.0,-0.0011441688817112937,1.0,2980.9579870417283,1000.0,-0.0011441487774096345,-1.7571405097089626e-05
0.0002,0.0014067134999737711,1.0,2980.9579870417283,1.0,-0.0014061157265153122,1.0,2980.9579870417283,1000.0,-0.001406095882905256,-1.4112558252523845e-05
0.0002,0.0017286784748956803,1.0,2980.9579870417283,1.0,-0.001728016292755694,1.0,2980.9579870417283,1000.0,-0.0017279967695036662,-1.1298199378834778e-05
0.0002,0.0021243339668122713,1.0,2980.9579870417283,1.0,-0.0021235926342970625,1.0,2980.9579870417283,1000.0,-0.002123573504725787,-9.008198319006598e-06
0.0002,0.002610546072093995,1.0,2980.9579870417283,1.0,-0.002609707473468858,1.0,2980.9579870417283,1000.0,-0.0026096888276829727,-7.1448310953961145e-06
0.0002,0.0032080411559542855,1.0,2980.9579870417283,1.0,-0.003207083029201657,1.0,2980.9579870417283,1000.0,-0.0032070649779287214,-5.62859594671357e-06
0.0002,0.003942289380873242,1.0,2980.9579870417283,1.0,-0.003941184368702123,1.0,2980.9579870417283,1000.0,-0.003941167048012734,-4.394812292355288e-06
0.0002,0.004844590454738973,1.0,2980.9579870417283,1.0,-0.004843304938391826,1.0,2980.9579870417283,1000.0,-0.004843288515500072,-3.3908555522609684e-06
0.0002,0.005953407882236496,1.0,2980.9579870417283,1.0,-0.005951900548380854,1.0,2980.9579870417283,1000.0,-0.005951885228772352,-2.5739085874579686e-06
0.0002,0.00731600859626953,1.0,2980.9579870417283,1.0,-0.007314228675883443,1.0,2980.9579870417283,1000.0,-0.0073142147120748326,-1.909132991026676e-06
0.0002,0.008990477864013325,1.0,2980.9579870417283,1.0,-0.008988362968191417,1.0,2980.9579870417283,1000.0,-0.008988350670494697,-1.3681816799490555e-06
0.0002,0.011048195359492682,1.0,2980.9579870417283,1.0,-0.011045668819917065,1.0,2980.9579870417283,1000.0,-0.011045658569667648,-9.2798897883407e-07
0.0002,0.013576877953295699,1.0,2980.9579870417283,1.0,-0.01357384555400069,1.0,2980.9579870417283,1000.0,-0.013573837819813058,-5.697863592461849e-07
0.0002,0.016684318928186587,1.0,2980.9579870417283,1.0,-0.01668066488929813,1.0,2980.9579870417283,1000.0,-0.016680660247042043,-2.7830169895749194e-07
0.0002,0.020502983016789482,1.0,2980.9579870417283,1.0,-0.020498565059033136,1.0,2980.9579870417283,1000.0,-0.02049856421638195,-4.110781496914675e-08
0.0002,0.025195653139702213,1.0,2980.9579870417283,1.0,-0.025190296419288428,1.0,2980.9579870417283,1000.0,-0.02519030024588597,1.5190757970146448e-07
0.0002,0.0309623695545348,1.0,2980.9579870417283,1.0,-0.030955859209876296,1.0,2980.9579870417283,1000.0,-0.03095586877440822,3.0897313827996455e-07
0.0002,0.0380489572195672,1.0,2980.9579870417283,1.0,-0.03804102921210813,1.0,2980.9579870417283,1000.0,-0.038041045827858125,4.3678478434335694e-07
0.0002,0.04675750487851208,1.0,2980.9579870417283,1.0,-0.04674783473722971,1.0,2980.9579870417283,1000.0,-0.04674786001806248,5.407912310363398e-07
0.0002,0.057459242571298766,1.0,2980.9579870417283,1.0,-0.05744743156107557,1.0,2980.9579870417283,1000.0,-0.05744746749023301,6.254263070342012e-07
0.0002,0.0706103665164695,1.0,2980.9579870417283,1.0,-0.07059592464071779,1.0,2980.9579870417283,1000.0,-0.07059597365536112,6.942980001871336e-07
0.0002,0.08677148595203744,1.0,2980.9579870417283,1.0,-0.08675381106500833,1.0,2980.9579870417283,1000.0,-0.08675387616010996,7.503422845142461e-07
0.0002,0.10663152091936053,1.0,2980.9579870417283,1.0,-0.10660987305773179,1.0,2980.9579870417283,1000.0,-0.10660995791374576,7.95948292635043e-07
0.0002,0.13103706971044476,1.0,2980.9579870417283,1.0,-0.13101053954998848,1.0,2980.9579870417283,1000.0,-0.13101064868974166,8.330601693138085e-07
0.0002,0.16102849786120232,1.0,2980.9579870417283,1.0,-0.16099596795389537,1.0,2980.9579870417283,1000.0,-0.16099610693538766,8.632599566072035e-07
0.0002,0.1978842871008457,1.0,2980.9579870417283,1.0,-0.19784438424002992,1.0,2980.9579870417283,1000.0,-0.19784455989336197,8.878350364597044e-07
0.0002,0.24317553477498208,1.0,2980.9579870417283,1.0,-0.2431265714579843,1.0,2980.9579870417283,1000.0,-0.24312679217651265,9.078330132489538e-07
0.0002,0.2988329269567655,1.0,2980.9579870417283,1.0,-0.29877282944963246,1.0,2980.9579870417283,1000.0,-0.29877310554776354,9.241063735435686e-07
0.0002,0.3672290401918124,1.0,2980.9579870417283,1.0,-0.36715526012968674,1.0,2980.9579870417283,1000.0,-0.367155604282562,9.373488276883501e-07
0.0002,0.451279480255236,1.0,2980.9579870417283,1.0,-0.4511888860100534,1.0,2980.9579870417283,1000.0,-0.45118931379386784,9.48124880951319e-07
0.0002,0.554567169287763,1.0,2980.9579870417283,1.0,-0.5544559124724663,1.0,2980.9579870417283,1000.0,-0.5544564430284546,9.568939003885226e-07
0.0002,0.6814950794525384,1.0,2980.9579870417283,1.0,-0.6813584308711197,1.0,2980.9579870417283,1000.0,-0.6813590877215132,9.640296949992633e-07
