eta,U,a,s,y,E,Einf,Ebind
0,0.001,1,148.4131591,1,-0.000868998,-0.000863792,-0.006026676
0.001355932,0.001,1,148.4131591,1,-0.000867636,-0.000862437,-0.006028467
0.002711864,0.001,1,148.4131591,1,-0.000866273,-0.000861081,-0.006030264
0.004067797,0.001,1,148.4131591,1,-0.000864911,-0.000859725,-0.006032067
0.005423729,0.001,1,148.4131591,1,-0.000863548,-0.000858369,-0.006033876
0.006779661,0.001,1,148.4131591,1,-0.000862185,-0.000857013,-0.00603569
0.008135593,0.001,1,148.4131591,1,-0.000860823,-0.000855657,-0.00603751
0.009491525,0.001,1,148.4131591,1,-0.00085946,-0.000854301,-0.006039336
0.010847458,0.001,1,148.4131591,1,-0.000858098,-0.000852945,-0.006041167
0.01220339,0.001,1,148.4131591,1,-0.000856735,-0.000851589,-0.006043005
0.013559322,0.001,1,148.4131591,1,-0.000855373,-0.000850233,-0.006044848
0.014915254,0.001,1,148.4131591,1,-0.00085401,-0.000848877,-0.006046697
0.016271186,0.001,1,148.4131591,1,-0.000852647,-0.000847521,-0.006048552
0.017627119,0.001,1,148.4131591,1,-0.000851285,-0.000846165,-0.006050413
0.018983051,0.001,1,148.4131591,1,-0.000849922,-0.000844809,-0.00605228
0.020338983,0.001,1,148.4131591,1,-0.00084856,-0.000843453,-0.006054153
0.021694915,0.001,1,148.4131591,1,-0.000847197,-0.000842097,-0.006056032
0.023050847,0.001,1,148.4131591,1,-0.000845835,-0.000840741,-0.006057917
0.02440678,0.001,1,148.4131591,1,-0.000844472,-0.000839386,-0.006059808
0.025762712,0.001,1,148.4131591,1,-0.00084311,-0.00083803,-0.006061706
0.027118644,0.001,1,148.4131591,1,-0.000841747,-0.000836674,-0.006063609
0.028474576,0.001,1,148.4131591,1,-0.000840384,-0.000835318,-0.006065519
0.029830508,0.001,1,148.4131591,1,-0.000839022,-0.000833962,-0.006067435
0.031186441,0.001,1,148.4131591,1,-0.000837659,-0.000832606,-0.006069357
0.032542373,0.001,1,148.4131591,1,-0.000836297,-0.00083125,-0.006071285
0.033898305,0.001,1,148.4131591,1,-0.000834934,-0.000829894,-0.00607322
0.035254237,0.001,1,148.4131591,1,-0.000833572,-0.000828538,-0.006075161
0.036610169,0.001,1,148.4131591,1,-0.000832209,-0.000827182,-0.006077108
0.037966102,0.001,1,148.4131591,1,-0.000830846,-0.000825826,-0.006079062
0.039322034,0.001,1,148.4131591,1,-0.000829484,-0.00082447,-0.006081022
0.040677966,0.001,1,148.4131591,1,-0.000828121,-0.000823114,-0.006082989
0.042033898,0.001,1,148.4131591,1,-0.000826759,-0.000821758,-0.006084962
0.043389831,0.001,1,148.4131591,1,-0.000825396,-0.000820402,-0.006086941
0.044745763,0.001,1,148.4131591,1,-0.000824034,-0.000819046,-0.006088928
0.046101695,0.001,1,148.4131591,1,-0.000822671,-0.000817691,-0.00609092
0.047457627,0.001,1,148.4131591,1,-0.000821308,-0.000816335,-0.00609292
0.048813559,0.001,1,148.4131591,1,-0.000819946,-0.000814979,-0.006094926
0.050169492,0.001,1,148.4131591,1,-0.000818583,-0.000813623,-0.006096939
0.051525424,0.001,1,148.4131591,1,-0.000817221,-0.000812267,-0.006098958
0.052881356,0.001,1,148.4131591,1,-0.000815858,-0.000810911,-0.006100984
0.054237288,0.001,1,148.4131591,1,-0.000814496,-0.000809555,-0.006103017
0.05559322,0.001,1,148.4131591,1,-0.000813133,-0.000808199,-0.006105057
0.056949153,0.001,1,148.4131591,1,-0.00081177,-0.000806843,-0.006107104
