eta,U,a,s,y,E,Einf,Ebind,
0,0.001,1,148.4131591,1,-0.000868998,-0.000863792,-0.006026676,
0,1.364613636,1,148.4131591,1,-1.364482635,-1.364466885,-1.15427E-05,
0,2.728227273,1,148.4131591,1,-2.728096271,-2.728069978,-9.63809E-06,
0,4.091840909,1,148.4131591,1,-4.091709907,-4.09167307,-9.00296E-06,
0,5.455454545,1,148.4131591,1,-5.455323544,-5.455276163,-8.68535E-06,
0,6.819068182,1,148.4131591,1,-6.81893718,-6.818879255,-8.49477E-06,
0,8.182681818,1,148.4131591,1,-8.182550816,-8.182482348,-8.3677E-06,
0,9.546295455,1,148.4131591,1,-9.546164453,-9.54608544,-8.27694E-06,
0,10.90990909,1,148.4131591,1,-10.90977809,-10.90968853,-8.20887E-06,
0,12.27352273,1,148.4131591,1,-12.27339173,-12.27329163,-8.15592E-06,
0,13.63713636,1,148.4131591,1,-13.63700536,-13.63689472,-8.11356E-06,
0,15.00075,1,148.4131591,1,-15.000619,-15.00049781,-8.0789E-06,
0,16.36436364,0.107512571,0.448599642,1.218409667,-16.44443851,-16.3641009,-0.004909381,
0,17.72797727,0.088547351,0.409040222,1.248511379,-19.06801496,-17.727704,-0.075605446,
0,19.09159091,0.074478065,0.376585828,1.271309367,-21.90996081,-19.33673371,-0.133074548,
0,20.45520455,0.063681855,0.349287682,1.28909188,-24.96821067,-22.19762602,-0.124814457,
0,21.81881818,0.055159774,0.32590814,1.303288689,-28.24149327,-25.25581127,-0.118217624,
0,23.18243182,0.04829536,0.305605716,1.31482758,-31.72898108,-28.51128946,-0.112856756,
0,24.54604545,0.042672514,0.287779525,1.324347269,-35.43011207,-31.96406058,-0.108435894,
0,25.90965909,0.038000472,0.271983113,1.332304103,-39.34449145,-35.61412465,-0.104744026,
0,27.27327273,0.034071845,0.257876245,1.339026365,-43.47183423,-39.46148166,-0.101627015,
0,28.63688636,0.030733742,0.245193366,1.344759982,-47.81192985,-43.5061316,-0.098969917,
0,30.0005,0.027871223,0.233723842,1.349697772,-52.36461967,-47.74807449,-0.096685473,
0,31.36411364,0.025396707,0.223297569,1.353971111,-57.12978214,-52.18731032,-0.094706391,
0,32.72772727,0.023242225,0.213775933,1.357708749,-62.1073227,-56.82383908,-0.092980054,
0,34.09134091,0.021353876,0.2050437,1.360985815,-67.29716683,-61.65766079,-0.091464807,
0,35.45495455,0.019689165,0.19700535,1.363880767,-72.6992551,-66.68877543,-0.090127306,
0,36.81856818,0.018213938,0.189580183,1.366450078,-78.31353962,-71.91718301,-0.088940589,
0,38.18218182,0.016899971,0.182699961,1.368741814,-84.13998141,-77.34288354,-0.087882654,
0,39.54579545,0.01572444,0.176305971,1.37079672,-90.17854848,-82.965877,-0.086935397,
0,40.90940909,0.014668573,0.170348137,1.372642568,-96.42921438,-88.78616341,-0.086083807,
0,42.27302273,0.013716278,0.164782723,1.374309542,-102.891957,-94.80374275,-0.085315348,
0,43.63663636,0.012854027,0.159571554,1.375823207,-109.5667579,-101.018615,-0.084619482,
0,45.00025,0.012071872,0.154682704,1.377191435,-116.4536014,-107.4307803,-0.0839873,
0,46.36386364,0.011359132,0.150085946,1.378441974,-123.5524743,-114.0402384,-0.083411224,
0,47.72747727,0.010708013,0.145755924,1.37958754,-130.8633652,-120.8469895,-0.082884776,
0,49.09109091,0.010111444,0.141670344,1.380638216,-138.3862643,-127.8510336,-0.08240239,
0,50.45470455,0.009564071,0.13780823,1.38159982,-146.1211634,-135.0523705,-0.081959264,
0,51.81831818,0.009059891,0.134152046,1.382483069,-154.0680551,-142.4510005,-0.081551232,
0,53.18193182,0.008594898,0.130686084,1.383302055,-162.2269331,-150.0469233,-0.081174672,
0,54.54554545,0.008164708,0.127394929,1.384060273,-170.5977919,-157.8401391,-0.080826416,
