eta,U,a,s,y,E
0.0,1e-05,1.0,485165195.4097903,1.0,-9.999999999988058e-06
0.0,1.2288774330579116e-05,1.0,485165195.4097903,1.0,-1.2288774330567171e-05
0.0,1.510139745479005e-05,1.0,485165195.4097903,1.0,-1.5101397454778108e-05
0.0,1.8557766539829677e-05,1.0,485165195.4097903,1.0,-1.8557766539817734e-05
0.0,2.2805220508753942e-05,1.0,485165195.4097903,1.0,-2.2805220508742e-05
0.0,2.802482083911719e-05,1.0,485165195.4097903,1.0,-2.8024820839105245e-05
0.0,3.44390698946822e-05,1.0,485165195.4097903,1.0,-3.443906989467025e-05
0.0,4.2321395809079146e-05,1.0,485165195.4097903,1.0,-4.232139580906721e-05
0.0,5.200780824528904e-05,1.0,485165195.4097903,1.0,-5.20078082452771e-05
0.0,6.391122189543889e-05,1.0,485165195.4097903,1.0,-6.391122189542695e-05
0.0,7.85390583064617e-05,1.0,485165195.4097903,1.0,-7.853905830644976e-05
0.0,9.65148763664303e-05,1.0,485165195.4097903,1.0,-9.651487636641836e-05
0.0,0.00011860495352108069,1.0,485165195.4097903,1.0,-0.00011860495352106875
0.0,0.00014575095083093872,1.0,485165195.4097903,1.0,-0.00014575095083092674
0.0,0.00017911005432287385,1.0,485165195.4097903,1.0,-0.0001791100543228619
0.0,0.00022010430379115656,1.0,485165195.4097903,1.0,-0.00022010430379114458
0.0,0.0002704812118478755,1.0,485165195.4097903,1.0,-0.00027048121184786357
0.0,0.0003323882573060108,1.0,485165195.4097903,1.0,-0.00033238825730599886
0.0,0.0004084644284168036,1.0,485165195.4097903,1.0,-0.0004084644284167916
0.0,0.0005019527182883087,1.0,485165195.4097903,1.0,-0.0005019527182882967
0.0,0.0006168383679665784,1.0,485165195.4097903,1.0,-0.0006168383679665665
0.0,0.0007580187502384012,1.0,485165195.4097903,1.0,-0.0007580187502383893
0.0,0.0009315121360027327,1.0,485165195.4097903,1.0,-0.0009315121360027208
0.0,0.0011447142425533316,1.0,485165195.4097903,1.0,-0.0011447142425533197
0.0,0.0014067134999737711,1.0,485165195.4097903,1.0,-0.0014067134999737592
0.0,0.0017286784748956803,1.0,485165195.4097903,1.0,-0.0017286784748956683
0.0,0.0021243339668122713,1.0,485165195.4097903,1.0,-0.002124333966812259
0.0,0.002610546072093995,1.0,485165195.4097903,1.0,-0.0026105460720939827
0.0,0.0032080411559542855,1.0,485165195.4097903,1.0,-0.0032080411559542734
0.0,0.003942289380873242,1.0,485165195.4097903,1.0,-0.0039422893808732295
0.0,0.004844590454738973,1.0,485165195.4097903,1.0,-0.004844590454738961
0.0,0.005953407882236496,1.0,485165195.4097903,1.0,-0.0059534078822364835
0.0,0.00731600859626953,1.0,485165195.4097903,1.0,-0.007316008596269518
0.0,0.008990477864013325,1.0,485165195.4097903,1.0,-0.008990477864013312
0.0,0.011048195359492682,1.0,485165195.4097903,1.0,-0.01104819535949267
0.0,0.013576877953295699,1.0,485165195.4097903,1.0,-0.013576877953295687
0.0,0.016684318928186587,1.0,485165195.4097903,1.0,-0.016684318928186573
0.0,0.020502983016789482,1.0,485165195.4097903,1.0,-0.02050298301678947
0.0,0.025195653139702213,1.0,485165195.4097903,1.0,-0.025195653139702203
0.0,0.0309623695545348,1.0,485165195.4097903,1.0,-0.03096236955453479
0.0,0.0380489572195672,1.0,485165195.4097903,1.0,-0.038048957219567185
0.0,0.04675750487851208,1.0,485165195.4097903,1.0,-0.04675750487851207
0.0,0.057459242571298766,1.0,485165195.4097903,1.0,-0.057459242571298745
0.0,0.0706103665164695,1.0,485165195.4097903,1.0,-0.07061036651646949
0.0,0.08677148595203744,1.0,485165195.4097903,1.0,-0.08677148595203743
0.0,0.10663152091936053,1.0,485165195.4097903,1.0,-0.10663152091936051
0.0,0.13103706971044476,1.0,485165195.4097903,1.0,-0.13103706971044476
0.0,0.16102849786120232,1.0,485165195.4097903,1.0,-0.1610284978612023
0.0,0.1978842871008457,1.0,485165195.4097903,1.0,-0.1978842871008457
0.0,0.24317553477498208,1.0,485165195.4097903,1.0,-0.24317553477498205
0.0,0.2988329269567655,1.0,485165195.4097903,1.0,-0.2988329269567655
0.0,0.3672290401918124,1.0,485165195.4097903,1.0,-0.3672290401918124
0.0,0.451279480255236,1.0,485165195.4097903,1.0,-0.45127948025523595
0.0,0.554567169287763,1.0,485165195.4097903,1.0,-0.554567169287763
0.0,0.6814950794525384,1.0,485165195.4097903,1.0,-0.6814950794525384
