eta,U,a,s,y,E
0.0,1e-05,1.0,485165195.4097903,500.0,-9.999999999963604e-06
0.0,1.2288774330579116e-05,1.0,485165195.4097903,500.0,-1.2288774330537307e-05
0.0,1.510139745479005e-05,1.0,485165195.4097903,500.0,-1.5101397454741589e-05
0.0,1.8557766539829677e-05,1.0,485165195.4097903,500.0,-1.8557766539773037e-05
0.0,2.2805220508753942e-05,1.0,485165195.4097903,500.0,-2.2805220508687254e-05
0.0,2.802482083911719e-05,1.0,485165195.4097903,500.0,-2.8024820839038153e-05
0.0,3.44390698946822e-05,1.0,485165195.4097903,500.0,-3.4439069894587995e-05
0.0,4.2321395809079146e-05,1.0,485165195.4097903,500.0,-4.23213958089663e-05
0.0,5.200780824528904e-05,1.0,485165195.4097903,500.0,-5.200780824515328e-05
0.0,6.391122189543889e-05,1.0,485165195.4097903,500.0,-6.391122189527499e-05
0.0,7.85390583064617e-05,1.0,485165195.4097903,500.0,-7.85390583062632e-05
0.0,9.65148763664303e-05,1.0,485165195.4097903,500.0,-9.651487636618928e-05
0.0,0.00011860495352108069,1.0,485165195.4097903,500.0,-0.00011860495352078742
0.0,0.00014575095083093872,1.0,485165195.4097903,500.0,-0.00014575095083058123
0.0,0.00017911005432287385,1.0,485165195.4097903,500.0,-0.00017911005432243748
0.0,0.00022010430379115656,1.0,485165195.4097903,500.0,-0.0002201043037906232
0.0,0.0002704812118478755,1.0,485165195.4097903,500.0,-0.000270481211847223
0.0,0.0003323882573060108,1.0,485165195.4097903,500.0,-0.00033238825730521184
0.0,0.0004084644284168036,1.0,485165195.4097903,500.0,-0.0004084644284158247
0.0,0.0005019527182883087,1.0,485165195.4097903,500.0,-0.0005019527182871087
0.0,0.0006168383679665784,1.0,485165195.4097903,500.0,-0.0006168383679651066
0.0,0.0007580187502384012,1.0,485165195.4097903,500.0,-0.0007580187502365955
0.0,0.0009315121360027327,1.0,485165195.4097903,500.0,-0.0009315121360005166
0.0,0.0011447142425533316,1.0,485165195.4097903,500.0,-0.0011447142425506113
0.0,0.0014067134999737711,1.0,485165195.4097903,500.0,-0.001406713499970431
0.0,0.0017286784748956803,1.0,485165195.4097903,500.0,-0.0017286784748915785
0.0,0.0021243339668122713,1.0,485165195.4097903,500.0,-0.002124333966807234
0.0,0.002610546072093995,1.0,485165195.4097903,500.0,-0.002610546072087808
0.0,0.0032080411559542855,1.0,485165195.4097903,500.0,-0.003208041155946685
