eta,U,a,s,y,E
0.01,0.1,1.0,0.049787068367863944,10.0,1210.263160226749
0.01,0.1,1.0,0.05869251705897334,10.0,870.828129764892
0.01,0.1,1.0,0.06919088975605156,10.0,626.5823617989155
0.01,0.1,1.0,0.08156711392056668,10.0,450.83172823343637
0.01,0.1,1.0,0.09615708219374071,10.0,324.36804422258245
0.01,0.1,1.0,0.11335676857487088,10.0,233.36972775559556
0.01,0.1,1.0,0.13363297521701717,10.0,167.89119637305905
0.01,0.1,1.0,0.15753600150975605,10.0,120.77589707960374
0.01,0.1,1.0,0.18571457928986917,10.0,86.87416688573089
0.01,0.1,1.0,0.21893347952389905,10.0,62.480437939284585
0.01,0.1,1.0,0.25809426831066373,10.0,44.92827427166071
0.01,0.1,1.0,0.30425977552485456,10.0,32.298977021253236
0.01,0.1,1.0,0.3586829401844954,10.0,23.21190721215989
0.01,0.1,1.0,0.42284081541000407,10.0,16.673606870800835
0.01,0.1,1.0,0.4984746558747144,10.0,11.969227140316814
0.01,0.1,1.0,0.587637175726476,10.0,8.584398501403541
0.01,0.1,1.0,0.6927482595676452,10.0,6.149007713449281
0.01,0.1,1.0,0.8166606384980954,10.0,4.396740974419487
0.01,0.1,1.0,0.9627373136792305,10.0,3.135974256853359
0.01,0.1,1.0,1.13494282870652,10.0,2.2288291532864255
0.01,0.1,1.0,1.3379508679368906,10.0,1.5761030628536352
0.01,0.1,1.0,1.5772711010062486,10.0,1.1064245651462803
0.01,0.1,1.0,1.8593987161169876,10.0,0.768448049357464
0.01,0.1,1.0,2.1919907004520747,10.0,0.5252354378071397
0.01,0.1,1.0,2.584073651993461,10.0,0.35021264152178594
0.01,0.1,1.0,3.046288762789766,10.0,0.22426022317166863
0.01,0.1,1.0,3.5911806225570717,10.0,0.13362084983566572
0.01,0.1,1.0,4.233537680787299,10.0,0.06839457292760749
0.01,0.1,1.0,4.9907936075585315,10.0,0.021456819287989794
0.01,0.1,1.0,5.883500446041863,10.0,-0.012319803465820043
0.01,0.1,1.0,6.9358863981370975,10.0,-0.0366253525008857
0.01,0.1,1.0,8.176513381625892,10.0,-0.05411541512736902
0.01,0.1,1.0,9.639052205045328,10.0,-0.06670105891020481
0.01,0.1,1.0,11.363196398648084,10.0,-0.07575752808627083
0.01,0.1,1.0,13.395739502963048,10.0,-0.08227445524887543
0.01,0.1,1.0,15.791845052734805,10.0,-0.08696397320324745
0.01,0.1,1.0,18.616543723802856,10.0,-0.09033852206168319
0.01,0.1,1.0,21.94649827571884,10.0,-0.09276684348474241
0.01,0.1,1.0,25.872084190917814,10.0,-0.09451427559643599
0.01,0.1,1.0,30.499842479313017,10.0,-0.0957717494103131
0.01,0.1,1.0,35.95537121781091,10.0,-0.09667665439391501
0.01,0.1,1.0,42.38673430157675,10.0,-0.09732785294181383
0.01,0.1,1.0,49.968479921088374,10.0,-0.09779648442471128
0.01,0.1,1.0,58.906377827067736,10.0,-0.0981337394828788
0.01,0.1,1.0,69.44300395339458,10.0,-0.0983764541776259
0.01,0.1,1.0,81.8643239655332,10.0,-0.09855113537324947
0.01,0.1,1.0,96.50745441299665,10.0,-0.09867685728028945
0.01,0.1,1.0,113.76981212472857,10.0,-0.09876734572247059
0.01,0.1,1.0,134.11990016341088,10.0,-0.09883247791595781
0.01,0.1,1.0,158.11002307116797,10.0,-0.09887936167019822
0.01,0.1,1.0,186.39127650040714,10.0,-0.09891311195394752
0.01,0.1,1.0,219.73121805069502,10.0,-0.09893740969467642
0.01,0.1,1.0,259.03469890092487,10.0,-0.09895490387962323
0.01,0.1,1.0,305.3684216104975,10.0,-0.09896750090116309
0.01,0.1,1.0,359.9898905920429,10.0,-0.09897657276618843
0.01,0.1,1.0,424.38154097599755,10.0,-0.0989831069220171
0.01,0.1,1.0,500.2909721297124,10.0,-0.09898781407083342
0.01,0.1,1.0,589.7783777750333,10.0,-0.0989912057534703
0.01,0.1,1.0,695.2724599650883,10.0,-0.09899365017967238
0.01,0.1,1.0,819.6363444342751,10.0,-0.09899541240476763
0.01,0.1,1.0,966.245286274267,10.0,-0.09899668324211043
0.01,0.1,1.0,1139.0782748801178,10.0,-0.09899760006978778
0.01,0.1,1.0,1342.8260243388906,10.0,-0.09899826180438373
0.01,0.1,1.0,1583.0182801366896,10.0,-0.0989987396772716
0.01,0.1,1.0,1866.1738973078534,10.0,-0.09899908499030276
0.01,0.1,1.0,2199.9777631705356,10.0,-0.09899933469776119
0.01,0.1,1.0,2593.4893663591024,10.0,-0.09899951542399127
0.01,0.1,1.0,3057.38867274921,10.0,-0.09899964635523531
0.01,0.1,1.0,3604.2659813862747,10.0,-0.09899974132125777
0.01,0.1,1.0,4248.963627152145,10.0,-0.09899981029385493
0.01,0.1,1.0,5008.978804033249,10.0,-0.09899986046567845
0.01,0.1,1.0,5904.938441676132,10.0,-0.09899989702698564
0.01,0.1,1.0,6961.159023453723,10.0,-0.09899992372495751
0.01,0.1,1.0,8206.306539591349,10.0,-0.09899994326650091
0.01,0.1,1.0,9674.174486582542,10.0,-0.09899995760837646
0.01,0.1,1.0,11404.601027919329,10.0,-0.09899996816620674
0.01,0.1,1.0,13444.550208021372,10.0,-0.09899997596507734
0.01,0.1,1.0,15849.386563677526,10.0,-0.0989999817480786
0.01,0.1,1.0,18684.37772615166,10.0,-0.09899998605455684
0.01,0.1,1.0,22026.465794806718,10.0,-0.09899998927654688
