eta,U,a_bi,s_bi,y_bi,E_bi
0.0,0.001,1e-05,84.34438522917111,9999.999974860959,0.0004122567186296028
0.0,0.10124812030075189,1e-05,60.38712334691259,9999.999787551958,-0.0005134764853088067
0.0,0.20149624060150378,1e-05,34.957489121348836,9999.999845178741,-0.0021385467258167173
0.0,0.30174436090225565,1e-05,24.72993765047945,9999.999895308225,-0.0048182976434396054
0.0,0.40199248120300757,1e-05,18.684685592125312,9999.999928640324,-0.008552312445680854
0.0,0.5022406015037595,1e-05,14.976837431956206,9999.999948554081,-0.013349758740371486
0.0,0.6024887218045113,1e-05,12.49029911104354,9999.99996102216,-0.019210908055788737
0.0,0.7027368421052632,1e-05,10.710726225987743,9999.99996913504,-0.026135786004443686
0.0,0.8029849624060151,1e-05,9.375079773253798,9999.999974985483,-0.034124396027219846
0.0,0.903233082706767,1e-05,8.33313896539383,9999.999979142982,-0.04317673423345694
0.0,1.0034812030075189,1e-05,7.503331984571798,9999.999981972322,-0.05329281209335453
0.0,1.1037293233082708,1e-05,6.821561542288891,9999.999984346878,-0.06447261964004043
0.0,1.2039774436090225,1e-05,6.2535682703797795,9999.999986131535,-0.07671615998842554
0.0,1.3042255639097744,1e-05,5.77297098139297,9999.999987625673,-0.09002343324637307
0.0,1.4044736842105263,1e-05,5.360595128791562,9999.999984798129,-0.10439443966721593
0.0,1.5047218045112782,1e-05,5.003596346534648,9999.999989803895,-0.11982917901660149
0.0,1.6049699248120302,1e-05,4.6910675437237535,9999.9999901971,-0.13632765131948682
0.0,1.705218045112782,1e-05,4.4152711860059055,9999.99999062597,-0.1538898566147155
0.0,1.805466165413534,1e-05,4.170101142408325,9999.999991927127,-0.1725157948932014
0.0,1.905714285714286,1e-05,3.9506651622225233,9999.99999242749,-0.19220546610014094
0.0,2.005962406015038,1e-05,3.7534228446871443,9999.999992856758,-0.2129588701647852
0.0,2.1062105263157895,1e-05,3.574595042606276,9999.999993175163,-0.2347760075892999
0.0,2.2064586466165417,1e-05,3.4122716564816877,9999.999993525931,-0.2576568778547374
0.0,2.3067067669172934,1e-05,3.2639504054016095,9999.9999933285,-0.2816014810895824
0.0,2.406954887218045,1e-05,3.128068877456765,9999.999994137659,-0.30660981716465274
0.0,2.507203007518797,1e-05,3.0029348911731826,9999.999994356758,-0.33268188647516045
0.0,2.607451127819549,1e-05,2.887503701104133,9999.999994266811,-0.35981768863162095
0.0,2.707699248120301,1e-05,2.7806062489744634,9999.999994771038,-0.38801722377140524
0.0,2.8079473684210527,1e-05,2.6813379188851614,9999.999994847558,-0.4172804919050157
0.0,2.908195488721805,1e-05,2.588893689557896,9999.99999437318,-0.44760749308645076
0.0,3.0084436090225566,1e-05,2.5026421669830983,9999.999995138876,-0.4789982271516851
0.0,3.1086917293233087,1e-05,2.4219068360316185,9999.999995333541,-0.5114526943256715
0.0,3.2089398496240604,1e-05,2.346250611342446,9999.999995456332,-0.5449708944220105
0.0,3.309187969924812,1e-05,2.2751885901220628,9999.999995566259,-0.5795528274725856
0.0,3.4094360902255643,1e-05,2.2082734462804994,9999.99999564958,-0.6151984935761087
0.0,3.509684210526316,1e-05,2.145175028380682,9999.999995753056,-0.6519078925544457
0.0,3.609932330827068,1e-05,2.0856295752693743,9999.999995853972,-0.6896810246754715
0.0,3.71018045112782,1e-05,2.0292734890345443,9999.999995912402,-0.7285178897083671
0.0,3.810428571428572,1e-05,1.9758852777876406,9999.99999597049,-0.7684184877264179
0.0,3.9106766917293236,1e-05,1.925234300423926,9999.999996060393,-0.8093828187309355
0.0,4.010924812030076,1e-05,1.8771157817347928,9999.999996135693,-0.8514108827224068
0.0,4.1111729323308275,1e-05,1.8313435030347411,9999.999996186836,-0.8945026797009341
0.0,4.21142105263158,1e-05,1.787750468697869,9999.999996210485,-0.9386582096665746
0.0,4.311669172932332,1e-05,1.7461844833206144,9999.999996252887,-0.9838774726187637
0.0,4.411917293233084,1e-05,1.7065074004990994,9999.999996316561,-1.030160468557408
0.0,4.512165413533835,1e-05,1.6685934178610984,9999.99999629055,-1.0775071974840262
0.0,4.612413533834587,1e-05,1.6323276147164518,9999.999996361177,-1.1259176593959999
0.0,4.712661654135339,1e-05,1.597604537220326,9999.999996394821,-1.175391854295193
0.0,4.812909774436091,1e-05,1.5643280172483203,9999.999996422504,-1.225929782181151
0.0,4.913157894736843,1e-05,1.5324094951715501,9999.999996465853,-1.2775314430535019
0.0,5.013406015037595,1e-05,1.5017671648461668,9999.999996465596,-1.330196836913195
0.0,5.113654135338347,1e-05,1.4723268198025663,9999.999996498702,-1.3839259637589876
0.0,5.213902255639098,1e-05,1.444018219478206,9999.999996516308,-1.4387188235916262
0.0,5.3141503759398505,1e-05,1.4167776602829807,9999.999996548597,-1.494575416410548
0.0,5.414398496240603,1e-05,1.3905458803897155,9999.999996567029,-1.5514957422162807
0.0,5.514646616541355,1e-05,1.365267921631686,9999.99999658902,-1.6094798010084588
0.0,5.614894736842106,1e-05,1.3408923944179096,9999.9999966032,-1.6685275927873113
0.0,5.715142857142858,1e-05,1.3173720944530976,9999.999996557737,-1.7286391175539968
0.0,5.81539097744361,1e-05,1.294662704404116,9999.999996612172,-1.7898143753048765
0.0,5.915639097744362,1e-05,1.2727229656883199,9999.999996639708,-1.852053366042774
0.0,6.015887218045114,1e-05,1.2515142944245001,9999.999996646548,-1.915356089767547
0.0,6.116135338345866,1e-05,1.2310011498932727,9999.999996677618,-1.9797225464781216
0.0,6.216383458646618,1e-05,1.2111494792864763,9999.999996691135,-2.04515273617546
0.0,6.316631578947369,1e-05,1.1919279946713777,9999.999996700666,-2.111646658859225
0.0,6.416879699248121,1e-05,1.173306979937421,9999.999996710312,-2.1792043145292888
0.0,6.5171278195488735,1e-05,1.155258837164606,9999.999996733906,-2.2478257031851996
0.0,6.617375939849625,1e-05,1.1377574365831227,9999.999996739616,-2.3175108248278273
