eta,U,a,s_inf,y_inf,E_inf
0.0,1.0000000000000006e-05,1,200.0,8000.0,7.494358245211919e-05
0.0,1.0352317759307377e-05,1,204.0354212298047,8001.76277321028,7.20053812963326e-05
0.0,1.0717048298967115e-05,1,200.71935625691611,7997.015968084894,7.440313342183558e-05
0.0,1.1094628943275218e-05,1,202.71166357270238,8000.406604993511,7.29451224552768e-05
0.0,1.1485512424239392e-05,1,204.3306905925488,8001.762699734852,7.179108766340619e-05
0.0,1.1890167424419898e-05,1,202.58338946248927,7996.728919198013,7.303313631499344e-05
0.0,1.2309079138896018e-05,1,202.62716994959604,8000.45244102542,7.299923296245499e-05
0.0,1.2742749857031348e-05,1,200.5876430054415,7998.970412241571,7.448952174645465e-05
0.0,1.3191699564735716e-05,1,204.920358843241,8001.393128510756,7.1368940690135e-05
0.0,1.3656466567946097e-05,1,203.51845314924066,7997.5585858308805,7.235348218232308e-05
0.0,1.4137608138073613e-05,1,200.6611403410432,7999.80414421846,7.442709454168362e-05
0.0,1.4635701180190798e-05,1,203.12736422995462,7998.221173805071,7.262706678541618e-05
0.0,1.5151342924760514e-05,1,204.88901301129602,8002.116654504385,7.137999881927654e-05
0.0,1.5685151643735478e-05,1,200.12415428219003,7999.624473880831,7.481853403896172e-05
0.0,1.623776739188721e-05,1,201.40088032668578,7999.823804746591,7.386930409840675e-05
0.0,1.6809852774253656e-05,1,202.3740493271356,7998.957914893337,7.315694711122926e-05
0.0,1.7402093740624848e-05,1,202.5654815117979,8000.599964132686,7.301535272295412e-05
0.0,1.801520040802024e-05,1,200.43417532686664,7999.45788705904,7.457400861270394e-05
0.0,1.8649907912142982e-05,1,200.0,8000.0,7.48947817927394e-05
0.0,1.9306977288832496e-05,1,200.52999481171688,8005.109768470251,7.449544099873461e-05
0.0,1.9987196386572525e-05,1,207.556381617645,7998.827662234309,6.952978850965417e-05
0.0,2.06913808111479e-05,1,204.79979054327458,8004.837519444668,7.14117200820377e-05
0.0,2.1420374903583833e-05,1,203.091171454725,8001.820196724905,7.261527436194658e-05
0.0,2.217505275253934e-05,1,202.67334141664392,8000.319085915895,7.291103365762024e-05
0.0,2.2956319242369097e-05,1,203.62547322026109,7998.576313143086,7.222587493569591e-05
0.0,2.376511113811073e-05,1,203.77101824832783,8002.478036961683,7.2118166636759e-05
0.0,2.4602398208697776e-05,1,201.63358616881376,7999.512961191808,7.365198322118642e-05
0.0,2.5469184389745402e-05,1,201.8417993840719,8002.257069894857,7.349512031924456e-05
0.0,2.6366508987303556e-05,1,203.25327284393998,8003.701015525103,7.247194115917943e-05
0.0,2.729544792402007e-05,1,200.56793717433533,8003.194945709572,7.442229644373356e-05
0.0,2.825711502920827e-05,1,201.2797803726102,7998.01447146708,7.389089344018045e-05
0.0,2.9252663374366476e-05,1,200.3836767939895,8000.084935572945,7.454834796338404e-05
0.0,3.0283286655749455e-05,1,205.14809077335298,7996.837634887145,7.11164899475332e-05
0.0,3.135022062565112e-05,1,201.58095832800257,8000.98264331851,7.36527106443262e-05
0.0,3.245474457411332e-05,1,201.3338058749495,7999.377054959905,7.382767568600386e-05
0.0,3.359818286283781e-05,1,205.80817330282682,7995.333620200075,7.064233522707675e-05
0.0,3.478190651314134e-05,1,201.3740829855109,7997.189694964248,7.378506981943615e-05
0.0,3.60073348498562e-05,1,200.76771929508354,8002.327610891872,7.422514119227428e-05
0.0,3.727593720314938e-05,1,200.6602680904583,7998.467351782622,7.429763068462731e-05
0.0,3.858923467029907e-05,1,205.3184470493196,7998.125445862823,7.09527413001889e-05
0.0,3.994880193954171e-05,1,200.26654571920764,8000.208164645491,7.457540825166298e-05
0.0,4.135626917817706e-05,1,201.5202385824481,7999.592482880709,7.364112875809171e-05
0.0,4.281332398719396e-05,1,200.60361281611267,7997.674246109968,7.430851611641536e-05
0.0,4.4321713424760855e-05,1,203.44861873866517,8004.132971031512,7.223311449244876e-05
0.0,4.58832461010084e-05,1,203.1491180654015,8003.108767191318,7.243794630813448e-05
0.0,4.749979434661413e-05,1,205.50737725161238,8002.634130897714,7.07732236989219e-05
0.0,4.917329645779016e-05,1,203.486125979346,7996.876910874865,7.217954060998583e-05
0.0,5.0905759020366864e-05,1,203.61007354634611,8001.4460347402955,7.20819220793124e-05
0.0,5.269925931575656e-05,1,205.51338185243023,7997.793688383084,7.074053330907116e-05
0.0,5.4555947811685143e-05,1,201.27207563684152,8000.139991254758,7.374912285220935e-05
0.0,5.6478050740675574e-05,1,200.2978207182665,8001.227705255602,7.445897083284894e-05
0.0,5.8467872769375896e-05,1,202.985202388259,8002.99622041393,7.248523518396114e-05
0.0,6.052779976193356e-05,1,201.8268023873905,7998.092487754985,7.331005168602132e-05
0.0,6.266030164072656e-05,1,200.2330737465395,7993.085276638834,7.447239720229086e-05
0.0,6.486793534788508e-05,1,200.99088720584686,7999.189513559794,7.389815644087266e-05
0.0,6.715334791115149e-05,1,202.47431461839363,7998.937997119277,7.280390908966919e-05
0.0,6.951927961775606e-05,1,203.88822054454985,8001.6691686397935,7.178199128387701e-05
0.0,7.196856730011514e-05,1,200.01364225579664,7999.849773109416,7.458376803826008e-05
0.0,7.450414773728918e-05,1,202.8988373459685,8001.713047614762,7.245791402838591e-05
0.0,7.712906117627993e-05,1,200.5102373024375,7998.012824331438,7.418474548328676e-05
0.0,7.984645497739079e-05,1,203.31623883085368,8001.173950358997,7.213021472874732e-05
0.0,8.265958738801813e-05,1,205.80096784619758,7999.576903741193,7.03782976255884e-05
0.0,8.557183144940002e-05,1,203.29371221930683,8004.031766553127,7.211447210325484e-05
0.0,8.858667904100833e-05,1,202.17924767919553,8003.316815866084,7.289749763902325e-05
0.0,9.170774506742931e-05,1,202.45589409475676,8004.430713681971,7.268034239604052e-05
0.0,9.49387717927582e-05,1,205.23406774926573,7998.220152520291,7.070138008439702e-05
0.0,9.828363332770031e-05,1,201.56380791358345,7999.3479524874,7.329056754063684e-05
0.0,0.00010174634027476064,1,202.2554749853602,8000.918601328169,7.276895790832435e-05
0.0,0.00010533104453709371,1,201.9042550711376,7998.941545050934,7.300330257463687e-05
0.0,0.00010904204429677526,1,201.19195667296128,8002.33976610236,7.350241725079079e-05
0.0,0.00011288378916846884,1,201.6014663743946,8000.602109315364,7.318137028338535e-05
0.0,0.00011686088553466509,1,200.32430466885987,7997.911818954847,7.409912864954967e-05
0.0,0.00012097810206889013,1,202.91959393879011,7997.616179948116,7.218462660530214e-05
0.0,0.00012524037545350733,1,202.5625132725519,8003.004740978355,7.241679300936947e-05
0.0,0.00012965281629896688,1,205.48048819913728,8000.82634470492,7.034065586280071e-05
0.0,0.0001342207152716012,1,202.35159558426278,8001.285199215328,7.251848832538824e-05
0.0,0.00013894954943731373,1,203.94402748775417,7996.172378078192,7.135847300676386e-05
0.0,0.0001438449888287663,1,200.16474760957271,8000.2806162546585,7.40657215546143e-05
0.0,0.00014891290324394086,1,202.18001365679348,8001.680398604696,7.256026725546657e-05
0.0,0.00015415936928422718,1,200.39851730906688,8001.149866654401,7.383400310964702e-05
0.0,0.0001595906776404731,1,201.16642832418378,7999.766803758768,7.323762171554191e-05
