eta,U,a,s,y,E_inf
0.0,0.001,1,84.09582792954465,8000.0,-0.0005948662186772237
0.0,0.203010101010101,1,19.559005051468418,8000.0,-0.2114847689567872
0.0,0.405020202020202,1,11.079550767565653,8000.0,-0.4357408528737367
0.0,0.607030303030303,1,8.339660693030732,8000.0,-0.6692639845596895
0.0,0.809040404040404,1,6.965394146029624,8000.0,-0.9091579064737025
0.0,1.011050505050505,1,6.122711330613278,8000.0,-1.153719033604247
0.0,1.213060606060606,1,5.543646292238398,8000.0,-1.4018854908472471
0.0,1.415070707070707,1,5.115490128904693,8000.0,-1.6529500620810698
0.0,1.617080808080808,1,4.783172414791465,8000.0,-1.9064152491617292
0.0,1.8190909090909089,1,4.5155546385797205,8000.0,-2.1619155854329226
0.0,2.02110101010101,1,4.294071543190106,8000.0,-2.419173170417021
0.0,2.223111111111111,1,4.106726681314195,8000.0,-2.6779707137802577
0.0,2.425121212121212,1,3.9454166661317296,8000.0,-2.9381343795559913
0.0,2.6271313131313128,1,3.8047925450810665,8000.0,-3.1995224121852717
0.0,2.829141414141414,1,3.680353702510208,8000.0,-3.4620173358876607
0.0,3.0311515151515147,1,3.5694804914485436,8000.0,-3.725520436360879
0.0,3.233161616161616,1,3.4697259170557513,8000.0,-3.989947769676113
0.0,3.435171717171717,1,3.37927914792168,8000.0,-4.255227201278203
0.0,3.637181818181818,1,3.2967139971955053,8000.0,-4.521296172007078
0.0,3.839191919191919,1,3.2209980173429913,8000.0,-4.788099982347849
0.0,4.041202020202021,1,3.1511738912369016,8000.0,-5.055590455869135
0.0,4.243212121212121,1,3.0864804071033722,8000.0,-5.323724882431225
0.0,4.445222222222222,1,3.0263190980304144,8000.0,-5.592465173648711
0.0,4.647232323232323,1,2.970165512531172,8000.0,-5.861777180102847
0.0,4.849242424242425,1,2.917545022895848,8000.0,-6.13163013405939
0.0,5.051252525252526,1,2.868119651924041,8000.0,-6.4019961901580125
0.0,5.253262626262626,1,2.821554831342593,8000.0,-6.6728500442033685
0.0,5.455272727272727,1,2.7775766132752775,8000.0,-6.944168613919033
0.0,5.6572828282828285,1,2.7359774250526585,8000.0,-7.215930769812196
0.0,5.85929292929293,1,2.6964398172189736,8000.0,-7.488117107806358
0.0,6.06130303030303,1,2.6588647540089108,8000.0,-7.760709752820567
0.0,6.263313131313131,1,2.6231269047073678,8000.0,-8.033692193764756
0.0,6.465323232323232,1,2.5890091171816043,8000.0,-8.307049137651049
0.0,6.667333333333334,1,2.556400529326069,8000.0,-8.580766385787474
0.0,6.869343434343435,1,2.525191625294877,8000.0,-8.854830724481868
0.0,7.071353535353535,1,2.4952790959176023,8000.0,-9.129229830026079
0.0,7.273363636363636,1,2.4665676211190646,8000.0,-9.403952185159248
0.0,7.4753737373737374,1,2.438982153009273,8000.0,-9.678987005440215
0.0,7.677383838383839,1,2.412455537432615,8000.0,-9.954324174121206
0.0,7.879393939393939,1,2.3868836749434235,8000.0,-10.229954184505596
0.0,8.08140404040404,1,2.362237291253106,8000.0,-10.505868088177705
0.0,8.283414141414141,1,2.338456172885584,8000.0,-10.7820574493744
0.0,8.48542424242424,1,2.315473804084876,8000.0,-11.058514303695718
0.0,8.687434343434342,1,2.293256049931614,8000.0,-11.335231121139651
0.0,8.889444444444443,1,2.2717545441242253,8000.0,-11.612200772872583
0.0,9.091454545454544,1,2.250938244001963,8000.0,-11.889416501146686
0.0,9.293464646464646,1,2.230743791023969,8000.0,-12.166871892250128
0.0,9.495474747474747,1,2.211163845554818,8000.0,-12.444560851631431
0.0,9.697484848484848,1,2.1921574433168476,8000.0,-12.722477581739623
0.0,9.89949494949495,1,2.1736958590442508,8000.0,-13.000616561513358
0.0,10.10150505050505,1,2.155753835535742,8000.0,-13.27897252778843
0.0,10.30351515151515,1,2.13829874061327,8000.0,-13.557540458338536
0.0,10.505525252525251,1,2.1213110042892236,8000.0,-13.83631555620658
0.0,10.707535353535352,1,2.104769698426308,8000.0,-14.115293235468304
0.0,10.909545454545453,1,2.0886505812181873,8000.0,-14.39446910809708
0.0,11.111555555555555,1,2.072942183475107,8000.0,-14.673838971843383
0.0,11.313565656565656,1,2.057622386885342,8000.0,-14.953398799123457
0.0,11.515575757575757,1,2.042673618211903,8000.0,-15.23314472670054
0.0,11.717585858585858,1,2.028080422270676,8000.0,-15.513073046174547
0.0,11.91959595959596,1,2.013827580714888,8000.0,-15.793180195170295
0.0,12.121606060606059,1,1.9999017387926499,8000.0,-16.073462749166197
0.0,12.32361616161616,1,1.9862884887136145,8000.0,-16.35391741390957
0.0,12.525626262626261,1,1.972977257697522,8000.0,-16.63454101836453
0.0,12.727636363636362,1,1.9599552832284095,8000.0,-16.915330508149857
0.0,12.929646464646463,1,1.9472184813924815,8000.0,-17.196282939391274
0.0,13.131656565656565,1,1.934738533421603,8000.0,-17.47739547317076
0.0,13.333666666666666,1,1.9225171193584978,8000.0,-17.75866536992598
0.0,13.535676767676767,1,1.910544824640423,8000.0,-18.040089984694973
0.0,13.737686868686868,1,1.8988120504984412,8000.0,-18.321666762382737
0.0,13.939696969696968,1,1.8873109598301876,8000.0,-18.60339323339371
0.0,14.141707070707069,1,1.8760331908622467,8000.0,-18.8852670095413
0.0,14.34371717171717,1,1.864969321310097,8000.0,-19.16728578020605
0.0,14.545727272727271,1,1.854111600766827,8000.0,-19.44944730872077
0.0,14.747737373737372,1,1.8434572712572876,8000.0,-19.731749428993265
0.0,14.949747474747474,1,1.8329969349592368,8000.0,-20.014190042289126
0.0,15.151757575757575,1,1.822725119385352,8000.0,-20.296767114241735
0.0,15.353767676767676,1,1.812634579098703,8000.0,-20.57947867200473
0.0,15.555777777777777,1,1.8027206191560845,8000.0,-20.862322801587375
0.0,15.757787878787877,1,1.792976862877874,8000.0,-21.14529764531869
0.0,15.959797979797978,1,1.7833988271095784,8000.0,-21.42840139946743
0.0,16.161808080808083,1,1.7739815680194715,8000.0,-21.71163231198755
0.0,16.363818181818182,1,1.7647199243111646,8000.0,-21.994988680372227
0.0,16.565828282828285,1,1.7556094449294792,8000.0,-22.27846884964194
0.0,16.767838383838384,1,1.74664558034192,8000.0,-22.562071210424765
0.0,16.969848484848484,1,1.7378246342073542,8000.0,-22.845794197142265
0.0,17.171858585858587,1,1.729141198531671,8000.0,-23.129636286280455
0.0,17.373868686868686,1,1.7205933338598587,8000.0,-23.41359599476506
0.0,17.57587878787879,1,1.7121764705074274,8000.0,-23.697671878393255
0.0,17.77788888888889,1,1.7038859935877302,8000.0,-23.981862530363735
0.0,17.97989898989899,1,1.695720306634761,8000.0,-24.26616657987526
0.0,18.18190909090909,1,1.687674284297953,8000.0,-24.550582690778846
0.0,18.383919191919194,1,1.6797463163089348,8000.0,-24.83510956031609
0.0,18.585929292929293,1,1.6719329126011926,8000.0,-25.119745917897042
0.0,18.787939393939393,1,1.6642298330796168,8000.0,-25.40449052394646
0.0,18.989949494949496,1,1.6566369661478313,8000.0,-25.689342168807784
0.0,19.191959595959595,1,1.6491490657908883,8000.0,-25.9742996716772
0.0,19.393969696969698,1,1.641764304134782,8000.0,-26.259361879611674
0.0,19.595979797979798,1,1.6344805926232442,8000.0,-26.54452766656331
0.0,19.7979898989899,1,1.627294372922604,8000.0,-26.829795932462925
0.0,20.0,1,1.6202047202234504,8000.0,-27.115165602344806
