eta,U,a,s,y,E_inf
0.0,0.001,1,83.63520335113604,5000.0,-0.0006090695429282317
0.0,0.203010101010101,1,13.973997166698819,5000.0,-0.2278782765942578
0.0,0.405020202020202,1,9.628734961897239,5000.0,-0.4766280530319257
0.0,0.607030303030303,1,7.961076536569313,5000.0,-0.7337909921742316
0.0,0.809040404040404,1,7.014822795181325,5000.0,-0.9958159761264235
0.0,1.011050505050505,1,6.387335484264503,5000.0,-1.2611535861682779
0.0,1.213060606060606,1,5.926401204460143,5000.0,-1.5289551333656517
0.0,1.415070707070707,1,5.570353727449617,5000.0,-1.7986928076689461
0.0,1.617080808080808,1,5.28396262426452,5000.0,-2.0700103360293474
0.0,1.8190909090909089,1,5.045650972665026,5000.0,-2.3426530104336964
0.0,2.02110101010101,1,4.843829818966742,5000.0,-2.6164307876010455
0.0,2.223111111111111,1,4.669563994390194,5000.0,-2.891197136050251
0.0,2.425121212121212,1,4.517034932566667,5000.0,-3.1668360638546282
0.0,2.6271313131313128,1,4.3815024214697935,5000.0,-3.443253769274311
0.0,2.829141414141414,1,4.2604904329700775,5000.0,-3.720373034461226
0.0,3.0311515151515147,1,4.1512143907823935,5000.0,-3.998129328575672
0.0,3.233161616161616,1,4.051838384435203,5000.0,-4.276468027398064
0.0,3.435171717171717,1,3.9608940319074026,5000.0,-4.555342373443884
0.0,3.637181818181818,1,3.877208634686842,5000.0,-4.834711951386633
0.0,3.839191919191919,1,3.799823406150002,5000.0,-5.114541526446682
0.0,4.041202020202021,1,3.7279333324012716,5000.0,-5.394800144980776
0.0,4.243212121212121,1,3.660918858417613,5000.0,-5.67546042815235
0.0,4.445222222222222,1,3.5982099127437293,5000.0,-5.956498009745857
0.0,4.647232323232323,1,3.539340575521468,5000.0,-6.237891083953254
0.0,4.849242424242425,1,3.483906953984959,5000.0,-6.519620037461806
0.0,5.051252525252526,1,3.431672266046181,5000.0,-6.801667148144701
0.0,5.253262626262626,1,3.3821749273310546,5000.0,-7.084016333173362
0.0,5.455272727272727,1,3.3352324711370867,5000.0,-7.366652942554616
0.0,5.6572828282828285,1,3.2906173956961937,5000.0,-7.649563582419379
0.0,5.85929292929293,1,3.248135118730062,5000.0,-7.932735966814463
0.0,6.06130303030303,1,3.20761313903526,5000.0,-8.216158791247025
0.0,6.263313131313131,1,3.168889546211307,5000.0,-8.49982162437328
0.0,6.465323232323232,1,3.1318281878362284,5000.0,-8.783714814732964
0.0,6.667333333333334,1,3.0963095226639044,5000.0,-9.067829410029589
0.0,6.869343434343435,1,3.062220928990237,5000.0,-9.352157086946697
0.0,7.071353535353535,1,3.0295057586305383,5000.0,-9.636690089676945
0.0,7.273363636363636,1,2.9979872312572664,5000.0,-9.92142117688293
0.0,7.4753737373737374,1,2.967588326094901,5000.0,-10.206343573541192
0.0,7.677383838383839,1,2.9383058619575433,5000.0,-10.491450929034707
0.0,7.879393939393939,1,2.910046992399065,5000.0,-10.776737281079608
0.0,8.08140404040404,1,2.8827363219739266,5000.0,-11.062197022012157
0.0,8.283414141414141,1,2.8563387947380052,5000.0,-11.34782486955807
0.0,8.48542424242424,1,2.8307784154712206,5000.0,-11.633615840511837
0.0,8.687434343434342,1,2.8059913193404986,5000.0,-11.919565227078973
0.0,8.889444444444443,1,2.782017289256997,5000.0,-12.205668575821361
0.0,9.091454545454544,1,2.7587091519738003,5000.0,-12.49192166818161
0.0,9.293464646464646,1,2.736093948395339,5000.0,-12.77832050333959
0.0,9.495474747474747,1,2.714119346225504,5000.0,-13.064861282550083
0.0,9.697484848484848,1,2.6927652977195464,5000.0,-13.351540394768648
0.0,9.89949494949495,1,2.6719645301636823,5000.0,-13.63835440382075
0.0,10.10150505050505,1,2.651733003435867,5000.0,-13.925300036325467
0.0,10.30351515151515,1,2.632025276059789,5000.0,-14.212374171118563
0.0,10.505525252525251,1,2.6128191697633385,5000.0,-14.499573829237692
0.0,10.707535353535352,1,2.5940930707503993,5000.0,-14.786896164863478
0.0,10.909545454545453,1,2.575820678316601,5000.0,-15.074338456997813
0.0,11.111555555555555,1,2.557986619025982,5000.0,-15.361898101760117
0.0,11.313565656565656,1,2.5405828534299872,5000.0,-15.649572605284519
0.0,11.515575757575757,1,2.5235467360054646,5000.0,-15.937359577513535
0.0,11.717585858585858,1,2.5069163803548156,5000.0,-16.225256725478708
0.0,11.91959595959596,1,2.4906504521032087,5000.0,-16.513261848434254
0.0,12.121606060606059,1,2.47474373536182,5000.0,-16.801372832319032
0.0,12.32361616161616,1,2.4591739644877864,5000.0,-17.08958764502339
0.0,12.525626262626261,1,2.4439330980757856,5000.0,-17.377904331936744
