eta,U,a,s,y,E_inf
0.0,0.001,1.0,84.55028918723059,500.0,-0.000580414086085111
0.0,0.203010101010101,1.0,84.15033938219113,500.0,-0.2026002761134107
0.0,0.405020202020202,1.0,83.73373426161422,500.0,-0.4046200474841639
0.0,0.607030303030303,1.0,83.35889253825127,500.0,-0.6066403062817899
0.0,0.809040404040404,1.0,82.94207790888237,500.0,-0.8086602265571001
0.0,1.011050505050505,1.0,82.57969199888693,500.0,-1.0106807580840667
0.0,1.213060606060606,1.0,82.18521502501846,500.0,-1.2127010509052647
0.0,1.415070707070707,1.0,81.8059044031629,500.0,-1.4147215693526796
0.0,1.617080808080808,1.0,81.3143422265093,500.0,-1.6167410725274962
0.0,1.8190909090909089,1.0,80.87195536452917,500.0,-1.8187611366063638
0.0,2.02110101010101,1.0,80.51496267993933,500.0,-2.020782113123083
0.0,2.223111111111111,1.0,80.06009830328415,500.0,-2.222802220303671
0.0,2.425121212121212,1.0,79.61665515737131,500.0,-2.4248225222109654
0.0,2.6271313131313128,1.0,79.28471033005239,500.0,-2.626843986539193
0.0,2.829141414141414,1.0,78.88325804412617,500.0,-2.828864862084468
0.0,3.0311515151515147,1.0,78.45733126660555,500.0,-3.030885587891072
0.0,3.233161616161616,1.0,78.21853364560856,500.0,-3.2329081872844894
0.0,3.435171717171717,1.0,77.76711866385517,500.0,-3.434928843006476
0.0,3.637181818181818,1.0,77.27292627291187,500.0,-3.6369491818148236
0.0,3.839191919191919,1.0,76.82949601972787,500.0,-3.8389700939516085
0.0,4.041202020202021,1.0,76.52574023480938,500.0,-4.0409924192422455
0.0,4.243212121212121,1.0,76.12056702087428,500.0,-4.243013874008194
0.0,4.445222222222222,1.0,75.77035360022776,500.0,-4.4450359355888995
0.0,4.647232323232323,1.0,75.61583351186933,500.0,-4.6470598981345725
0.0,4.849242424242425,1.0,75.07874988230985,500.0,-4.849080407221543
0.0,5.051252525252526,1.0,74.58850780417389,500.0,-5.051101445428069
0.0,5.253262626262626,1.0,74.24298624188158,500.0,-5.253123917440643
