eta,U,a,s,y,E
0,20,0.0,0.010000000000000002,10,228204.23087839416
0,20,0.0,0.010974987654930561,10,189313.80272816474
0,20,0.0,0.012045035402587823,10,157039.199326977
0,20,0.0,0.013219411484660288,10,130256.02267980533
0,20,0.0,0.014508287784959394,10,108030.87972994466
0,20,0.0,0.015922827933410922,10,89588.94402247302
0,20,0.0,0.01747528400007684,10,74287.02563167411
0,20,0.0,0.019179102616724886,10,61591.21407451901
0,20,0.0,0.02104904144512021,10,51058.31773240864
0,20,0.0,0.023101297000831605,10,42320.45514145166
0,20,0.0,0.025353644939701114,10,35072.26296532203
0,20,0.0,0.027825594022071243,10,29060.276334715825
0,20,0.0,0.030538555088334154,10,24074.112678849866
0,20,0.0,0.033516026509388425,10,19939.152806849386
0,20,0.0,0.03678379771828634,10,16510.464995043265
0,20,0.0,0.040370172585965536,10,13667.76100565535
0,20,0.0,0.044306214575838825,10,11311.20880214028
0,20,0.0,0.04862601580065353,10,9357.956480942386
0,20,0.0,0.0533669923120631,10,7739.24664194485
0,20,0.0,0.05857020818056667,10,6398.020928095939
0,20,0.0,0.06428073117284322,10,5286.931490778175
0,20,0.0,0.07054802310718646,10,4366.6902726538165
0,20,0.0,0.0774263682681127,10,3604.698734814741
0,20,0.0,0.08497534359086446,10,2973.9103975939734
0,20,0.0,0.093260334688322,10,2451.8866526751826
0,20,0.0,0.10235310218990264,10,2020.0130190402892
0,20,0.0,0.11233240329780277,10,1662.8485900110281
0,20,0.0,0.12328467394420665,10,1367.5860467609532
0,20,0.0,0.13530477745798075,10,1123.6034559256304
0,20,0.0,0.1484968262254465,10,922.0922587552753
0,20,0.0,0.16297508346206444,10,755.7485074159536
0,20,0.0,0.1788649529057435,10,618.5166025231507
0,20,0.0,0.19630406500402714,10,505.3766111398873
0,20,0.0,0.21544346900318845,10,412.1677596814151
0,20,0.0,0.23644894126454083,10,335.4419540672125
0,20,0.0,0.25950242113997374,10,272.34222374042537
0,20,0.0,0.2848035868435802,10,220.50185310826703
0,20,0.0,0.3125715849688237,10,177.96068365853105
0,20,0.0,0.34304692863149194,10,143.09566747835146
0,20,0.0,0.37649358067924693,10,114.56324889762989
0,20,0.0,0.41320124001153385,10,91.25156273287314
0,20,0.0,0.4534878508128584,10,72.24077942328817
0,20,0.0,0.49770235643321115,10,56.770211106545936
0,20,0.0,0.5462277217684343,10,44.211028236633354
0,20,0.0,0.5994842503189411,10,34.04363188638587
0,20,0.0,0.6579332246575682,10,25.838889198380603
0,20,0.0,0.7220809018385468,10,19.24257419164997
0,20,0.0,0.7924828983539177,10,13.962467981888967
0,20,0.0,0.8697490026177834,10,9.757665317864298
0,20,0.0,0.9545484566618342,10,6.429711404666058
0,20,0.0,1.0476157527896652,10,3.815256955158965
0,20,0.0,1.149756995397737,10,1.7799725092724756
0,20,0.0,1.261856883066021,10,0.2135071335729979
0,20,0.0,1.384886371393873,10,-0.9746868058295277
0,20,0.0,1.5199110829529348,10,-1.8588107426944411
0,20,0.0,1.6681005372000592,10,-2.499581629366509
0,20,0.0,1.8307382802953698,10,-2.9466001085163303
0,20,0.0,2.0092330025650478,10,-3.240309615550764
0,20,0.0,2.2051307399030455,10,-3.4136164859288725
0,20,0.0,2.4201282647943834,10,-3.493229189036518
0,20,0.0,2.656087782946687,10,-3.500764891934023
0,20,0.0,2.9150530628251787,10,-3.4536633263806817
0,20,0.0,3.1992671377973845,10,-3.365941103995536
0,20,0.0,3.5111917342151346,10,-3.248813958946293
0,20,0.0,3.8535285937105312,10,-3.1112096973682184
0,20,0.0,4.229242874389499,10,-2.960190733614483
0,20,0.0,4.641588833612782,10,-2.8013018591445307
0,20,0.0,5.09413801481638,10,-2.6388562072457384
0,20,0.0,5.590810182512229,10,-2.476170151962574
0,20,0.0,6.135907273413176,10,-2.3157560346451826
0,20,0.0,6.7341506577508286,10,-2.159480081743387
0,20,0.0,7.390722033525782,10,-2.008691609179834
