eta,U,a,s,y,E
0.0,2.0,1.0,5.0,0.001,-1.9891115933539234
0.0,2.0,1.0,5.0,0.20929166666666665,-1.9891514921931752
0.0,2.0,1.0,5.0,0.4175833333333333,-1.9892722003155137
0.0,2.0,1.0,5.0,0.625875,-1.9894785211548933
0.0,2.0,1.0,5.0,0.8341666666666666,-1.989776698316941
0.0,2.0,1.0,5.0,1.0424583333333333,-1.990171439662495
0.0,2.0,1.0,5.0,1.2507499999999998,-1.9906616295046722
0.0,2.0,1.0,5.0,1.4590416666666663,-1.9912358197387112
0.0,2.0,1.0,5.0,1.6673333333333331,-1.991869841105916
0.0,2.0,1.0,5.0,1.8756249999999999,-1.9925290328444378
0.0,2.0,1.0,5.0,2.0839166666666666,-1.9931754405430337
0.0,2.0,1.0,5.0,2.292208333333333,-1.9937768943825491
0.0,2.0,1.0,5.0,2.5004999999999997,-1.9943133661675636
0.0,2.0,1.0,5.0,2.7087916666666665,-1.9947780912868363
0.0,2.0,1.0,5.0,2.917083333333333,-1.9951744373845193
0.0,2.0,1.0,5.0,3.1253749999999996,-1.9955112758618967
0.0,2.0,1.0,5.0,3.3336666666666663,-1.9957990801097703
0.0,2.0,1.0,5.0,3.541958333333333,-1.9960475786945104
0.0,2.0,1.0,5.0,3.75025,-1.9962647868175218
0.0,2.0,1.0,5.0,3.958541666666666,-1.9964568937339804
0.0,2.0,1.0,5.0,4.166833333333334,-1.9966285389967353
0.0,2.0,1.0,5.0,4.375125,-1.996783186303675
0.0,2.0,1.0,5.0,4.5834166666666665,-1.996923457779851
0.0,2.0,1.0,5.0,4.791708333333333,-1.997051386793529
0.0,2.0,1.0,5.0,5.0,-1.9971685929305945
0.0,10.0,1.0,5.0,0.001,-9.946102765881367
0.0,10.0,1.0,5.0,0.20929166666666665,-9.946300335855447
0.0,10.0,1.0,5.0,0.4175833333333333,-9.946898861188025
0.0,10.0,1.0,5.0,0.625875,-9.947924211432476
0.0,10.0,1.0,5.0,0.8341666666666666,-9.949409824656113
0.0,10.0,1.0,5.0,1.0424583333333333,-9.951380941697762
0.0,10.0,1.0,5.0,1.2507499999999998,-9.953832555305864
0.0,10.0,1.0,5.0,1.4590416666666663,-9.956706798001614
0.0,10.0,1.0,5.0,1.6673333333333331,-9.959881467428056
0.0,10.0,1.0,5.0,1.8756249999999999,-9.963181881104418
0.0,10.0,1.0,5.0,2.0839166666666666,-9.966417399971354
0.0,10.0,1.0,5.0,2.292208333333333,-9.969426946171755
0.0,10.0,1.0,5.0,2.5004999999999997,-9.972110582719063
0.0,10.0,1.0,5.0,2.7087916666666665,-9.974434832884757
0.0,10.0,1.0,5.0,2.917083333333333,-9.976416832517087
0.0,10.0,1.0,5.0,3.1253749999999996,-9.978101128065465
0.0,10.0,1.0,5.0,3.3336666666666663,-9.979540184716186
0.0,10.0,1.0,5.0,3.541958333333333,-9.98078268858091
0.0,10.0,1.0,5.0,3.75025,-9.981868732249945
0.0,10.0,1.0,5.0,3.958541666666666,-9.982829267604432
0.0,10.0,1.0,5.0,4.166833333333334,-9.983687494095413
0.0,10.0,1.0,5.0,4.375125,-9.984460730667074
0.0,10.0,1.0,5.0,4.5834166666666665,-9.98516208805497
0.0,10.0,1.0,5.0,4.791708333333333,-9.985801733124571
0.0,10.0,1.0,5.0,5.0,-9.98638776381009
0.0,16.0,1.0,5.0,0.001,-15.913846145276949
0.0,16.0,1.0,5.0,0.20929166666666665,-15.91416196860215
0.0,16.0,1.0,5.0,0.4175833333333333,-15.91511885684241
0.0,16.0,1.0,5.0,0.625875,-15.916758479140663
0.0,16.0,1.0,5.0,0.8341666666666666,-15.919134669410495
0.0,16.0,1.0,5.0,1.0424583333333333,-15.922288068224212
0.0,16.0,1.0,5.0,1.2507499999999998,-15.926210749656756
0.0,16.0,1.0,5.0,1.4590416666666663,-15.93081003169879
0.0,16.0,1.0,5.0,1.6673333333333331,-15.935890187169662
0.0,16.0,1.0,5.0,1.8756249999999999,-15.941171517299406
0.0,16.0,1.0,5.0,2.0839166666666666,-15.946348869542595
0.0,16.0,1.0,5.0,2.292208333333333,-15.951164485013658
0.0,16.0,1.0,5.0,2.5004999999999997,-15.955458495132687
0.0,16.0,1.0,5.0,2.7087916666666665,-15.959177389083198
