eta,U,a,s,y,E
0.0,2.0,1.0,148.4131591025766,0.001,-1.9998638001644329
0.0,2.0,1.0,148.4131591025766,0.06427848101265822,-1.9998638469030494
0.0,2.0,1.0,148.4131591025766,0.12755696202531644,-1.9998639825851285
0.0,2.0,1.0,148.4131591025766,0.19083544303797467,-1.999864202345659
0.0,2.0,1.0,148.4131591025766,0.2541139240506329,-1.9998644983266836
0.0,2.0,1.0,148.4131591025766,0.3173924050632911,-1.9998648599900688
0.0,2.0,1.0,148.4131591025766,0.38067088607594934,-1.9998652745359715
0.0,2.0,1.0,148.4131591025766,0.44394936708860755,-1.9998657274094005
0.0,2.0,1.0,148.4131591025766,0.5072278481012658,-1.9998662028734668
0.0,2.0,1.0,148.4131591025766,0.570506329113924,-1.9998666846250313
0.0,2.0,1.0,148.4131591025766,0.6337848101265822,-1.9998671564265174
0.0,2.0,1.0,148.4131591025766,0.6970632911392404,-1.9998676027268236
0.0,2.0,1.0,148.4131591025766,0.7603417721518987,-1.999868009244583
0.0,2.0,1.0,148.4131591025766,0.8236202531645569,-1.9998683634884613
0.0,2.0,1.0,148.4131591025766,0.8868987341772151,-1.9998686551918494
0.0,2.0,1.0,148.4131591025766,0.9501772151898733,-1.9998688766430275
0.0,2.0,1.0,148.4131591025766,1.0134556962025314,-1.999869022896639
0.0,2.0,1.0,148.4131591025766,1.0767341772151897,-1.9998690918579536
0.0,2.0,1.0,148.4131591025766,1.1400126582278478,-1.9998690842376943
0.0,2.0,1.0,148.4131591025766,1.2032911392405061,-1.999869003381879
0.0,2.0,1.0,148.4131591025766,1.2665696202531642,-1.9998688549878783
0.0,2.0,1.0,148.4131591025766,1.3298481012658225,-1.9998686467242424
0.0,2.0,1.0,148.4131591025766,1.3931265822784806,-1.999868387777354
0.0,2.0,1.0,148.4131591025766,1.456405063291139,-1.9998680883521904
0.0,2.0,1.0,148.4131591025766,1.5196835443037973,-1.9998677591569147
0.0,2.0,1.0,148.4131591025766,1.5829620253164554,-1.9998674109013792
0.0,2.0,1.0,148.4131591025766,1.6462405063291137,-1.999867053837751
0.0,2.0,1.0,148.4131591025766,1.7095189873417718,-1.999866697367409
0.0,2.0,1.0,148.4131591025766,1.77279746835443,-1.9998663497323288
0.0,2.0,1.0,148.4131591025766,1.8360759493670882,-1.999866017801958
0.0,2.0,1.0,148.4131591025766,1.8993544303797465,-1.9998657069587777
0.0,2.0,1.0,148.4131591025766,1.9626329113924046,-1.9998654210781552
0.0,2.0,1.0,148.4131591025766,2.025911392405063,-1.999865162591569
0.0,2.0,1.0,148.4131591025766,2.089189873417721,-1.9998649326173232
0.0,2.0,1.0,148.4131591025766,2.1524683544303795,-1.99986473113993
0.0,2.0,1.0,148.4131591025766,2.2157468354430376,-1.9998645572185147
0.0,2.0,1.0,148.4131591025766,2.2790253164556957,-1.9998644092056113
0.0,2.0,1.0,148.4131591025766,2.342303797468354,-1.9998642849603012
0.0,2.0,1.0,148.4131591025766,2.4055822784810124,-1.9998641820431697
0.0,2.0,1.0,148.4131591025766,2.4688607594936705,-1.9998640978845188
0.0,2.0,1.0,148.4131591025766,2.5321392405063285,-1.9998640299211508
0.0,2.0,1.0,148.4131591025766,2.595417721518987,-1.9998639757004788
0.0,2.0,1.0,148.4131591025766,2.658696202531645,-1.9998639329534307
0.0,2.0,1.0,148.4131591025766,2.7219746835443033,-1.9998638996395348
0.0,2.0,1.0,148.4131591025766,2.7852531645569614,-1.9998638739687093
0.0,2.0,1.0,148.4131591025766,2.84853164556962,-1.999863854404728
0.0,2.0,1.0,148.4131591025766,2.911810126582278,-1.9998638396552424
0.0,2.0,1.0,148.4131591025766,2.975088607594936,-1.9998638286527828
0.0,2.0,1.0,148.4131591025766,3.0383670886075946,-1.9998638205304766
0.0,2.0,1.0,148.4131591025766,3.1016455696202527,-1.999863814595462
0.0,2.0,1.0,148.4131591025766,3.164924050632911,-1.999863810302208
0.0,2.0,1.0,148.4131591025766,3.228202531645569,-1.9998638072272672
0.0,2.0,1.0,148.4131591025766,3.2914810126582275,-1.9998638050464004
0.0,2.0,1.0,148.4131591025766,3.3547594936708856,-1.9998638035145462
0.0,2.0,1.0,148.4131591025766,3.4180379746835436,-1.9998638024488173
0.0,2.0,1.0,148.4131591025766,3.4813164556962017,-1.9998638017143702
0.0,2.0,1.0,148.4131591025766,3.5445949367088603,-1.9998638012129688
0.0,2.0,1.0,148.4131591025766,3.6078734177215184,-1.9998638008737941
0.0,2.0,1.0,148.4131591025766,3.6711518987341765,-1.9998638006465967
0.0,2.0,1.0,148.4131591025766,3.734430379746835,-1.9998638004955727
0.0,2.0,1.0,148.4131591025766,3.797708860759493,-1.9998638003962554
0.0,2.0,1.0,148.4131591025766,3.860987341772151,-1.999863800331492
0.0,2.0,1.0,148.4131591025766,3.9242658227848093,-1.9998638002896403
0.0,2.0,1.0,148.4131591025766,3.987544303797468,-1.9998638002628373
0.0,2.0,1.0,148.4131591025766,4.050822784810126,-1.9998638002458997
0.0,2.0,1.0,148.4131591025766,4.114101265822785,-1.9998638002352178
0.0,2.0,1.0,148.4131591025766,4.1773797468354426,-1.9998638002285702
0.0,2.0,1.0,148.4131591025766,4.240658227848101,-1.9998638002244782
0.0,2.0,1.0,148.4131591025766,4.30393670886076,-1.9998638002224491
0.0,2.0,1.0,148.4131591025766,4.367215189873417,-1.9998638002202984
0.0,2.0,1.0,148.4131591025766,4.430493670886076,-1.9998638002193883
0.0,2.0,1.0,148.4131591025766,4.4937721518987335,-1.99986380022094
0.0,2.0,1.0,148.4131591025766,4.557050632911392,-1.999863800218542
0.0,2.0,1.0,148.4131591025766,4.6203291139240505,-1.999863800218368
0.0,2.0,1.0,148.4131591025766,4.683607594936708,-1.9998638002187183
0.0,2.0,1.0,148.4131591025766,4.746886075949367,-1.9998638002187328
0.0,2.0,1.0,148.4131591025766,4.810164556962025,-1.9998638002187772
0.0,2.0,1.0,148.4131591025766,4.873443037974683,-1.9998638002188385
0.0,2.0,1.0,148.4131591025766,4.9367215189873415,-1.9998638002189073
0.0,2.0,1.0,148.4131591025766,5.0,-1.9998638002215383
0.0,10.0,1.0,148.4131591025766,0.001,-9.999863799933916
0.0,10.0,1.0,148.4131591025766,0.06427848101265822,-9.999863846672929
0.0,10.0,1.0,148.4131591025766,0.12755696202531644,-9.999863982356171
0.0,10.0,1.0,148.4131591025766,0.19083544303797467,-9.999864202118628
0.0,10.0,1.0,148.4131591025766,0.2541139240506329,-9.999864498102331
0.0,10.0,1.0,148.4131591025766,0.3173924050632911,-9.99986485976914
0.0,10.0,1.0,148.4131591025766,0.38067088607594934,-9.999865274319191
0.0,10.0,1.0,148.4131591025766,0.44394936708860755,-9.999865727197474
0.0,10.0,1.0,148.4131591025766,0.5072278481012658,-9.99986620266708
0.0,10.0,1.0,148.4131591025766,0.570506329113924,-9.99986668442484
0.0,10.0,1.0,148.4131591025766,0.6337848101265822,-9.999867156233146
0.0,10.0,1.0,148.4131591025766,0.6970632911392404,-9.999867602540856
0.0,10.0,1.0,148.4131591025766,0.7603417721518987,-9.999868009066569
0.0,10.0,1.0,148.4131591025766,0.8236202531645569,-9.99986836331889
0.0,10.0,1.0,148.4131591025766,0.8868987341772151,-9.999868655031172
0.0,10.0,1.0,148.4131591025766,0.9501772151898733,-9.999868876491627
0.0,10.0,1.0,148.4131591025766,1.0134556962025314,-9.999869022754837
0.0,10.0,1.0,148.4131591025766,1.0767341772151897,-9.999869091726007
0.0,10.0,1.0,148.4131591025766,1.1400126582278478,-9.99986908411579
0.0,10.0,1.0,148.4131591025766,1.2032911392405061,-9.999869003270122
0.0,10.0,1.0,148.4131591025766,1.2665696202531642,-9.9998688548863
0.0,10.0,1.0,148.4131591025766,1.3298481012658225,-9.999868646632796
0.0,10.0,1.0,148.4131591025766,1.3931265822784806,-9.999868387695916
0.0,10.0,1.0,148.4131591025766,1.456405063291139,-9.999868088280554
0.0,10.0,1.0,148.4131591025766,1.5196835443037973,-9.999867759094803
0.0,10.0,1.0,148.4131591025766,1.5829620253164554,-9.999867410848447
0.0,10.0,1.0,148.4131591025766,1.6462405063291137,-9.999867053793597
0.0,10.0,1.0,148.4131591025766,1.7095189873417718,-9.999866697331568
0.0,10.0,1.0,148.4131591025766,1.77279746835443,-9.999866349704297
0.0,10.0,1.0,148.4131591025766,1.8360759493670882,-9.999866017781192
0.0,10.0,1.0,148.4131591025766,1.8993544303797465,-9.99986570694471
0.0,10.0,1.0,148.4131591025766,1.9626329113924046,-9.999865421070211
0.0,10.0,1.0,148.4131591025766,2.025911392405063,-9.999865162589163
0.0,10.0,1.0,148.4131591025766,2.089189873417721,-9.999864932619879
0.0,10.0,1.0,148.4131591025766,2.1524683544303795,-9.999864731146886
0.0,10.0,1.0,148.4131591025766,2.2157468354430376,-9.999864557229335
0.0,10.0,1.0,148.4131591025766,2.2790253164556957,-9.999864409219787
0.0,10.0,1.0,148.4131591025766,2.342303797468354,-9.999864284977361
0.0,10.0,1.0,148.4131591025766,2.4055822784810124,-9.999864182062678
0.0,10.0,1.0,148.4131591025766,2.4688607594936705,-9.999864097906084
0.0,10.0,1.0,148.4131591025766,2.5321392405063285,-9.999864029944423
0.0,10.0,1.0,148.4131591025766,2.595417721518987,-9.999863975725146
0.0,10.0,1.0,148.4131591025766,2.658696202531645,-9.999863932979226
0.0,10.0,1.0,148.4131591025766,2.7219746835443033,-9.999863899666224
0.0,10.0,1.0,148.4131591025766,2.7852531645569614,-9.999863873996098
0.0,10.0,1.0,148.4131591025766,2.84853164556962,-9.999863854432652
