eta,U,a,s,y,E
0.0,0.001,1.0,5.0,0.0,-0.000868998275446477
0.0,0.40914285714285714,1.0,5.0,0.0,-0.40901185541096385
0.0,0.8172857142857143,1.0,5.0,0.0,-0.8171547125464813
0.0,1.2254285714285713,1.0,5.0,0.0,-1.2252975696819985
0.0,1.6335714285714285,1.0,5.0,0.0,-1.633440426817516
0.0,2.0417142857142854,1.0,5.0,0.0,-2.041583283953033
0.0,2.4498571428571427,1.0,5.0,0.0,-2.4497261410885507
0.0,2.858,1.0,5.0,0.0,-2.8578689982240686
0.0,3.266142857142857,1.0,5.0,0.0,-3.2660118553595856
0.0,3.674285714285714,1.0,5.0,0.0,-3.6741547124951026
0.0,4.082428571428571,1.0,5.0,0.0,-4.0822975696306205
0.0,4.490571428571429,1.0,5.0,0.0,-4.490440426766138
0.0,4.898714285714286,1.0,5.0,0.0,-4.898583283901655
0.0,5.306857142857143,1.0,5.0,0.0,-5.306726141037172
0.0,5.715000000000001,1.0,5.0,0.0,-5.714868998172691
0.0,6.123142857142858,1.0,5.0,0.011100321978859832,-6.1230118760110175
0.0,6.531285714285715,1.0,5.0,0.010218527670012868,-6.53115473158212
0.0,6.9394285714285715,1.0,5.0,0.009784887434761587,-6.93929758794321
0.0,7.347571428571428,1.0,5.0,0.009440284692374313,-7.347440444460915
0.0,7.755714285714286,1.0,5.0,0.008710425598624645,-7.7555833002808034
0.0,8.163857142857141,1.0,5.0,0.008191766698253824,-8.163726156475617
0.0,8.572,1.0,5.0,0.008137469844364585,-8.571869013512435
0.0,8.980142857142857,1.0,5.0,0.007138762915397575,-8.980011868822011
0.0,9.388285714285713,1.0,5.0,0.006659737544929952,-9.388154725075447
0.0,9.79642857142857,1.0,5.0,0.0060461168221848365,-9.796297581075065
0.0,10.204571428571429,1.0,5.0,0.005628719696461468,-10.204440437434116
0.0,10.612714285714285,1.0,5.0,0.004351518454452919,-10.612583292174472
0.0,11.020857142857142,1.0,5.0,0.004329590445542332,-11.020726149268649
0.0,11.429,1.0,5.0,0.003686113009051716,-11.428869005186302
0.0,11.837142857142856,1.0,5.0,0.0029231254891489526,-11.837011860868321
0.0,12.245285714285714,1.0,5.0,0.0026961363787315062,-12.245154717569466
0.0,12.65342857142857,1.0,5.0,0.0016061392073526656,-12.653297572606473
0.0,13.061571428571428,1.0,5.0,0.001570314607350579,-13.061440429672682
0.0,13.469714285714286,1.0,5.0,0.0002010607225032057,-13.469583284141802
0.0,13.877857142857142,1.0,5.0,0.00021196634765084142,-13.877726141298684
0.0,14.286,1.0,5.0,-0.0006836900266540555,-14.285868996672592
0.0,14.694142857142856,1.0,5.0,-0.0009799866051236688,-14.694011853222271
0.0,15.102285714285713,1.0,5.0,-0.0009329234157392527,-15.102154710450936
0.0,15.510428571428571,1.0,5.0,-0.0021871184148793336,-15.510297565090898
0.0,15.918571428571427,1.0,5.0,-0.0031525040475238277,-15.918440420287052
0.0,16.326714285714285,1.0,3.0,0.10421564728637182,-16.319561657060785
0.0,16.734857142857145,1.0,3.0,0.10330060910608214,-16.727704375196627
0.0,17.143,1.0,3.0,0.10759011888959367,-17.135847081561092
0.0,17.551142857142857,1.0,3.0,0.10650141455024219,-17.543989804574622
0.0,17.959285714285716,1.0,3.0,0.10251908385425716,-17.9521325265597
0.0,18.367428571428572,1.0,3.0,0.10354409317232949,-18.36027524488522
0.0,18.77557142857143,1.0,3.0,0.10582923093064331,-18.76841796041018
0.0,19.183714285714288,1.0,3.0,0.10450259029008349,-19.176560679941822
0.0,19.591857142857144,1.0,3.0,0.10800401833916394,-19.584703389035923
0.0,20.0,1.0,3.0,0.11079820752227915,-19.992846089875616
