r,fr_para,fr_perp
0.0,(13.3069133319703 + 0.0j),(13.3069133319703 + 0.0j)
0.10101010101010101,(0.972637426112763 + 0.127369783569802j),(0.603880854777312 - 0.588195979323178j)
0.20202020202020202,(0.949996380054728 + 0.0716656098000912j),(0.93507355369307 + 0.0286309293144002j)
0.30303030303030304,(0.845500460493396 + 0.0512094534338541j),(0.649278333329691 - 0.231144370872661j)
0.40404040404040403,(1.08791263880889 + 0.165889098654789j),(0.415543957948358 - 0.651717279976895j)
0.5050505050505051,(0.709623959992498 - 0.0304156461161476j),(0.114910237206573 - 0.322967543009685j)
0.6060606060606061,(0.324666244593115 + 0.10964278165625j),(0.330085412206358 - 0.539541891520338j)
0.7070707070707071,(-0.0617181512677517 - 0.140537140620085j),(0.0974130049218888 - 0.430366188208346j)
0.8080808080808081,(0.656474334554721 + 0.00237985610971385j),(0.500594900058844 - 0.37275903936789j)
0.9090909090909091,(0.573811945514681 + 0.0780090522065171j),(-0.0444247870302384 + 0.00755971432969143j)
1.0101010101010102,(0.917436262422726 - 0.0182061279842536j),(-0.0434465559099492 - 0.108392590776276j)
1.1111111111111112,(0.123621279553671 - 0.0398893711291236j),(0.28381709557752 - 0.934583965651979j)
1.2121212121212122,(0.0461162273641794 + 0.0109726087510934j),(-0.158477819865939 - 0.00711374408216532j)
1.3131313131313131,(0.102699891282989 - 0.130479153742586j),(0.370454631026171 - 0.278587743039317j)
1.4141414141414141,(0.3111959854593 - 0.145528402255732j),(-0.405998632272509 - 0.472992964603875j)
1.5151515151515151,(0.0655589796223172 + 0.0227391916507259j),(0.0816789181751056 + 0.127580694960741j)
1.6161616161616161,(0.791504829044711 + 0.0924640157704587j),(-0.0729648111473273 + 0.0237131869769875j)
1.7171717171717171,(0.265116200287557 + 0.043696426999493j),(-0.0263176651902864 - 0.176504368299986j)
1.8181818181818181,(-0.143364017543722 - 0.148398787601309j),(-0.295035594338571 - 0.410907053229152j)
1.9191919191919191,(0.102370199831559 - 0.039771858721521j),(0.615397174593777 + 0.222039274430608j)
2.0202020202020203,(0.288580074992979 + 0.102031914665172j),(0.156319901886894 - 0.520847554242021j)
2.121212121212121,(-0.198689592016867 + 0.330845832334837j),(-0.0419640258565219 - 0.071732055325819j)
2.2222222222222223,(0.256746177243194 + 0.307219082621868j),(0.261437303380601 - 0.295567088448387j)
2.323232323232323,(0.0670140864032667 + 0.140206202909765j),(0.17493892545806 - 0.0558450209779735j)
2.4242424242424243,(-0.45892637815209 - 0.0316524693910805j),(0.195126450999198 - 0.131169925635499j)
2.525252525252525,(-0.0313429743658333 - 0.0520366063965015j),(-0.4757490630876 - 0.196713989272764j)
2.6262626262626263,(0.5242213812289 + 0.122378360523879j),(0.141599798246314 + 0.312958733581814j)
2.727272727272727,(0.408340504050644 - 0.0555964800592899j),(-0.196808635742463 - 0.0646993965490567j)
2.8282828282828283,(-0.126019171474266 + 0.217132350253505j),(0.159199191667918 - 0.447095816160494j)
2.929292929292929,(0.22314781712527 - 0.107452190801927j),(-0.00981118856312338 - 0.367561142604669j)
3.0303030303030303,(-0.0775487500044089 - 0.0478030663320527j),(-0.161103861498609 - 0.135858425556458j)
3.131313131313131,(0.299481160204724 + 0.184389936377896j),(-0.405634002609564 - 0.813732847789895j)
3.2323232323232323,(0.390761077102984 + 0.243160241558283j),(0.295655842282121 + 0.457210682914649j)
3.3333333333333335,(0.040732081105751 + 0.102543191354405j),(-0.19424961626537 - 0.155778048208937j)
3.4343434343434343,(0.165278321379131 + 0.00465438595580414j),(0.260610228908049 - 0.0590932976377397j)
3.5353535353535355,(0.438483555864843 - 0.0802001947516777j),(0.139556634045853 + 0.215371451728964j)
3.6363636363636362,(0.334370448436722 + 0.012498151343767j),(-0.00546160757873966 + 0.289128845099727j)
3.7373737373737375,(0.40661588145742 + 0.0182577030856719j),(-0.0556247481285051 - 0.0556579040390883j)
3.8383838383838382,(0.316897492132646 + 0.246616053674367j),(0.100545723259466 + 0.218971110903488j)
3.9393939393939394,(0.620439216803642 + 0.244284068296964j),(-0.374850082914994 - 0.544048983254813j)
