eta,U,a,s,y,E,Einf,dE
0,1.00E-06,1,148.4131591,1,0.000130002,0.0001352,-0.038447339
0,1.33E-06,1,148.4131591,1,0.000129676,0.000134874,-0.038540205
0,1.76E-06,1,148.4131591,1,0.000129244,0.000134442,-0.038664012
0,2.33E-06,1,148.4131591,1,0.000128672,0.00013387,-0.038829375
0,3.09E-06,1,148.4131591,1,0.000127913,0.000133111,-0.039050791
0,4.09E-06,1,148.4131591,1,0.000126907,0.000132105,-0.039348247
0,5.43E-06,1,148.4131591,1,0.000125573,0.000130771,-0.039749643
0,7.20E-06,1,148.4131591,1,0.000123805,0.000129003,-0.040294574
0,9.54E-06,1,148.4131591,1,0.000121461,0.000126659,-0.041040449
0,1.26E-05,1,148.4131591,1,0.000118353,0.000123551,-0.042072897
0,1.68E-05,1,148.4131591,1,0.000114233,0.000119432,-0.043524451
0,2.22E-05,1,148.4131591,1,0.000108772,0.00011397,-0.045610571
0,2.95E-05,1,148.4131591,1,0.000101531,0.00010673,-0.048705303
0,3.91E-05,1,148.4131591,1,9.19E-05,9.71E-05,-0.053519302
0,5.18E-05,1,148.4131591,1,7.92E-05,8.44E-05,-0.061589218
0,6.87E-05,1,148.4131591,1,6.23E-05,6.75E-05,-0.076975822
0,9.10E-05,1,148.4131591,1,4.00E-05,4.52E-05,-0.115091673
0,0.000120679,1,148.4131591,1,1.03E-05,1.55E-05,-0.334955502
0,0.000159986,1,148.4131591,1,-2.90E-05,-2.38E-05,-0.218597248
0,0.000212095,1,148.4131591,1,-8.11E-05,-7.59E-05,-0.068513032
0,0.000281177,1,148.4131591,1,-0.000150175,-0.000144975,-0.035869924
0,0.000372759,1,148.4131591,1,-0.000241758,-0.000236557,-0.021986048
0,0.000494171,1,148.4131591,1,-0.00036317,-0.000357968,-0.014531717
0,0.000655129,1,148.4131591,1,-0.000524127,-0.000518924,-0.010026773
0,0.000868511,1,148.4131591,1,-0.00073751,-0.000732305,-0.007107395
0,0.001151395,1,148.4131591,1,-0.001020394,-0.001015187,-0.005129074
0,0.001526418,1,148.4131591,1,-0.001395416,-0.001390206,-0.00374755
0,0.00202359,1,148.4131591,1,-0.001892588,-0.001887374,-0.002762415
0,0.002682696,1,148.4131591,1,-0.002551694,-0.002546475,-0.002049424
0,0.00355648,1,148.4131591,1,-0.003425479,-0.003420253,-0.00152783
0,0.004714866,1,148.4131591,1,-0.004583865,-0.00457863,-0.001143251
0,0.006250552,1,148.4131591,1,-0.00611955,-0.006114304,-0.000858053
0,0.008286428,1,148.4131591,1,-0.008155426,-0.008150164,-0.000645648
0,0.010985411,1,148.4131591,1,-0.01085441,-0.010849127,-0.000486952
0,0.014563485,1,148.4131591,1,-0.014432483,-0.014427172,-0.000368102
0,0.019306977,1,148.4131591,1,-0.019175976,-0.019170628,-0.000278935
0,0.025595479,1,148.4131591,1,-0.025464478,-0.025459082,-0.000211947
0,0.033932218,1,148.4131591,1,-0.033801216,-0.033795756,-0.000161572
0,0.044984327,1,148.4131591,1,-0.044853325,-0.044847779,-0.00012366
0,0.059636233,1,148.4131591,1,-0.059505231,-0.059499572,-9.51131E-05
0,0.079060432,1,148.4131591,1,-0.07892943,-0.078923621,-7.36076E-05
