eta,U,s_opt,y_opt,E_opt,s_inf,y_inf,E_inf,E_binding
0.0,4.072118960879976,1.700538963903855,1.3984982085679325,-0.9449836637210999,0.0,0.0,-0.8797105300825865,-0.07419842255654892
0.001,4.072118960879976,1.7035622878688856,1.4011383659256076,-0.9415325258048218,0.0,0.0,-0.8779519887329513,-0.07241915034970088
0.002,4.072118960879976,1.7065959373724546,1.403797128508363,-0.9380889537056135,0.0,0.0,-0.8761952068043766,-0.0706392210555149
0.003,4.072118960879976,1.7096400430186443,1.406478166814245,-0.9346529549116074,0.0,0.0,-0.8744401842968617,-0.06885865002094212
0.004,4.072118960879976,1.7126945625050953,1.4091808618847916,-0.9312245370742249,0.0,0.0,-0.8726869212104071,-0.06707745291132214
0.005,4.072118960879976,1.715760175478785,1.4119046976955,-0.9278037080116484,0.0,0.0,-0.8709354175450127,-0.06529564571726298
0.006,4.072118960879976,1.718837759003038,1.4146462136773563,-0.9243904757094964,0.0,0.0,-0.8691856733006784,-0.06351324475837387
0.007,4.072118960879976,1.7219336657124522,1.417408057644877,-0.920984848293703,0.0,0.0,-0.8674376884774043,-0.06173026665499039
0.008,4.072118960879976,1.725006411582968,1.4202054193091667,-0.9175868342255912,0.0,0.0,-0.8656914630751903,-0.0599467285562148
0.009000000000000001,4.072118960879976,1.728131564284312,1.4230363065584162,-0.9141964420453585,0.0,0.0,-0.8639469970940366,-0.05816264784800518
0.01,4.072118960879976,1.7312504456847488,1.4258771331522189,-0.9108136803805859,0.0,0.0,-0.8622042905339431,-0.056378042165088384
0.011,4.072118960879976,1.734380308471948,1.4287424240848416,-0.9074385582281641,0.0,0.0,-0.8604633433949097,-0.054592929720766875
0.012,4.072118960879976,1.7375211849337389,1.4316328258316977,-0.9040710847379432,0.0,0.0,-0.8587241556769364,-0.052807329060470636
0.013000000000000001,4.072118960879976,1.7406730022918724,1.434548006126839,-0.9007112692764037,0.0,0.0,-0.8569867273800231,-0.051021259139047634
0.014,4.072118960879976,1.743836113676773,1.437489719379271,-0.8973591214309234,0.0,0.0,-0.8552510585041703,-0.04923473932952502
0.015,4.072118960879976,1.7470103712108167,1.4404563063826195,-0.8940146510227159,0.0,0.0,-0.8535171490493774,-0.04744778944212604
0.016,4.072118960879976,1.7501960713488907,1.4434517439813457,-0.8906778681077165,0.0,0.0,-0.8517849990156449,-0.045660429729353955
0.017,4.072118960879976,1.7533928990474288,1.446473213040906,-0.8873487829938661,0.0,0.0,-0.8500546084029723,-0.043872680910417836
0.018000000000000002,4.072118960879976,1.756601303084571,1.449523666212012,-0.8840274062399036,0.0,0.0,-0.8483259772113602,-0.04208456417414228
0.019,4.072118960879976,1.759821156003009,1.4526012517148543,-0.8807137486735239,0.0,0.0,-0.8465991054408081,-0.04029610120477625
0.02,4.072118960879976,1.7630524814764563,1.4557085597113952,-0.877407821394208,0.0,0.0,-0.8448739930913161,-0.038507314189958314
0.021,4.072118960879976,1.766295310398799,1.4588460406449513,-0.8741096357871118,0.0,0.0,-0.8431506401628843,-0.03671822584188113
0.022,4.072118960879976,1.7695501128995557,1.462014049506026,-0.8708192035309759,0.0,0.0,-0.8414290466555127,-0.034928859411595466
0.023,4.072118960879976,1.7728162048069336,1.465212547966328,-0.867536536614608,0.0,0.0,-0.8397092125692012,-0.03313923871367971
0.024,4.072118960879976,1.776094001503635,1.4684425998431456,-0.8642616473404415,0.0,0.0,-0.8379911379039499,-0.03134938813577619
0.025,4.072118960879976,1.7793837930539633,1.471705995965348,-0.8609945483411252,0.0,0.0,-0.8362748226597587,-0.02955933266380757
0.026000000000000002,4.072118960879976,1.7826801643684893,1.4749990889818214,-0.8577352526026601,0.0,0.0,-0.8345602668366278,-0.02776909791533256
0.027,4.072118960879976,1.7859938932951753,1.4783295519720072,-0.8544837734401418,0.0,0.0,-0.832847470434557,-0.025978710116386142
0.028,4.072118960879976,1.7893044403323946,1.4816929224143045,-0.8512401245007076,0.0,0.0,-0.8311364334535464,-0.02418819611074706
0.029,4.072118960879976,1.792645297813272,1.4850935798705458,-0.8480043200242278,0.0,0.0,-0.8294271558935958,-0.022397583680049085
0.03,4.072118960879976,1.795998316640227,1.4885314892349724,-0.8447763744116157,0.0,0.0,-0.8277196377547056,-0.020606901031342762
0.031,4.072118960879976,1.7993735762165366,1.4919963379001309,-0.8415563025837898,0.0,0.0,-0.8260138790368754,-0.018816177235468124
0.032,4.072118960879976,1.802748639887971,1.4955174762706562,-0.8383441198614334,0.0,0.0,-0.8243098797401055,-0.01702544208951219
0.033,4.072118960879976,1.8061358548662256,1.4990683374493918,-0.8351398420550259,0.0,0.0,-0.8226076398643957,-0.015234726233148189
0.034,4.072118960879976,1.8095362094487188,1.5026597650744369,-0.8319434854444876,0.0,0.0,-0.820907159409746,-0.013444061131927506
0.035,4.072118960879976,1.8129546379810801,1.5063081862816412,-0.8287550667776615,0.0,0.0,-0.8192084383761565,-0.01165347908333125
0.036000000000000004,4.072118960879976,1.8163806710526271,1.509982909403439,-0.8255746033879141,0.0,0.0,-0.8175114767636272,-0.009863013368579563
0.037,4.072118960879976,1.8198196292810276,1.5137015726111696,-0.8224021130794872,0.0,0.0,-0.8158162745721581,-0.008072698121624157
0.038,4.072118960879976,1.823271373109916,1.5174645342026258,-0.8192376142500587,0.0,0.0,-0.814122831801749,-0.006282568487841128
0.039,4.072118960879976,1.8267366795742104,1.5212762252172083,-0.8160811258799298,0.0,0.0,-0.8124311484524003,-0.004492660620512056
0.04,4.072118960879976,1.8302150569394007,1.5251338148033198,-0.812932667589649,0.0,0.0,-0.8107412245241117,-0.002703011761642742
0.041,4.072118960879976,1.8337070565741092,1.52903951491576,-0.8097922596395277,0.0,0.0,-0.8090530600168833,-0.0009136602519358052
0.042,4.072118960879976,1.8372128361560978,1.5329988337295934,-0.8066599229633831,0.0,0.0,-0.8073666549307148,0.0008753544167518038
0.043000000000000003,4.072118960879976,1.8407170986932777,1.5369906022392015,-0.8035356792484152,0.0,0.0,-0.8056820092656066,0.002663991491069612
0.044,4.072118960879976,1.8442648558793424,1.5410364102045906,-0.8004195509715853,0.0,0.0,-0.8039991230215587,0.004452208898587823
0.045,4.072118960879976,1.8478131284747408,1.5451500730960694,-0.7973115612288803,0.0,0.0,-0.8023179961985709,0.006239963447674668
0.046,4.072118960879976,1.8513753569934706,1.5493182512964774,-0.7942117341321379,0.0,0.0,-0.8006386287966433,0.008027210321047099
0.047,4.072118960879976,1.8549518393119993,1.5535443537815892,-0.7911200946188878,0.0,0.0,-0.7989610208157757,0.009813903297662728
0.048,4.072118960879976,1.858542113288187,1.5578302040815044,-0.7880366685604056,0.0,0.0,-0.7972851722559684,0.011599994603428566
0.049,4.072118960879976,1.8621463766817086,1.562175312921259,-0.7849614828109261,0.0,0.0,-0.7956110831172212,0.013385434834026778
0.05,4.072118960879976,1.8657650947328703,1.5665862905071097,-0.7818945652683758,0.0,0.0,-0.7939387533995342,0.015170172862310805
0.051000000000000004,4.072118960879976,1.869397596042993,1.5710628237812394,-0.7788359449322347,0.0,0.0,-0.7922681831029074,0.016954155748203158
0.052000000000000005,4.072118960879976,1.8730447219241242,1.5756079517640356,-0.775785651971017,0.0,0.0,-0.7905993722273408,0.018737328635348337
0.053,4.072118960879976,1.8767070579395513,1.5802255463771788,-0.7727437177984081,0.0,0.0,-0.7889323207728342,0.020519634635538523
0.054,4.072118960879976,1.8803849050630614,1.5849177255745552,-0.7697101751458727,0.0,0.0,-0.7872670287393879,0.022301014716224237
0.055,4.072118960879976,1.8840788004500795,1.5896881850850972,-0.7666850581528121,0.0,0.0,-0.7856034961270018,0.024081407564320846
0.056,4.072118960879976,1.8877890035298606,1.5945404462704622,-0.7636684024546008,0.0,0.0,-0.7839417229356757,0.02586074945106393
0.057,4.072118960879976,1.8915157375636507,1.5994752247768673,-0.7606602452791769,0.0,0.0,-0.78228170916541,0.027638974084285197
0.058,4.072118960879976,1.8952596770422163,1.6044973133440612,-0.7576606255719347,0.0,0.0,-0.7806234548162042,0.029416012422629617
0.059000000000000004,4.072118960879976,1.899026658860378,1.6096160716335426,-0.7546695841150005,0.0,0.0,-0.7789669598880586,0.031191792494703215
0.06,4.072118960879976,1.9028038386450055,1.6148227051833934,-0.75168716361585,0.0,0.0,-0.7773122243809734,0.032966239255442516
0.061,4.072118960879976,1.9065979403408964,1.6201266989450374,-0.748713408939963,0.0,0.0,-0.7756592482949483,0.034739274255051494
0.062,4.072118960879976,1.910395168426255,1.6254949399344045,-0.7457483670993872,0.0,0.0,-0.7740080316299831,0.036510815619166
0.063,4.072118960879976,1.9142278755098536,1.6310309935720713,-0.7427920879751828,0.0,0.0,-0.7723585743860785,0.03828077707869955
0.064,4.072118960879976,1.9180761821939771,1.6366700271034509,-0.739844623554082,0.0,0.0,-0.7707108765632336,0.040049068915169427
0.065,4.072118960879976,1.9219433489085274,1.6424257567673917,-0.7369060290029728,0.0,0.0,-0.7690649381614493,0.04181559652863205
0.066,4.072118960879976,1.9258322299147392,1.6482983144843104,-0.7339763625873057,0.0,0.0,-0.7674207591807248,0.04358026049376532
0.067,4.072118960879976,1.9297423559721012,1.6542953235478657,-0.7310556859592602,0.0,0.0,-0.7657783396210607,0.04534295613399398
0.068,4.072118960879976,1.9336811642919363,1.6604145510749662,-0.7281440644348356,0.0,0.0,-0.7641376794824565,0.04710357310478268
0.069,4.072118960879976,1.937608158991146,1.6667216065110413,-0.7252415677374645,0.0,0.0,-0.7624987787649129,0.04886199435990862
0.07,4.072118960879976,1.9415753819587074,1.6731789836206536,-0.7223482696439947,0.0,0.0,-0.7608616374684289,0.05061809654719559
0.07100000000000001,4.072118960879976,1.945562458595824,1.6797725093763403,-0.7194642491462833,0.0,0.0,-0.7592262555930055,0.05237174841334418
0.07200000000000001,4.072118960879976,1.9495578923207362,1.6865571486930708,-0.7165895907119504,0.0,0.0,-0.757592633138642,0.054122810377418125
0.073,4.072118960879976,1.9536052136183193,1.6935775942300824,-0.713724385185718,0.0,0.0,-0.755960770105339,0.0558711332517104
0.074,4.072118960879976,1.9576672701307778,1.7007689283830223,-0.7108687297576927,0.0,0.0,-0.754330666493096,0.0576165581832422
0.075,4.072118960879976,1.9617504075754335,1.7081807329964407,-0.7080227297175236,0.0,0.0,-0.7527023223019131,0.059358914222226014
0.076,4.072118960879976,1.9658637824758505,1.7158540116194163,-0.7051864989462125,0.0,0.0,-0.7510757375317905,0.061098017539989544
0.077,4.072118960879976,1.969998213181386,1.723735248265598,-0.702360161341648,0.0,0.0,-0.7494509121827279,0.06283366939127612
0.078,4.072118960879976,1.974160776785732,1.7319382853948195,-0.6995438519586407,0.0,0.0,-0.7478278462547255,0.0645656544322346
0.079,4.072118960879976,1.9783742026323634,1.7404128155148635,-0.6967377190957365,0.0,0.0,-0.7462065397477833,0.06629373774822078
0.08,4.072118960879976,1.9825825320419217,1.7492479386348394,-0.6939419261630071,0.0,0.0,-0.7445869926619012,0.06801766213755335
0.081,4.072118960879976,1.986862329183278,1.7584477695330278,-0.6911566544944096,0.0,0.0,-0.7429692049970794,0.06973714408913292
0.082,4.072118960879976,1.9911961698853697,1.7680918419489915,-0.6883821063322131,0.0,0.0,-0.7413531767533177,0.07145186947614648
0.083,4.072118960879976,1.9955097864066433,1.778147914384077,-0.6856185099731325,0.0,0.0,-0.7397389079306161,0.07316148627207252
0.084,4.072118960879976,1.9998957313674328,1.7887550117135895,-0.6828661237987299,0.0,0.0,-0.7381263985289748,0.07486559868387589
0.085,4.072118960879976,2.004333359192287,1.7999731947486823,-0.6801252450948432,0.0,0.0,-0.7365156485483936,0.07656375470730437
0.08600000000000001,4.072118960879976,2.008843709620933,1.8119391831376048,-0.6773962196690562,0.0,0.0,-0.7349066579888724,0.0782554324343692
0.08700000000000001,4.072118960879976,2.0134211820578227,1.8247574132229858,-0.674679455531995,0.0,0.0,-0.7332994268504116,0.07994002064094707
0.088,4.072118960879976,2.018072660449727,1.8385828771093917,-0.6719754441671604,0.0,0.0,-0.7316939551330108,0.08161678875014697
0.089,4.072118960879976,2.022815891987836,1.8536505479925396,-0.6692847922846804,0.0,0.0,-0.7300902428366702,0.08328484204327699
0.09,4.072118960879976,2.0277236846795366,1.8706346908813503,-0.6666082755963934,0.0,0.0,-0.7284882899613899,0.08494304605538165
0.091,4.072118960879976,2.0327660171475816,1.8897213288139176,-0.6639469263383728,0.0,0.0,-0.7268880965071697,0.0865899035508226
0.092,4.072118960879976,2.038050223003229,1.9122002402964808,-0.6613022241153378,0.0,0.0,-0.7252896624740096,0.08822328742478772
0.093,4.072118960879976,2.0437959348453623,1.9406927768714908,-0.6586765438250293,0.0,0.0,-0.7236929878619097,0.08983981484878842
